operator,call_index,layer,head,discovery_mean_gain,validation_mean_gain,discovery_horizon_slope,validation_horizon_slope
landmark,0,4,4,-3.022651102934468,-3.0008302131100693,-0.46088545811064285,-0.4482327326384351
landmark,0,4,5,-1.1311151457987758,-0.9163915532040313,-0.4027341424627779,-0.6169699449508141
landmark,0,4,6,-2.3320820442360026,-2.2893833839210185,0.4525052813251373,0.3875868274632353
landmark,0,4,7,-2.5086233702895253,-2.5269551951030915,0.28286565315944395,0.18734826401162905
landmark,0,4,8,-0.08299734505574757,-0.021631039198111296,0.5349414868888228,0.6041943276493013
landmark,0,4,9,-1.5447012129047397,-1.62474834968424,0.46226642954973224,0.5774689704577698
landmark,0,4,10,-3.282582414374108,-3.2612292290488916,0.39689310802176164,0.4729379375099566
landmark,0,4,11,-1.929230866683423,-1.9784685302635205,0.24386575278542671,0.21446369454188322
landmark,0,5,0,-7.457640014987061,-7.19918051773132,0.6260401419489211,0.8527934989785566
landmark,0,5,1,-2.9518306723775414,-2.784992032798957,-0.46358867210475097,-0.5258117678990861
landmark,0,5,2,-2.4773670847768323,-2.461652848111593,-1.425355517832081,-1.6117771527728897
landmark,0,5,3,-1.3577599698778648,-1.233237075520603,0.29767711674333125,0.3204079295511846
landmark,0,5,4,-2.120755729324803,-2.0962581376851466,-1.4681769167238194,-1.4663302591641776
landmark,0,5,5,-3.3376161949979486,-3.225806977440165,0.9228291800775587,0.9468610717886047
landmark,0,5,6,-4.052700339295478,-3.7403630408037856,-0.10343484117534282,-0.13882684674599075
landmark,0,5,7,-3.959341078752019,-3.9556877270044795,1.2983227024450907,1.3240980758090963
landmark,0,5,8,-1.4642818272607228,-1.3556694193431769,0.09245685535033527,0.06798319070113605
landmark,0,5,9,-6.435688059714483,-6.394540470955203,-1.2531169577104038,-1.353213451222942
landmark,0,5,10,-2.5857082166320478,-2.6018167479308985,2.511077163768136,2.55282593254482
landmark,0,5,11,-4.455783523251317,-4.274772880273038,-0.6106439073459152,-0.5957612459091007
landmark,0,6,0,-2.734696106031349,-2.7793114098216933,0.2436854637671831,0.34922627790891064
landmark,0,6,1,-2.3956979567508463,-2.397585828553574,0.3821928512633977,0.46819921780813556
landmark,0,6,2,-2.7483641567217596,-2.804466726140728,-0.12147667387030689,-0.08716451094509482
landmark,0,6,3,-1.3892301537994232,-1.4673181772958517,0.3087523139124465,0.4129703216880905
landmark,0,6,4,-3.129209178364793,-3.086526105085826,0.3081299207213592,0.5041477971887774
landmark,0,6,5,-1.8236798612720848,-1.8129667805224035,0.4452039460595441,0.5237384789549057
landmark,0,6,6,-1.2456665869388592,-1.2793641517654153,0.5275100065673607,0.5963627078828667
landmark,0,6,7,-1.7729624124798242,-1.90667305844482,0.35652859364492356,0.37283416715987533
landmark,0,6,8,-2.3995550464537394,-2.439918285950328,0.37962526891597265,0.4451900033612107
landmark,0,6,9,-2.670674770236135,-2.6989767688531274,0.37206395791239855,0.4313542477819681
landmark,0,6,10,-2.0917388235103522,-2.10454444206226,0.12347640735966785,0.23452822125177122
landmark,0,6,11,0.5142470653225958,0.5777392605887931,-0.24948083094436654,-0.38656515890711296
landmark,0,7,0,-4.013414685138758,-4.066295406163269,-0.7540116404971199,-0.783438836559277
landmark,0,7,1,-5.176449768944898,-5.550086099869993,0.7346157567862894,0.708949024136686
landmark,0,7,2,-2.501399551215442,-2.5779475182027696,0.30308801220347475,0.23432259683441453
landmark,0,7,3,-3.876655640958948,-3.8044732918022515,-0.49607271874454606,-0.6049648856869542
landmark,0,7,4,-4.574263588900865,-4.587444304214678,-0.4077415484774638,-0.2978985733323841
landmark,0,7,5,-3.4609291343415234,-3.5047092812662144,-0.039036987363372695,-0.004653245330126156
