candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,pooled_correct,early_half,64,quality_without_dynamic_degree,-0.010084415033391636,-0.016125121105602602,0.421875,0.0,-0.04201901783929725,0.02284943267637346,0.9156785442801483,,
ours_correct,pooled_correct,early_half,64,official_quality_score,-0.06159540404438135,-0.022602318305445124,0.375,0.0,-0.15578726226974515,0.034003896373130976,0.9836171204505884,,
ours_correct,pooled_correct,early_half,64,identity_background,4.5035958715682056e-05,5.6000061665839596e-05,0.53125,0.0,-0.00024825405591717323,0.00034625155569624727,0.353990377067382,,
ours_correct,pooled_correct,early_half,64,temporal_mechanics,-4.879876480180269e-05,9.243622341059687e-06,0.546875,0.0,-0.0002392140598990128,8.600414435470863e-05,0.26615438801392105,,
ours_correct,pooled_correct,early_half,64,semantic_alignment,-0.00028329563792795073,-7.417478731699956e-05,0.421875,0.0,-0.0008100499399006372,0.0001845368828591217,0.9156785442801483,,
ours_correct,pooled_correct,early_half,64,visual_quality,-0.00023247536205286707,-0.00047130781624996065,0.421875,0.0,-0.0009028706506692982,0.00039987051978409297,0.9156785442801483,,
ours_correct,pooled_correct,early_half,64,dynamic_degree,-0.00669642857142857,0.0,0.046875,0.859375,-0.020089285714285712,0.006696428571428569,0.91015625,,
ours_correct,pooled_correct,early_half,64,subject_consistency,6.564615327286569e-05,3.4379835280373694e-05,0.53125,0.0,-0.0003116309521309307,0.00044570062450058015,0.353990377067382,,
ours_correct,pooled_correct,early_half,64,imaging_quality,3.0809910967944006e-05,0.00023543434483674908,0.546875,0.0,-0.0009901065563816423,0.0009257871692534699,0.26615438801392105,,
ours_random,sf_fifo21,early_half,64,quality_without_dynamic_degree,0.013460425516630625,-0.0024168244292610552,0.5,0.0,-0.02440479065376656,0.05247551565248163,0.5496733768739834,,
ours_random,sf_fifo21,early_half,64,official_quality_score,0.04780108485728829,-0.01152207211650591,0.46875,0.0,-0.1113362651502979,0.21272201708924846,0.7338456119860789,,
ours_random,sf_fifo21,early_half,64,identity_background,0.00029712152210324867,9.816827013525709e-05,0.5625,0.0,-1.813134247379837e-05,0.0006484386345346383,0.19086639739666883,,
ours_random,sf_fifo21,early_half,64,temporal_mechanics,-8.841416278742784e-05,-4.474259385212065e-06,0.453125,0.0,-0.000333148934514805,0.00015362971117364497,0.8091336026033311,,
