comparison,window,metric,mean_delta,ci95_low,ci95_high,q_value,win_fraction
sf_sink1_13_minus_sf_sink1_21,late_half,semantic_alignment,0.005212231655605137,-0.0015314484735426959,0.011275426646170669,0.1671800583911439,0.71875
sf_sink1_13_minus_sf_sink1_21,late_half,visual_quality,0.0013991051435004905,-0.006124871339270616,0.00888861997556524,0.999998721992597,0.5
sf_sink1_13_minus_sf_sink1_21,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_21,late_half,quality_without_dynamic_degree,-0.08921468449434089,-0.7594547353008143,0.7130935515921943,0.999998721992597,0.40625
sf_sink1_9_minus_sf_sink1_21,late_half,official_quality_score,-0.08921468449434089,-0.7847081741254325,0.6343156530673121,,0.40625
sf_sink1_9_minus_sf_sink1_21,late_half,identity_background,0.0010896216639093431,-0.0027690122570628644,0.0051819020468029595,0.999998721992597,0.34375
sf_sink1_9_minus_sf_sink1_21,late_half,temporal_mechanics,-0.0017165294907522458,-0.005266228972316271,0.0019475628306975614,0.999998721992597,0.34375
sf_sink1_9_minus_sf_sink1_21,late_half,semantic_alignment,-0.046540016741346335,-0.08542497908802034,-0.012236007944011374,0.999998721992597,0.53125
sf_sink1_9_minus_sf_sink1_21,late_half,visual_quality,0.00044926321832461716,-0.013656169347261323,0.01455086604048844,0.999998721992597,0.46875
sf_sink1_9_minus_sf_sink1_21,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_13,late_half,quality_without_dynamic_degree,0.3908295183957904,-0.13927504620075523,1.0453461904244967,0.999998721992597,0.5625
sf_sink1_9_minus_sf_sink1_13,late_half,official_quality_score,0.3908295183957904,-0.13509998748429314,1.0469299619738632,,0.5625
sf_sink1_9_minus_sf_sink1_13,late_half,identity_background,0.002521363919144079,-0.0012098791338981908,0.006060665393786392,0.1671800583911439,0.71875
sf_sink1_9_minus_sf_sink1_13,late_half,temporal_mechanics,0.0034794040793044816,0.0006636365413993761,0.006415169825621737,0.5509208259172738,0.65625
sf_sink1_9_minus_sf_sink1_13,late_half,semantic_alignment,-0.05175224839695147,-0.09248703472021588,-0.016478164315867627,0.999998721992597,0.46875
sf_sink1_9_minus_sf_sink1_13,late_half,visual_quality,-0.0009498419251758733,-0.014450191305513756,0.01337260703500941,0.999998721992597,0.5
sf_sink1_9_minus_sf_sink1_13,late_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink3_9_minus_sf_sink1_9,late_half,quality_without_dynamic_degree,0.024842664461795394,-0.32816733554576377,0.3989475255906851,0.999998721992597,0.46875
sf_sink3_9_minus_sf_sink1_9,late_half,official_quality_score,0.024842664461795394,-0.32273171086051955,0.3809495918870962,,0.46875
sf_sink3_9_minus_sf_sink1_9,late_half,identity_background,-0.00041154392448268864,-0.002807019924765307,0.0019972474967084614,0.999998721992597,0.59375
sf_sink3_9_minus_sf_sink1_9,late_half,temporal_mechanics,-0.001317478286934421,-0.0034893872812144632,0.0008597215547470785,0.999998721992597,0.46875
sf_sink3_9_minus_sf_sink1_9,late_half,semantic_alignment,0.0018295128793397453,-0.005122612529066828,0.008873409500210974,0.999998721992597,0.5
