comparison,channel,axis,policy,control,matched_intervention,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
leverage:k:key_shift:top>random_ensemble,leverage,k,key_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.013441743900831821,0.03483706763967109,0.578125,-0.05370870099408122,0.07823110451379783,0.14919354838709678
leverage:k:key_shift:top>random_ensemble,leverage,k,key_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.038834016867362556,-0.004918882045103601,0.46875,-0.10694114262028044,0.0244090138936326,0.3980938416422287
leverage:k:key_shift:top>random_ensemble,leverage,k,key_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.012696136483265367,0.004950974506260808,0.5234375,-0.06842051692641515,0.042643072282532314,0.4182551319648093
leverage:k:value_shift:top>bottom,leverage,k,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.07654042051926921,-0.09156000667714562,0.46875,-0.2130269426734744,0.07136117403370781,0.4369501466275659
leverage:k:value_shift:top>bottom,leverage,k,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.0549663309288202,0.018377040075995936,0.546875,-0.03448227484176158,0.14518766068966812,0.5098973607038122
leverage:k:value_shift:top>bottom,leverage,k,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.010787044795224498,0.0057060200597882265,0.5078125,-0.11840058820509124,0.09929033249397623,0.5135630498533724
leverage:k:policy_contrast:top>bottom,leverage,k,policy_contrast,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.009140842363300138,0.013652738871124531,0.53125,-0.07459648019357194,0.09759618681720149,0.09457478005865103
leverage:k:policy_contrast:top>bottom,leverage,k,policy_contrast,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.01495544170347008,-0.002841942576427731,0.484375,-0.0736974908625317,0.040068221790594695,0.3541055718475073
leverage:k:policy_contrast:top>bottom,leverage,k,policy_contrast,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.0029072996700849805,0.0025602093788230328,0.5078125,-0.07008096611985205,0.0631544304135983,0.17668621700879764
leverage:v:key_shift:top>bottom,leverage,v,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.1323026600140094,-0.11488629564129141,0.296875,-0.2406044436904841,-0.026819697905724707,0.3203812316715542
leverage:v:key_shift:top>bottom,leverage,v,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.20592680996399004,-0.08218323577421238,0.296875,-0.32272393348097267,-0.1081320677785039,0.18035190615835775
leverage:v:key_shift:top>bottom,leverage,v,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.1691147349889997,-0.09819396457752405,0.296875,-0.2709358251484967,-0.07915287791974568,0.2448680351906158
leverage:v:value_shift:top>bottom,leverage,v,value_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.03194145158896623,-0.008074641753962525,0.484375,-0.12743355431014236,0.05764349481708214,0.06598240469208211
leverage:v:value_shift:top>bottom,leverage,v,value_shift,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.21614353802920888,-0.13067429719061804,0.265625,-0.330084962181516,-0.11645400983904959,0.12866568914956011
leverage:v:value_shift:top>bottom,leverage,v,value_shift,bottom,1,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.12404249480908756,-0.06671725147507077,0.375,-0.2271894438616262,-0.03305318422643386,0.13819648093841638
leverage:v:value_shift:top>random_ensemble,leverage,v,value_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.0884218281517706,0.11707579365690601,0.609375,0.016236877010052476,0.15964258444180718,0.23277126099706744
leverage:v:value_shift:top>random_ensemble,leverage,v,value_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.011202803088912663,0.019020120589329892,0.609375,-0.033518820683385304,0.04691465364319192,0.0
leverage:v:value_shift:top>random_ensemble,leverage,v,value_shift,random_ensemble,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.049812315620341635,0.037574224708124104,0.609375,0.0028234496163424463,0.09399710152845821,0.16972140762463342
leverage:v:policy_contrast:top>bottom,leverage,v,policy_contrast,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.06754212206010078,0.10282645031789955,0.65625,-0.019454619932788488,0.14454368589670105,-0.08064516129032258
leverage:v:policy_contrast:top>bottom,leverage,v,policy_contrast,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.042470505819247786,-0.03838269080232633,0.375,-0.08583213210914746,-0.006972391093616209,0.0784457478005865
leverage:v:policy_contrast:top>bottom,leverage,v,policy_contrast,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.012535808120426505,0.004015307399184734,0.515625,-0.04681391806996968,0.06057297129372291,-0.1099706744868035
leverage:policy:key_shift:top>bottom,leverage,policy,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.27551115988148034,0.22390308337205317,0.71875,0.1650962035832374,0.40274510690957877,-0.11326979472140761
leverage:policy:key_shift:top>bottom,leverage,policy,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.31034687779183084,0.23162798341542468,0.84375,0.20176196021486398,0.44860687145898126,0.3082844574780058
leverage:policy:key_shift:top>bottom,leverage,policy,key_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.2929290188366556,0.2280353476476466,0.78125,0.1935534000222219,0.41266052077174714,0.03482404692082111
leverage:policy:value_shift:top>bottom,leverage,policy,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.2538445005244309,0.18862559916348387,0.765625,0.1337749049940214,0.382779106022647,0.344208211143695
leverage:policy:value_shift:top>bottom,leverage,policy,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.33010158694953806,0.20473415353859084,0.859375,0.21033632721442075,0.4708736808861453,0.3852639296187682
leverage:policy:value_shift:top>bottom,leverage,policy,value_shift,bottom,0,x0_relative_rms,paired_log_ratio,pooled,128,32,0.2919730437369845,0.19292184581726837,0.8125,0.18059535738882415,0.41911421110951746,0.3867302052785923
leverage:policy:policy_contrast:top>bottom,leverage,policy,policy_contrast,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.06137951962033135,0.02683105711944845,0.578125,-0.023620764942590904,0.14660661857213814,0.13013196480938416
leverage:policy:policy_contrast:top>bottom,leverage,policy,policy_contrast,bottom,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.0990336359412233,0.07128312803780024,0.671875,0.04857870633261361,0.15486500525189925,0.4824046920821114
leverage:policy:policy_contrast:top>bottom,leverage,policy,policy_contrast,bottom,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.08020657778077732,0.05860637013853581,0.625,0.023358072566369608,0.14133656268150752,0.38746334310850433
leverage:policy:policy_contrast:top>random_ensemble,leverage,policy,policy_contrast,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.035061107172513234,0.06929970921472006,0.546875,-0.03208054301921638,0.10267986608408161,0.03079178885630498
leverage:policy:policy_contrast:top>random_ensemble,leverage,policy,policy_contrast,random_ensemble,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.03888685021730959,-0.00493610632044672,0.5,-0.1078055932382256,0.026122806442629248,0.32991202346041054
leverage:policy:policy_contrast:top>random_ensemble,leverage,policy,policy_contrast,random_ensemble,1,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.0019128715223981716,0.011888352784054534,0.5234375,-0.06454726132351442,0.05584621317369818,0.1851173020527859
leverage:k:key_shift:pfmatched_top>bottom,leverage,k,key_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.05709109183888712,-0.11262395192270727,0.359375,-0.16070348973892873,0.05524305754944509,0.5531524926686217
leverage:k:key_shift:pfmatched_top>bottom,leverage,k,key_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.05994860171822422,0.05875496666688618,0.671875,0.007349037293756735,0.11011545080762634,0.2316715542521994
leverage:k:key_shift:pfmatched_top>bottom,leverage,k,key_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,pooled,128,32,0.0014287549396685539,0.011009750829117575,0.515625,-0.06653638108039038,0.07902263980073691,0.531891495601173
leverage:v:value_shift:pfmatched_top>bottom,leverage,v,value_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.21928904400031884,-0.1935357357948381,0.265625,-0.3145088157686608,-0.12878135456623352,0.12536656891495598
leverage:v:value_shift:pfmatched_top>bottom,leverage,v,value_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.3072896765900198,-0.22888347134156767,0.125,-0.4038936671874953,-0.21497571749563302,0.012463343108504396
leverage:v:value_shift:pfmatched_top>bottom,leverage,v,value_shift,pf_label_matched,1,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.26328936029516936,-0.20946990879297644,0.1953125,-0.3507255555780826,-0.1789900528288096,0.06414956011730204
leverage:policy:policy_contrast:pfmatched_top>bottom,leverage,policy,policy_contrast,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.020997394037995984,-0.06679821223804991,0.421875,-0.10764855962648612,0.06909493340756459,0.25476539589442815
leverage:policy:policy_contrast:pfmatched_top>bottom,leverage,policy,policy_contrast,pf_label_matched,1,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.008699814087367395,-0.048361393948614724,0.421875,-0.052991069833873646,0.04833435990781695,0.01686217008797654
leverage:policy:policy_contrast:pfmatched_top>bottom,leverage,policy,policy_contrast,pf_label_matched,1,x0_relative_rms,paired_log_ratio,pooled,128,32,-0.01484860406268169,-0.05450050973823922,0.421875,-0.0711986717583465,0.044533960443550506,0.32697947214076245
