comparison,channel,axis,policy,control,matched_intervention,dose,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
leverage:v:value_shift:top>bottom:dose3,leverage,v,value_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.034683978747826624,0.10704571645755472,0.5625,-0.09328658148299979,0.14166981597740658,0.15588235294117647
leverage:v:value_shift:top>bottom:dose3,leverage,v,value_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.18064266311436528,-0.06520236986026706,0.28125,-0.3694732226422978,-0.03369725877159759,0.07352941176470588
leverage:v:value_shift:top>bottom:dose3,leverage,v,value_shift,bottom,1,3,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.07297934218326932,-0.020728528118944385,0.421875,-0.22486115114518224,0.04973927939353992,0.0588235294117647
leverage:v:value_shift:top>bottom:dose4,leverage,v,value_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.10500866635477363,0.1023175937221783,0.6875,0.005065121413727109,0.19821309774800402,-0.023529411764705882
leverage:v:value_shift:top>bottom:dose4,leverage,v,value_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.0889049562318526,0.015158146514834334,0.53125,-0.23901829377013115,0.03285432515122595,-0.0411764705882353
leverage:v:value_shift:top>bottom:dose4,leverage,v,value_shift,bottom,1,4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.008051855061460524,0.04873697837577993,0.609375,-0.11158943116750905,0.10547267317533658,0.02941176470588235
leverage:policy:policy_contrast:top>bottom:dose1,leverage,policy,policy_contrast,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.05007257475286565,-0.042961263330972665,0.46875,-0.18851560426483663,0.08658383410141868,0.28529411764705886
leverage:policy:policy_contrast:top>bottom:dose1,leverage,policy,policy_contrast,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.026616798701689533,0.002934027725095493,0.53125,-0.04514971101330483,0.1148510400816573,0.22352941176470587
leverage:policy:policy_contrast:top>bottom:dose1,leverage,policy,policy_contrast,bottom,1,1,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.011727888025588065,-0.004295416835297815,0.5,-0.09695796577973641,0.07806522352307138,0.2323529411764706
leverage:policy:policy_contrast:top>bottom:dose2,leverage,policy,policy_contrast,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.07094215365350381,0.10019567738862856,0.625,-0.027326451874059465,0.1742702386807054,0.03823529411764706
leverage:policy:policy_contrast:top>bottom:dose2,leverage,policy,policy_contrast,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.06191381101543604,0.02900903275986673,0.53125,-0.009476801717417618,0.15907748578599537,0.28529411764705886
leverage:policy:policy_contrast:top>bottom:dose2,leverage,policy,policy_contrast,bottom,1,2,x0_relative_rms,paired_log_ratio,pooled,64,16,0.06642798233446992,0.06393677679601682,0.578125,0.0011467318434735527,0.14860300212995253,-0.03529411764705882
leverage:policy:policy_contrast:top>bottom:dose3,leverage,policy,policy_contrast,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.08052719686199686,0.06156741775186768,0.625,-0.02422369550077916,0.19490054837309292,0.12058823529411765
leverage:policy:policy_contrast:top>bottom:dose3,leverage,policy,policy_contrast,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.09729583682155624,0.06633070579054876,0.65625,0.019358707987660154,0.19549395497714,0.5264705882352941
leverage:policy:policy_contrast:top>bottom:dose3,leverage,policy,policy_contrast,bottom,1,3,x0_relative_rms,paired_log_ratio,pooled,64,16,0.08891151684177653,0.06633070579054876,0.640625,0.017915056421086144,0.17584724894850823,0.25
leverage:policy:policy_contrast:top>bottom:dose4,leverage,policy,policy_contrast,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.23550930337321685,0.23516257443181054,0.78125,0.13969980970292833,0.33325513949237445,0.27058823529411763
leverage:policy:policy_contrast:top>bottom:dose4,leverage,policy,policy_contrast,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.16502147723102797,0.14836482639138981,0.90625,0.09637061226142414,0.24414921366604037,0.5735294117647058
leverage:policy:policy_contrast:top>bottom:dose4,leverage,policy,policy_contrast,bottom,1,4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.2002653903021224,0.16976490933805086,0.84375,0.13462203412557353,0.27265326815356294,0.3382352941176471
