mode,current_frame,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,temporal_reach_ratio,temporal_reach_ratio_samples
clean,21,17,2,-0.35364866407233075,16,-0.012227626138372485,16,-0.14077517475116386,16,0.33844229578971863,16
clean,21,17,3,-0.3991732518661274,16,-0.010305241968885138,16,-0.13621593282512828,16,0.20500825345516205,16
clean,21,17,4,-0.1227681853769779,16,-0.02411405369627575,16,-0.37198193607028596,16,0.30545228719711304,16
clean,21,17,5,-0.38973596987697456,16,-0.020457843320204852,16,-0.46038584330327575,16,0.32819613814353943,16
clean,21,17,6,-0.3932522420932466,16,-0.04943966967212721,16,-0.5953332230410264,16,0.3678935021162033,16
clean,21,17,7,-0.29596269082638804,16,-0.011676721865861129,16,-0.45726830736545887,16,0.2556718587875366,16
clean,21,17,8,-0.19289259873342607,16,-0.008238693147499431,16,-0.10041437673672768,16,0.2076258286833763,16
clean,21,17,9,-0.1836626875826335,16,-0.1059408648626324,16,-0.40676885042861755,16,0.2203826606273651,16
clean,21,17,10,-0.29686766184133273,16,-0.004750488335699346,16,-0.23570011798197366,16,0.18367429077625275,16
clean,21,17,11,0.02987561862606299,16,-0.014985373855830385,16,-0.09960856942394278,16,0.25734640657901764,16
clean,21,18,0,-0.572638292795655,16,-0.03217370301618099,16,-0.22821650583145286,16,0.6812279522418976,16
clean,21,18,1,-0.5335483192617776,16,-0.009833405627638498,16,-0.2835127707526118,16,0.44151704013347626,16
clean,21,18,2,-0.3009813375715933,16,-0.02150139505810387,16,-0.4305597866369746,16,0.48972927033901215,16
clean,21,18,3,-0.30514057474188444,16,-0.025423590501226216,16,-0.38092425946789965,16,0.5414624214172363,16
clean,21,18,4,-0.4193996090440995,16,-0.06145829604069102,16,-0.7014880942308224,16,0.2433842569589615,16
clean,21,18,5,-0.2805747231779099,16,-0.011927281909138523,16,-0.2916844804564527,16,0.4813491553068161,16
clean,21,18,6,-0.40602119736457243,16,-0.023826665919915502,16,-0.18674628081138064,16,0.6624993979930878,16
clean,21,18,7,-0.12022539658214955,16,-0.02477937887279359,16,-0.13983519278715842,16,0.5677151679992676,16
clean,21,18,8,-0.3365722447710391,16,-0.018191911387687373,16,-0.5237731095690068,16,0.5123263597488403,16
clean,21,18,9,-0.4978647199661398,16,-0.020308589525614703,16,-0.4586825445081961,16,0.2824160158634186,16
clean,21,18,10,-0.2919810804120208,16,-0.01649314039208645,16,-0.25854355966191483,16,0.33629029989242554,16
clean,21,18,11,-0.5604928331502415,16,-0.02764940882701597,16,-0.4923964587439874,16,0.4866083860397339,16
clean,21,19,0,-0.7735167158216021,16,-0.0713695374897004,16,-0.4490571131225739,16,0.5043819844722748,16
clean,21,19,1,-0.6327672661642383,16,-0.04061681739643605,16,-0.32152512128170996,16,0.23013387620449066,16
clean,21,19,2,-0.24596464154496656,16,-0.051053138014457114,16,-0.7154706066523243,16,0.6173958778381348,16
clean,21,19,3,-1.1575825351370377,16,-0.03704298030702295,16,-0.07957452009552149,16,0.36870525777339935,16
clean,21,19,4,-0.5210243236705256,16,-0.03089995714619461,16,-0.576827458560031,16,0.25406188517808914,16
clean,21,19,5,-1.0585547036463143,16,-0.029037206818588634,16,-0.3433603509300089,16,0.21104289591312408,16
clean,21,19,6,-0.6819211971337679,16,-0.02599495108967119,16,-0.587975700596437,16,0.2920900136232376,16
clean,21,19,7,-0.7234205349768157,16,-0.04123562935844416,16,-0.8230130653138834,16,0.32210642099380493,16
clean,21,19,8,-0.7861501280855256,16,-0.007313112501777151,16,-0.39330532679544955,16,0.26649005711078644,16
clean,21,19,9,-0.6704056483220295,16,-0.04391366899017679,16,-0.5290480728279942,16,0.25813664495944977,16
clean,21,19,10,-0.49093780563326617,16,-0.04401947534313903,16,-0.4979571421835137,16,0.39698326587677,16
clean,21,19,11,-0.8443146600005125,16,-0.028201698714437652,16,-0.22754147069430924,16,0.1992781087756157,16
clean,21,20,0,-1.2987116683818216,16,-0.03397523711655073,16,-0.8160352955767395,16,0.2744749039411545,16
clean,21,20,1,-1.73945798050399,16,-0.10674497870535296,16,-1.3389516205000354,16,0.7230297923088074,16
clean,21,20,2,-0.45092121173392974,16,-0.09430398504501111,16,-0.6288519723665835,16,0.40974077582359314,16
clean,21,20,3,-0.4418807262694809,16,-0.05274349438800805,16,-0.6025965877994227,16,0.8784729540348053,16
clean,21,20,4,-0.8657464044775468,16,-0.04832228392973431,16,-0.2882229151822262,16,0.3074010908603668,16
clean,21,20,5,-0.7258766680005828,16,-0.11200289199204833,16,-0.9175092601165069,16,0.8256697058677673,16
clean,21,20,6,-0.4539429847534213,16,-0.005645440093904275,16,-0.1676331549341703,16,0.1955154910683632,16
clean,21,20,7,-1.1475578187553546,16,-0.12181811350944668,16,-1.108266785077618,16,0.7251446545124054,16
clean,21,20,8,-1.8198994066674166,16,-0.08938351806770922,16,-0.8113804095144086,16,0.652947872877121,16
clean,21,20,9,-0.6528058258967433,16,-0.03252555558862257,16,-0.7234118788270192,16,0.36250387132167816,16
