mode,nominal_timestep,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples
clean,0,11,6,-0.075591759489889,16,-0.03798056815778371,16,-0.22479168554854978,16,-0.21792643533677433,16,-0.19571716648423507,16
clean,0,11,7,-0.16888543606334294,16,-0.01915043572839046,16,-0.1550583675083966,16,-0.3336168497677419,16,-0.2765054923797048,16
clean,0,11,8,-0.24248935203550662,16,-0.01522393435325025,16,-0.3845465262159072,16,-0.28505508943671864,16,-0.2633287965678849,16
clean,0,11,9,-0.1501776918346827,16,-0.009709983202393762,16,-0.09869802380349046,16,-0.24323114190890077,16,-0.12734721031416502,16
clean,0,11,10,-0.15327792970964357,16,-0.022026845896474242,16,-0.28344778927914394,16,-0.19496520453245555,16,-0.2902498082834565,16
clean,0,11,11,-0.16838862615925537,16,-0.040325765943680404,16,-0.11062089255002532,16,-0.22696966281105155,16,-0.35898235596296535,16
clean,0,12,0,-0.4322813854064075,16,-0.03311558296254022,16,-0.3241177336249549,16,-0.45461227962869644,16,-0.38907743551305385,16
clean,0,12,1,-0.21676166140590677,16,-0.05733047469702507,16,-0.29415808303747026,16,-0.37731380915616447,16,-0.5012915372915371,16
clean,0,12,2,-0.15404779273921193,16,-0.012779671659265562,16,-0.11290205607720269,16,-0.37463892461288956,16,-0.3016997267991861,16
clean,0,12,3,-0.056309138509947156,16,-0.031732558017200645,16,-0.1350265634449526,16,-0.2518855356817463,16,-0.3416560217903609,16
clean,0,12,4,-0.29020915100308653,16,-0.059951330927595574,16,-0.1415758691343223,16,-0.38825086707570766,16,-0.35163196230220395,16
clean,0,12,5,-0.3853764178723279,16,-0.022655231333522957,16,-0.16560375115101025,16,-0.40563560360533085,16,-0.3348040640265295,16
clean,0,12,6,-0.39630272066376676,16,-0.014995479430009959,16,-0.11231633175394919,16,-0.216843908758277,16,-0.3603571386265072,16
clean,0,12,7,-0.11725286380259792,16,-0.014913844507437527,16,-0.12040302752959146,16,-0.33341914317209387,16,-0.34557886776571267,16
clean,0,12,8,-0.11886175768261281,16,-0.016834498653372165,16,-0.21633433399055152,16,-0.34248344572251876,16,-0.36560701118782774,16
clean,0,12,9,-0.5894081017002684,16,-0.01231525014784981,16,-0.03965594727642004,16,-0.4131244985267535,16,-0.5533224953144151,16
clean,0,12,10,-0.29744480713457805,16,-0.05303296489683978,16,-0.5808364280385863,16,-0.37752438816361567,16,-0.3320958811043151,16
clean,0,12,11,-0.2459449970078253,16,-0.010797452507502366,16,-0.18909135292085538,16,-0.33713072275815836,16,-0.36038331890930975,16
clean,0,13,0,-0.26554067763778555,16,-0.03030204598141003,16,-0.1665383025226019,16,-0.2235626235419622,16,-0.30326397961188134,16
clean,0,13,1,-0.31205375784700085,16,-0.02184747442540442,16,-0.06788992402619035,16,-0.3557708242922503,16,-0.3524828705345158,16
clean,0,13,2,-0.21686337111139356,16,-0.052609652825129,16,-0.4029887774736912,16,-0.21483365041942615,16,-0.3601595233080857,16
clean,0,13,3,-0.2803212952652649,16,-0.030552224169350797,16,-0.09140323882897877,16,-0.30555563569435507,16,-0.29322867584124684,16
