candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
ours_correct,sf_fifo21,early_half,32,motion_smoothness,0.0001076898009582071,-6.765882991643934e-07,0.5,0.0,-5.148056005800034e-05,0.00031977945388780507,0.5699749670457095,,
ours_correct,sf_fifo21,early_half,32,overall_consistency,-0.0001575376040169156,-0.00013913214206695557,0.46875,0.0,-0.0009205812787903209,0.0005783902248367687,0.7016925520729274,,
ours_correct,sf_fifo21,early_half,32,aesthetic_quality,0.00013361325753584972,-0.0015272923878260625,0.40625,0.0,-0.0019092514013339579,0.0025911937534276648,0.8923364251386374,,
ours_correct,sf_fifo21,early_half,32,imaging_quality,-0.00014842762212667442,3.679207393098016e-05,0.53125,0.0,-0.0016915061797813592,0.00148587122167063,0.4300250329542905,,
ours_correct,sf_fifo21,early_half,32,temporal_style,-0.0001575376040169156,-0.00013913214206695557,0.46875,0.0,-0.0009342389314302323,0.0005710466681713549,0.7016925520729274,,
ours_correct,strong_e1,early_half,32,quality_without_dynamic_degree,-0.05852069563658846,-0.05513500056943599,0.28125,0.0,-0.1297556641560294,0.005708607960585674,0.99649981665425,,
ours_correct,strong_e1,early_half,32,official_quality_score,-0.05852069563658757,-0.05513500056943599,0.3125,0.0,-0.16657609385703437,0.044067086982699656,0.9899691964965314,,
ours_correct,strong_e1,early_half,32,identity_background,-0.00011908704880967888,-5.306462931342626e-05,0.4375,0.0,-0.0005503758892999925,0.0003695603688639408,0.8114572062622756,,
ours_correct,strong_e1,early_half,32,temporal_mechanics,-0.00016168217724147477,-4.784763448117957e-05,0.40625,0.0,-0.00037233691366266166,1.4859239037399046e-05,0.8923364251386374,,
ours_correct,strong_e1,early_half,32,semantic_alignment,-0.00010709497811539018,-0.00028239935636519,0.40625,0.0,-0.0010365898039058933,0.0008069092324668832,0.8923364251386374,,
ours_correct,strong_e1,early_half,32,visual_quality,-0.0012728217616677293,-0.0010207034008843374,0.34375,0.0,-0.002949507985264092,0.0003785334441012583,0.9749487701337785,,
ours_correct,strong_e1,early_half,32,dynamic_degree,-3.469446951953614e-18,0.0,0.0625,0.875,-0.01785714285714286,0.017857142857142853,0.6875,,
ours_correct,strong_e1,early_half,32,subject_consistency,-0.00010195635627236604,-0.00019916918116635873,0.375,0.0,-0.0007096684498492044,0.0005804503427205831,0.9449079174082726,,
ours_correct,strong_e1,early_half,32,background_consistency,-0.0001362177413469709,-5.812846252994941e-05,0.5,0.0,-0.0007915730270093175,0.00048727511738351265,0.5699749670457095,,
ours_correct,strong_e1,early_half,32,temporal_flickering,-0.00021144741681776782,-2.8487146735478586e-05,0.34375,0.0,-0.0004918817565345561,2.4896569560448362e-05,0.9749487701337785,,
ours_correct,strong_e1,early_half,32,motion_smoothness,-0.00011191693766516089,-3.680414028151002e-05,0.375,0.0,-0.0002653034049984552,2.210514460370091e-05,0.9449079174082726,,
