axis,layer,head,context_count,residual_median,residual_iqr,rank_median,rank_iqr,top25_context_frequency,positive_context_frequency
prompt_history_excess,7,4,36,-0.1500787464901805,0.19807322788983583,0.22980501392757663,0.2249303621169916,0.027777777777777776,0.16666666666666666
prompt_history_excess,7,5,36,-0.0009691566228866577,0.21100926492363214,0.49303621169916434,0.41782729805013924,0.1111111111111111,0.5
prompt_history_excess,7,6,36,0.042853261809796095,0.18495792895555496,0.6197771587743732,0.38370473537604455,0.3055555555555556,0.6111111111111112
prompt_history_excess,7,7,36,0.01542012020945549,0.320591673720628,0.5584958217270195,0.5410863509749303,0.25,0.5555555555555556
prompt_history_excess,7,8,36,-0.06753797829151154,0.17906531132757664,0.33426183844011137,0.35793871866295257,0.1111111111111111,0.3055555555555556
prompt_history_excess,7,9,36,0.15200191736221313,0.24796613317448646,0.7855153203342617,0.36768802228412256,0.5555555555555556,0.7777777777777778
prompt_history_excess,7,10,36,0.04290282353758812,0.1462032268755138,0.6183844011142061,0.3433147632311978,0.2777777777777778,0.6388888888888888
prompt_history_excess,7,11,36,0.011753633618354797,0.1874111230717972,0.5501392757660167,0.41086350974930363,0.2777777777777778,0.5277777777777778
prompt_history_excess,8,0,36,0.06265858933329582,0.18714921036735177,0.6295264623955432,0.4108635097493037,0.25,0.6388888888888888
prompt_history_excess,8,1,36,0.005649980157613754,0.20196428429335356,0.5376044568245125,0.41782729805013924,0.25,0.5555555555555556
prompt_history_excess,8,2,36,0.03828950319439173,0.21807625517249107,0.607242339832869,0.4275766016713091,0.2777777777777778,0.5833333333333334
prompt_history_excess,8,3,36,0.037113673985004425,0.3214409686625004,0.5863509749303621,0.5410863509749304,0.3055555555555556,0.5277777777777778
prompt_history_excess,8,4,36,-0.23157485201954842,0.3342336416244507,0.1573816155988858,0.30153203342618384,0.1111111111111111,0.16666666666666666
prompt_history_excess,8,5,36,0.02316620945930481,0.12340234778821468,0.5668523676880223,0.3022284122562674,0.1111111111111111,0.5555555555555556
prompt_history_excess,8,6,36,0.08298124745488167,0.16427975706756115,0.6796657381615598,0.26044568245125344,0.3888888888888889,0.8055555555555556
prompt_history_excess,8,7,36,0.009202130138874054,0.28987099416553974,0.5487465181058495,0.5167130919220055,0.19444444444444445,0.5277777777777778
prompt_history_excess,8,8,36,0.005154833197593689,0.22472029086202383,0.520891364902507,0.4735376044568245,0.3055555555555556,0.5
prompt_history_excess,8,9,36,-0.04244899097830057,0.1294204955920577,0.38718662952646243,0.23676880222841223,0.027777777777777776,0.25
prompt_history_excess,8,10,36,-0.07297762855887413,0.2277099546045065,0.32729805013927576,0.3802228412256267,0.1388888888888889,0.2777777777777778
prompt_history_excess,8,11,36,0.02970491722226143,0.19211541209369898,0.5933147632311977,0.4073816155988858,0.2777777777777778,0.6111111111111112
prompt_history_excess,9,0,36,-0.09686561673879623,0.2815913762897253,0.28551532033426186,0.5139275766016713,0.19444444444444445,0.3611111111111111
prompt_history_excess,9,1,36,0.0006177853792905807,0.1041019344702363,0.49860724233983283,0.2764623955431754,0.16666666666666666,0.5
prompt_history_excess,9,2,36,0.0175485722720623,0.19899451360106468,0.5696378830083566,0.4317548746518105,0.2222222222222222,0.6388888888888888
prompt_history_excess,9,3,36,-0.15561596676707268,0.2779411720111966,0.2158774373259053,0.2667130919220056,0.027777777777777776,0.08333333333333333
prompt_history_excess,9,4,36,0.10604408010840416,0.1223529540002346,0.7270194986072422,0.18871866295264617,0.4166666666666667,0.8888888888888888
prompt_history_excess,9,5,36,0.022789254784584045,0.2346854731440544,0.5640668523676879,0.44846796657381616,0.19444444444444445,0.5277777777777778
prompt_history_excess,9,6,36,0.010989198461174965,0.25617940444499254,0.5584958217270195,0.48816155988857934,0.3333333333333333,0.5833333333333334
prompt_history_excess,9,7,36,-0.028157969936728477,0.1929360805079341,0.4220055710306406,0.40877437325905297,0.19444444444444445,0.3888888888888889
prompt_history_excess,9,8,36,0.011514263227581978,0.2378918221220374,0.520891364902507,0.47771587743732585,0.3055555555555556,0.5
prompt_history_excess,9,9,36,-0.09449347481131554,0.18982394319027662,0.3050139275766017,0.36490250696378834,0.1388888888888889,0.2777777777777778
prompt_history_excess,9,10,36,0.0744822695851326,0.18381382152438164,0.66991643454039,0.3892757660167131,0.4166666666666667,0.6944444444444444
prompt_history_excess,9,11,36,0.01545848697423935,0.20388728007674217,0.552924791086351,0.42827298050139273,0.25,0.5555555555555556
prompt_history_excess,10,0,36,-0.09089774638414383,0.3300565090030432,0.2966573816155989,0.46866295264623953,0.1111111111111111,0.3611111111111111
prompt_history_excess,10,1,36,-0.06740419007837772,0.31156457774341106,0.35515320334261835,0.548050139275766,0.25,0.3611111111111111
prompt_history_excess,10,2,36,0.0668303519487381,0.16930477693676949,0.6448467966573816,0.3405292479108635,0.3055555555555556,0.7222222222222222
prompt_history_excess,10,3,36,0.04987787455320358,0.33786553889513016,0.6211699164345403,0.48467966573816157,0.4444444444444444,0.5833333333333334
prompt_history_excess,10,4,36,0.03603952378034592,0.19048484275117517,0.5947075208913649,0.4129526462395544,0.2777777777777778,0.5833333333333334
prompt_history_excess,10,5,36,-0.137131841853261,0.2011260688304901,0.24233983286908078,0.2646239554317549,0.0,0.1111111111111111
prompt_history_excess,10,6,36,0.14736240170896053,0.24263541772961617,0.8022284122562674,0.27646239554317553,0.5833333333333334,0.9166666666666666
prompt_history_excess,10,7,36,-0.022773422300815582,0.1068657897412777,0.4233983286908078,0.2618384401114206,0.027777777777777776,0.2777777777777778
prompt_history_excess,10,8,36,0.16175424307584763,0.19720313465222716,0.7841225626740947,0.245125348189415,0.5833333333333334,0.9166666666666666
prompt_history_excess,10,9,36,0.018390629440546036,0.1562788588926196,0.5668523676880223,0.38022284122562666,0.16666666666666666,0.5833333333333334
prompt_history_excess,10,10,36,-0.23796629905700684,0.3107384964823723,0.14763231197771587,0.2214484679665738,0.08333333333333333,0.1388888888888889
prompt_history_excess,10,11,36,-0.013715945184230804,0.19540422968566418,0.44707520891364905,0.3649025069637883,0.1111111111111111,0.4444444444444444
prompt_history_excess,11,0,36,-0.0890113115310669,0.257434202125296,0.3147632311977716,0.4296657381615599,0.05555555555555555,0.2777777777777778
prompt_history_excess,11,1,36,-0.0695166066288948,0.26802523899823427,0.3384401114206128,0.5125348189415042,0.25,0.3888888888888889
prompt_history_excess,11,2,36,-0.07719901204109192,0.2037076447159052,0.33286908077994426,0.3614206128133705,0.1111111111111111,0.2777777777777778
prompt_history_excess,11,3,36,-0.02885647863149643,0.2778398431837559,0.40807799442896936,0.46100278551532037,0.19444444444444445,0.4722222222222222
prompt_history_excess,11,4,36,-0.005166657269001007,0.19406795501708984,0.47493036211699163,0.39066852367688015,0.19444444444444445,0.4722222222222222
