axis,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,raw_split_spearman,layer_residual_split_spearman,raw_split_top25_jaccard,layer_residual_split_top25_jaccard,layer_eta_squared,raw_iqr,layer_residual_iqr
prompt_history_excess,identity_scene,noisy,57,500,B,1,0.252489372598112,0.24210259355676067,0.25874125874125875,0.2,0.19728144423550895,0.3265598760917783,0.27377788396552205
policy_prompt_score,identity_scene,noisy,57,500,B,1,0.2612500990280334,0.08538368605393193,0.2328767123287671,0.21621621621621623,0.40075266164502577,0.46814689246989666,0.3097274210010238
stale_a_mass,identity_scene,noisy,57,500,B,1,0.0348087341291304,0.0348087341291304,0.8556701030927835,0.8556701030927835,0.0,0.0,0.0
persistent_content,identity_scene,noisy,57,500,B,1,0.1307262385903488,0.05464054856350348,0.2328767123287671,0.17647058823529413,0.3227982851778669,0.0008493214845657349,0.0007700305432081223
persistent_positioned,identity_scene,noisy,57,500,B,1,0.09012335168205787,0.0738372665397193,0.21621621621621623,0.2080536912751678,0.28354759479079084,0.0008760020136833191,0.0007323771715164185
persistent_output,identity_scene,noisy,57,500,B,1,0.09972125817326748,0.12430619983862451,0.25874125874125875,0.2080536912751678,0.25796731395452027,0.003301367163658142,0.0028790682554244995
prompt_history_excess,identity_scene,noisy,57,1000,B,1,0.034808904820096166,0.04758313577224501,0.17647058823529413,0.17647058823529413,0.12358333834517599,0.2558036055415869,0.23157332045957446
policy_prompt_score,identity_scene,noisy,57,1000,B,1,0.19858573954036537,0.14375176673241893,0.15384615384615385,0.19205298013245034,0.22050021281880525,0.421980193689898,0.2940127049963927
stale_a_mass,identity_scene,noisy,57,1000,B,1,0.14103108233171002,0.14103108233171002,0.7821782178217822,0.7821782178217822,0.0,0.0,0.0
persistent_content,identity_scene,noisy,57,1000,B,1,0.2168754047489389,0.19329203691419397,0.2,0.25,0.20672488679403722,0.00245850533246994,0.001859249547123909
persistent_positioned,identity_scene,noisy,57,1000,B,1,0.10753822122229206,0.1127028028767741,0.2,0.22448979591836735,0.14836414658221175,0.002326183021068573,0.001986650750041008
persistent_output,identity_scene,noisy,57,1000,B,1,0.2926434414805141,0.2649058371749724,0.2949640287769784,0.30434782608695654,0.16107308205076035,0.009696811437606812,0.007861778140068054
prompt_history_excess,identity_scene,noisy,60,500,B,1,0.29701758848837667,0.20167126778017644,0.22448979591836735,0.21621621621621623,0.2356965619551489,0.3283459097146988,0.25911567406728864
policy_prompt_score,identity_scene,noisy,60,500,B,1,0.3381690065715799,0.09181529939475189,0.21621621621621623,0.2,0.4481649029468611,0.48027368214026367,0.30425323623520595
stale_a_mass,identity_scene,noisy,60,500,B,1,0.9283643474849586,0.9144714924801067,0.7647058823529411,0.7142857142857143,0.19384708800989325,0.32126372307538986,0.24026495590806007
persistent_content,identity_scene,noisy,60,500,B,1,0.1969521791993317,0.09284352066636718,0.2676056338028169,0.2080536912751678,0.39139851698893124,0.0008845776319503784,0.0007091164588928223
persistent_positioned,identity_scene,noisy,60,500,B,1,0.08578673896755182,0.06693534292232489,0.18421052631578946,0.22448979591836735,0.2307824502219977,0.0009300671517848969,0.0007006470113992691
persistent_output,identity_scene,noisy,60,500,B,1,0.16544717653331797,0.13782917809871686,0.2949640287769784,0.22448979591836735,0.21223503438086952,0.0032052621245384216,0.0024067088961601257
prompt_history_excess,identity_scene,noisy,60,1000,B,1,0.04597684001885887,0.0009138781123748563,0.16129032258064516,0.15384615384615385,0.14669818276616375,0.2576223611831665,0.21761393174529076
policy_prompt_score,identity_scene,noisy,60,1000,B,1,0.19553462973914276,0.0914366817247784,0.16129032258064516,0.19205298013245034,0.23559143708013613,0.440019608418086,0.33929257176324157
stale_a_mass,identity_scene,noisy,60,1000,B,1,0.9527964464746383,0.9448987517907803,0.8367346938775511,0.8,0.2062065268856863,0.3289880231022835,0.23209236189723015
persistent_content,identity_scene,noisy,60,1000,B,1,0.16418477468261836,0.16890374551798157,0.16129032258064516,0.2,0.23083565603786146,0.002843216061592102,0.002098171040415764
persistent_positioned,identity_scene,noisy,60,1000,B,1,0.055712098300670275,0.1250710310072333,0.15384615384615385,0.16883116883116883,0.19232068265167024,0.0026333853602409363,0.0018875617533922195
persistent_output,identity_scene,noisy,60,1000,B,1,0.23712037598380795,0.2198896710167402,0.2857142857142857,0.2676056338028169,0.17601436922502145,0.009487975388765335,0.0074306149035692215
prompt_history_excess,identity_scene,noisy,75,500,B,0,0.22688406660070012,0.10038795450517732,0.2328767123287671,0.1320754716981132,0.32096635063783496,0.2950693629682064,0.22497396636754274
policy_prompt_score,identity_scene,noisy,75,500,B,0,0.3518643506281722,0.07084445887124094,0.17647058823529413,0.15384615384615385,0.43686775743488016,0.48123716043319065,0.31340055478801915
persistent_content,identity_scene,noisy,75,500,B,0,0.14778641127807385,0.044619012111392825,0.2,0.2080536912751678,0.40050427297072977,0.0007862448692321777,0.0006177332252264023
persistent_positioned,identity_scene,noisy,75,500,B,0,0.11390887506054154,0.11939562378904899,0.16129032258064516,0.19205298013245034,0.29364583717771997,0.0008870810270309448,0.0007457179017364979
persistent_output,identity_scene,noisy,75,500,B,0,0.09943395115060417,0.0617977600340756,0.22448979591836735,0.18421052631578946,0.17912431646379667,0.002632640302181244,0.0023734085261821747
prompt_history_excess,identity_scene,noisy,75,1000,B,0,-0.027339179443941306,-0.04551462809430564,0.1464968152866242,0.11801242236024845,0.18032374727378908,0.27170803770422935,0.22403798811137676
policy_prompt_score,identity_scene,noisy,75,1000,B,0,0.19866624723785295,0.11992200270228075,0.16883116883116883,0.16883116883116883,0.19966859631569622,0.3966044644987975,0.33442763204335413
persistent_content,identity_scene,noisy,75,1000,B,0,0.29590385580428347,0.20470098077923735,0.25874125874125875,0.2328767123287671,0.29994953584563955,0.0021750405430793762,0.0018211724236607552
persistent_positioned,identity_scene,noisy,75,1000,B,0,0.22605275389054091,0.13104415397084285,0.16129032258064516,0.15384615384615385,0.20694090765184095,0.002421911805868149,0.0019198786467313766
persistent_output,identity_scene,noisy,75,1000,B,0,0.11179304017385548,0.11759962570350997,0.22448979591836735,0.25874125874125875,0.15204676293003594,0.006737694144248962,0.005850568413734436
prompt_history_excess,identity_scene,noisy,78,500,B,0,0.2879179037544623,0.20681398632192227,0.25,0.2,0.24416121888779402,0.31272606598213315,0.27449506521224976
policy_prompt_score,identity_scene,noisy,78,500,B,0,0.2936920102176773,0.06856606531103365,0.2080536912751678,0.17647058823529413,0.4305831852246255,0.42337656009574365,0.32521464477689577
persistent_content,identity_scene,noisy,78,500,B,0,0.11746973309254759,-0.06135921171389571,0.16129032258064516,0.1320754716981132,0.39233058878206284,0.0008571669459342957,0.0006468025967478752
persistent_positioned,identity_scene,noisy,78,500,B,0,0.05830892166755362,-0.011124466186381235,0.17647058823529413,0.1464968152866242,0.20313021970638834,0.0008838512003421783,0.0006307996809482574
