comparison,left_probe,right_probe,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
recent4:top>bottom:flow,top_recent4,bottom_recent4,flow_relative_rms,log_ratio,noisy_t1000,64,32,0.20697954352293055,0.18230544446851638,0.71875,0.12376105599697786,0.2908627330506601,0.21737536656891493
recent4:top>bottom:flow,top_recent4,bottom_recent4,flow_relative_rms,log_ratio,noisy_t500,64,32,0.11199984947536393,0.10947031926354131,0.75,0.07207035808430697,0.15352877371629475,0.1224340175953079
recent4:top>bottom:flow,top_recent4,bottom_recent4,flow_relative_rms,log_ratio,pooled,192,32,0.06789307467701401,0.04665401051836228,0.5416666666666666,0.029460034170500093,0.1082091852654537,0.14772727272727273
q_retrieval8:top>random:flow,top_q_retrieval8,random_q_retrieval8,flow_relative_rms,log_ratio,clean,64,32,0.02754290468865745,0.030116448345329245,0.6875,0.009131831297170963,0.04764329736516898,0.3508064516129032
q_retrieval8:top>random:flow,top_q_retrieval8,random_q_retrieval8,flow_relative_rms,log_ratio,noisy_t1000,64,32,-0.023303778691391993,0.026099578990482958,0.515625,-0.1471855180129773,0.09709255477655929,0.34640762463343105
q_retrieval8:top>random:flow,top_q_retrieval8,random_q_retrieval8,flow_relative_rms,log_ratio,noisy_t500,64,32,0.008514063352939858,0.019695804485649882,0.546875,-0.06457459331306917,0.0690452810180797,0.10850439882697946
q_retrieval8:top>random:flow,top_q_retrieval8,random_q_retrieval8,flow_relative_rms,log_ratio,pooled,192,32,0.004251063116735107,0.027066493055748424,0.5833333333333334,-0.059138169322372654,0.06517303717377776,0.21444281524926684
q_retrieval8:top>bottom:flow,top_q_retrieval8,bottom_q_retrieval8,flow_relative_rms,log_ratio,clean,64,32,0.1791320784382374,0.1811923952847766,1.0,0.1599779496657771,0.19906305949122313,0.45014662756598234
q_retrieval8:top>bottom:flow,top_q_retrieval8,bottom_q_retrieval8,flow_relative_rms,log_ratio,noisy_t1000,64,32,0.3185731057796136,0.32852570621463006,0.828125,0.2124540614722142,0.4268809233408644,0.6096041055718474
q_retrieval8:top>bottom:flow,top_q_retrieval8,bottom_q_retrieval8,flow_relative_rms,log_ratio,noisy_t500,64,32,0.23078508276864934,0.24340031417717783,0.921875,0.184376628821176,0.278069455404881,0.24046920821114368
q_retrieval8:top>bottom:flow,top_q_retrieval8,bottom_q_retrieval8,flow_relative_rms,log_ratio,pooled,192,32,0.2428300889955001,0.20658411009519229,0.9166666666666666,0.20124753750550758,0.28637213363432795,0.4974340175953078
value_shift:top>random:flow,top_value_shift,random_value_shift,flow_relative_rms,log_ratio,clean,64,32,0.09425733242951681,0.08802315859691531,0.8125,0.06293496933728267,0.1290260003522704,0.3233137829912023
value_shift:top>random:flow,top_value_shift,random_value_shift,flow_relative_rms,log_ratio,noisy_t1000,64,32,0.4027069027462922,0.4018940340898757,0.875,0.31328907935058714,0.48960688543472025,0.35593841642228735
value_shift:top>random:flow,top_value_shift,random_value_shift,flow_relative_rms,log_ratio,noisy_t500,64,32,0.3055898518444775,0.27865351071320865,0.9375,0.249591590993578,0.3657352382120481,0.10887096774193547
value_shift:top>random:flow,top_value_shift,random_value_shift,flow_relative_rms,log_ratio,pooled,192,32,0.2675180290067622,0.19005566770187277,0.875,0.2177462487935947,0.3187739178543758,0.3823313782991202
value_shift:top>bottom:flow,top_value_shift,bottom_value_shift,flow_relative_rms,log_ratio,clean,64,32,-0.18199991815803196,-0.17026737789092028,0.203125,-0.2509077600945175,-0.11730580869006088,0.5032991202346041
value_shift:top>bottom:flow,top_value_shift,bottom_value_shift,flow_relative_rms,log_ratio,noisy_t1000,64,32,0.5204734758914316,0.5624436711933054,0.890625,0.40125964158526745,0.6278678385157265,0.29545454545454547
value_shift:top>bottom:flow,top_value_shift,bottom_value_shift,flow_relative_rms,log_ratio,noisy_t500,64,32,0.23173280736796947,0.29612556023159986,0.796875,0.13500372177630773,0.32119570843521317,0.3343108504398827
value_shift:top>bottom:flow,top_value_shift,bottom_value_shift,flow_relative_rms,log_ratio,pooled,192,32,0.19006878836712304,0.18125069811350636,0.6302083333333334,0.11830574637536402,0.25859939369525925,0.375366568914956
retrieval_rescue:top:flow,top_q_retrieval8,top_recent4,flow_relative_rms,right_minus_left_relative,clean,64,32,0.2995343879248803,0.30105306037111,1.0,0.28705784355498737,0.31219340790356803,0.34750733137829903
retrieval_rescue:top:flow,top_q_retrieval8,top_recent4,flow_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.39917042554510357,0.39918129197671415,1.0,0.36786719678994184,0.43031124318989533,0.12536656891495598
retrieval_rescue:top:flow,top_q_retrieval8,top_recent4,flow_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.4408182952706299,0.4339268036427516,1.0,0.42492932184464816,0.45753360821592504,0.11436950146627566
retrieval_rescue:top:flow,top_q_retrieval8,top_recent4,flow_relative_rms,right_minus_left_relative,pooled,192,32,0.3798410362468713,0.37943455931632875,1.0,0.3653146185699888,0.39469417560773334,0.00036656891495601173
uniform_rescue:top:flow,top_uniform8,top_recent4,flow_relative_rms,right_minus_left_relative,clean,64,32,0.284937608659935,0.2755156838410455,1.0,0.27281370998661375,0.29818840321852225,0.42851906158357767
uniform_rescue:top:flow,top_uniform8,top_recent4,flow_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.37544757531637785,0.37251081526088003,1.0,0.34552174719564865,0.4036091809190396,0.23607038123167154
uniform_rescue:top:flow,top_uniform8,top_recent4,flow_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.399092976621169,0.39534426146008483,1.0,0.381839044860906,0.4149334485385046,0.4208211143695014
uniform_rescue:top:flow,top_uniform8,top_recent4,flow_relative_rms,right_minus_left_relative,pooled,192,32,0.3531593868658273,0.35159333424512085,1.0,0.3384482741209657,0.36772903625006054,0.40579178885630496
retrieval_vs_uniform:top:flow,top_q_retrieval8,top_uniform8,flow_relative_rms,right_minus_left_relative,clean,64,32,0.019246934210876965,0.021417043497785247,0.78125,0.006899095148499286,0.029126285527399595,0.0344574780058651
retrieval_vs_uniform:top:flow,top_q_retrieval8,top_uniform8,flow_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.029057608151486072,0.0585183356695861,0.609375,-0.014702957665605872,0.069877012316463,-0.12170087976539588
retrieval_vs_uniform:top:flow,top_q_retrieval8,top_uniform8,flow_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.0674789752649519,0.07115504539803308,0.90625,0.04475349540915041,0.08709397479599822,0.07404692082111436
retrieval_vs_uniform:top:flow,top_q_retrieval8,top_uniform8,flow_relative_rms,right_minus_left_relative,pooled,192,32,0.03859450587577166,0.042284601024966534,0.765625,0.02165845698339542,0.055935422987796427,-0.20381231671554248
retrieval_rescue:random:flow,random_q_retrieval8,random_recent4,flow_relative_rms,right_minus_left_relative,clean,64,32,0.35286365910215806,0.3492284375432759,1.0,0.34139633910725314,0.36442331471805706,-0.21737536656891493
retrieval_rescue:random:flow,random_q_retrieval8,random_recent4,flow_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.5819166751628537,0.5982153229447995,1.0,0.5362279446227204,0.6256289274681852,0.1345307917888563
retrieval_rescue:random:flow,random_q_retrieval8,random_recent4,flow_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.5609672891127537,0.5489459829306261,1.0,0.5359645191972472,0.5857938110730606,0.31268328445747795
retrieval_rescue:random:flow,random_q_retrieval8,random_recent4,flow_relative_rms,right_minus_left_relative,pooled,192,32,0.4985825411259219,0.5022772041433201,1.0,0.47707199323866983,0.5185405951485732,0.28372434017595305
retrieval_vs_uniform:random:flow,random_q_retrieval8,random_uniform8,flow_relative_rms,right_minus_left_relative,clean,64,32,0.13468336098754347,0.1353591837517975,0.984375,0.12153523433889145,0.14615528119176616,0.003665689149560117
retrieval_vs_uniform:random:flow,random_q_retrieval8,random_uniform8,flow_relative_rms,right_minus_left_relative,noisy_t1000,64,32,0.35186331498779466,0.36748990436775486,0.953125,0.29485801595700023,0.40799408017822175,0.10227272727272727
retrieval_vs_uniform:random:flow,random_q_retrieval8,random_uniform8,flow_relative_rms,right_minus_left_relative,noisy_t500,64,32,0.33229114852517805,0.30924542689822143,0.984375,0.2917487607206594,0.37259994244557615,0.49266862170087966
retrieval_vs_uniform:random:flow,random_q_retrieval8,random_uniform8,flow_relative_rms,right_minus_left_relative,pooled,192,32,0.27294594150017204,0.23743645249932588,0.9739583333333334,0.24344899268881032,0.3006549737212846,0.3779325513196481
retrieval_selectivity:top_minus_random:x0,top_q_retrieval8_vs_top_uniform8,random_q_retrieval8_vs_random_uniform8,x0_relative_rms,top_gain_minus_random_gain,clean,64,32,-0.05974775932646548,-0.05723574959966335,0.03125,-0.06592241691548896,-0.05398983371370969,-0.03629032258064516
retrieval_selectivity:top_minus_random:x0,top_q_retrieval8_vs_top_uniform8,random_q_retrieval8_vs_random_uniform8,x0_relative_rms,top_gain_minus_random_gain,noisy_t1000,64,32,-0.3227291051334488,-0.29639194306711464,0.109375,-0.4039420414217207,-0.24748857431674093,0.28995601173020524
retrieval_selectivity:top_minus_random:x0,top_q_retrieval8_vs_top_uniform8,random_q_retrieval8_vs_random_uniform8,x0_relative_rms,top_gain_minus_random_gain,noisy_t500,64,32,-0.2645028064535302,-0.24845540945605957,0.015625,-0.3073309585271221,-0.22359068536136728,0.5476539589442815
retrieval_selectivity:top_minus_random:x0,top_q_retrieval8_vs_top_uniform8,random_q_retrieval8_vs_random_uniform8,x0_relative_rms,top_gain_minus_random_gain,pooled,192,32,-0.21565989030448152,-0.15441275325398,0.052083333333333336,-0.24756565544292955,-0.18252860165258078,0.32111436950146627
