comparison,metric,context,unit_count,mean_difference,median_difference,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
top_minus_random,refined_value_coordinate_error,noisy_t1000,64,-0.018118774824648014,-0.019230589477552296,0.109375,-0.021216887347609868,-0.014750835585829607,-0.06231671554252198
top_minus_random,refined_value_coordinate_error,noisy_t500,64,-0.01337231104397587,-0.011482295305985546,0.15625,-0.017872863893502556,-0.009313902077336832,0.41129032258064513
top_minus_random,refined_value_coordinate_error,pooled,64,-0.006310577463645366,-0.005838549083650663,0.265625,-0.009635255314618141,-0.003305123885150822,0.3024193548387097
top_minus_bottom,semantic_refinement_gain,clean,64,-0.000812353938312703,-0.00426960476712945,0.421875,-0.004447979970989561,0.0033345392680383967,-0.0344574780058651
top_minus_bottom,semantic_refinement_gain,noisy_t1000,64,0.007015508975524022,0.007345679338969704,0.6875,0.004171348157255529,0.009923086582721731,0.24853372434017595
top_minus_bottom,semantic_refinement_gain,noisy_t500,64,0.0054965902853534015,0.006004005253392581,0.65625,0.0021703414333963645,0.00904856307847442,0.038489736070381225
top_minus_bottom,semantic_refinement_gain,pooled,64,0.0038999151075215736,0.003178423879392169,0.5625,0.0008684415533050722,0.007175209888707994,0.07661290322580644
top_minus_random,semantic_refinement_gain,clean,64,0.011468284299068425,0.010532756839852987,1.0,0.009729839590050283,0.013446269839298818,0.2214076246334311
top_minus_random,semantic_refinement_gain,noisy_t1000,64,0.007643645192486777,0.006771761996464598,0.828125,0.005759195796552678,0.00975144962424363,0.09457478005865103
top_minus_random,semantic_refinement_gain,noisy_t500,64,0.009939058004561553,0.00988705337448563,0.890625,0.008119614450278178,0.011830290545378073,0.05571847507331378
top_minus_random,semantic_refinement_gain,pooled,64,0.009683662498705585,0.009393747614834597,1.0,0.008274149420874522,0.011319352408755987,0.29032258064516125
top_minus_bottom,raw_value_top1_match,clean,64,0.08662109375,0.0826388888888889,0.984375,0.07492214626736111,0.09827555338541667,0.5511868779450382
top_minus_bottom,raw_value_top1_match,noisy_t1000,64,0.04562717013888889,0.04652777777777778,0.984375,0.038681640625000006,0.05260416666666666,0.4501283764326334
top_minus_bottom,raw_value_top1_match,noisy_t500,64,0.05621744791666666,0.05555555555555554,0.984375,0.04933702256944445,0.06315131293402777,0.30975073313782986
top_minus_bottom,raw_value_top1_match,pooled,64,0.06282190393518519,0.05972222222222221,1.0,0.054889413339120376,0.07070104528356483,0.5674486803519061
top_minus_random,raw_value_top1_match,clean,64,-0.0060763888888888855,-0.004861111111111122,0.375,-0.012001410590277784,0.00010904947916667681,0.14410120144877567
top_minus_random,raw_value_top1_match,noisy_t1000,64,0.026041666666666668,0.02361111111111111,0.984375,0.021961534288194442,0.030284559461805558,0.2691355772605632
top_minus_random,raw_value_top1_match,noisy_t500,64,0.021267361111111112,0.022222222222222227,0.921875,0.017056206597222224,0.02553195529513889,0.17736610716547152
top_minus_random,raw_value_top1_match,pooled,64,0.013744212962962965,0.015162037037037052,0.890625,0.010828993055555559,0.01664867259837963,0.125
top_minus_bottom,refined_value_top1_match,clean,64,-0.018446180555555556,-0.028819444444444453,0.328125,-0.03466932508680556,-0.0006944444444444502,0.45403721206180897
top_minus_bottom,refined_value_top1_match,noisy_t1000,64,0.02194010416666667,0.02152777777777777,0.859375,0.016460503472222228,0.02749620225694445,0.05098578826588976
top_minus_bottom,refined_value_top1_match,noisy_t500,64,0.017165798611111102,0.015625000000000028,0.671875,0.007919921874999993,0.02654106987847222,0.3671860678276811
top_minus_bottom,refined_value_top1_match,pooled,64,0.006886574074074072,-0.0005787037037037108,0.484375,-0.0021166087962962974,0.016974555121527776,0.4160557184750733
top_minus_random,refined_value_top1_match,clean,64,0.002745225694444441,-0.002430555555555547,0.421875,-0.005034993489583339,0.01127387152777777,0.1753645851947449
top_minus_random,refined_value_top1_match,noisy_t1000,64,0.03512369791666667,0.03506944444444446,1.0,0.03128228081597222,0.03873725043402778,0.04237366308174651
top_minus_random,refined_value_top1_match,noisy_t500,64,0.03748914930555555,0.03888888888888892,1.0,0.03257215711805555,0.04231797960069444,0.22688921496698453
top_minus_random,refined_value_top1_match,pooled,64,0.025119357638888888,0.023958333333333325,0.96875,0.021454806857638883,0.02901837384259259,-0.016495601173020527
