layer,head,semantic_interaction,semantic_interaction_samples,null_interaction,null_interaction_samples,interaction_log_ratio,interaction_log_ratio_samples,semantic_native_response,semantic_native_response_samples,null_native_response,null_native_response_samples,semantic_query_response,semantic_query_response_samples,null_query_response,null_query_response_samples,query_log_ratio,query_log_ratio_samples,semantic_current_key_response,semantic_current_key_response_samples,null_current_key_response,null_current_key_response_samples,current_key_log_ratio,current_key_log_ratio_samples,native_log_ratio,native_log_ratio_samples,job_count,bootstrap_family_count,bootstrap_low,bootstrap_high,bootstrap_p_conditional,label,label_code,bootstrap_confidence,reliable_at_80pct,expected_age,expected_age_samples,recent4_mass,recent4_mass_samples,old12_mass,old12_mass_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples
1,10,0.0032948573352769017,3456,0.006355612073093653,3456,-0.37908875435776257,3456,0.005426926538348198,3456,0.007842441089451313,3456,0.007180814165621996,3456,0.012307688593864441,3456,-0.5461214011717856,3456,0.007288389140740037,3456,0.010173782706260681,3456,-0.3574238225612096,3456,-0.34077252682207043,3456,128,16,-0.840737285453986,-0.07444620680940953,0.0,prompt_invariant,0,1.0,1,8.580085754394531,6912,0.3326517641544342,6912,0.29655246436595917,6912,0.9694713354110718,6912,1.0,6912,1.0,6912
1,11,0.0060650205705314875,3456,0.014479841571301222,3456,-0.5187815917815518,3456,0.012637806590646505,3456,0.020308617502450943,3456,0.009422030299901962,3456,0.015010043047368526,3456,-0.474770715332256,3456,0.0068961018696427345,3456,0.00973733002319932,3456,-0.3199829321446487,3456,-0.471851977759693,3456,128,16,-1.0432490064889874,-0.22219088324261949,0.0,prompt_invariant,0,1.0,1,6.177789211273193,6912,0.5022887587547302,6912,0.1434628590941429,6912,0.891886830329895,6912,1.0,6912,1.0,6912
2,0,0.003247275482863188,3456,0.004668543115258217,3456,-0.2080284677213084,3456,0.0074662992265075445,3456,0.009746048133820295,3456,0.008497320581227541,3456,0.010807594750076532,3456,-0.3239282171518849,3456,0.00746209966018796,3456,0.010754699818789959,3456,-0.3681785473009318,3456,-0.291258824564548,3456,128,16,-0.33126552467616616,-0.027765727900506586,0.0,prompt_invariant,0,1.0,1,7.411107063293457,6912,0.4291011244058609,6912,0.22776847332715988,6912,0.9499143958091736,6912,1.0,6912,1.0,6912
2,1,0.003834304166957736,3456,0.004831857513636351,3456,-0.07242206422155562,3456,0.012027123477309942,3456,0.015707517974078655,3456,0.009342657402157784,3456,0.01234889728948474,3456,-0.3523017787206191,3456,0.008355393074452877,3456,0.011395619716495275,3456,-0.3416484708968343,3456,-0.3010136291701453,3456,128,16,-0.16057959442553282,0.0,0.0,prompt_invariant,0,1.0,1,7.6110193729400635,6912,0.42201468348503113,6912,0.2650595009326935,6912,0.9428269863128662,6912,1.0,6912,1.0,6912
2,2,0.003759200917556882,3456,0.013885532971471548,3456,-0.9016012319607516,3456,0.0048316167667508125,3456,0.007101705996319652,3456,0.009294149000197649,3456,0.017348410561680794,3456,-0.6809477573773197,3456,0.005006755236536264,3456,0.009350582957267761,3456,-0.6823086799358167,3456,-0.3760105472998797,3456,128,16,-1.23462740319852,-0.5412093159959068,0.0,prompt_invariant,0,1.0,1,5.729436159133911,6912,0.5468264818191528,6912,0.13039563596248627,6912,0.8916728496551514,6912,3.0,6912,1.0,6912
2,3,0.0013826737413182855,3456,0.0018443107837811112,3456,-0.04136365417562243,3456,0.007532533025369048,3456,0.0104646529071033,3456,0.005273293936625123,3456,0.007384650642052293,3456,-0.3544719290574332,3456,0.0027683370281010866,3456,0.003756909631192684,3456,-0.3273927556640255,3456,-0.3746408529516715,3456,128,16,-0.22847671586740675,0.0,0.0,prompt_invariant,0,1.0,1,13.372648239135742,6912,0.06660076975822449,6912,0.5818861722946167,6912,0.6029698252677917,6912,18.0,6912,1.0,6912
2,4,0.0018354944186285138,3456,0.0018793338676914573,3456,0.0,3456,0.008121540304273367,3456,0.01121896505355835,3456,0.006139021134003997,3456,0.008856970816850662,3456,-0.38634161483837026,3456,0.0030848424648866057,3456,0.004520226735621691,3456,-0.3778678022523046,3456,-0.36812833996448974,3456,128,16,-0.48894239889616575,0.09663669259569493,0.216,prompt_invariant,0,0.784,0,14.679746627807617,6912,0.04663935489952564,6912,0.7541838884353638,6912,0.5149436295032501,6912,17.0,6912,1.0,6912
2,5,0.0027353873010724783,3456,0.004623539512977004,3456,-0.3460332975257513,3456,0.0018859223346225917,3456,0.0031581431394442916,3456,0.008252781815826893,3456,0.012096879538148642,3456,-0.4224354743238625,3456,0.007859466131776571,3456,0.011085963808000088,3456,-0.34481477141228745,3456,-0.4753371797894004,3456,128,16,-0.5408459855560093,-0.23474428799121128,0.0,prompt_invariant,0,1.0,1,6.939242362976074,6912,0.3789476156234741,6912,0.18042820692062378,6912,0.8130728602409363,6912,8.0,6912,0.8333333134651184,6912
2,6,0.002768368925899267,3456,0.004424137994647026,3456,-0.21666306259913456,3456,0.01015270734205842,3456,0.013803139328956604,3456,0.00965359341353178,3456,0.013675611931830645,3456,-0.3761766490137468,3456,0.00923624774441123,3456,0.01166464714333415,3456,-0.30875209252317115,3456,-0.34254448504575663,3456,128,16,-0.3670165519251064,-0.09961092508522307,0.0,prompt_invariant,0,1.0,1,9.259929656982422,6912,0.2626117765903473,6912,0.3176589012145996,6912,0.9799807071685791,6912,1.0,6912,1.0,6912
2,7,0.0015201266505755484,3456,0.002184439799748361,3456,-0.07472418876924315,3456,0.011021703481674194,3456,0.01579559687525034,3456,0.005711325444281101,3456,0.009067367762327194,3456,-0.49214671210168115,3456,0.0027031745994463563,3456,0.003954248037189245,3456,-0.38841585496540554,3456,-0.35976282673463467,3456,128,16,-0.28087040966898635,0.0,0.0,prompt_invariant,0,1.0,1,12.741303443908691,6912,0.16406308859586716,6912,0.6229827404022217,6912,0.6796257197856903,6912,18.0,6912,1.0,6912
