comparison,window,metric,mean_delta,ci95_low,ci95_high,q_value,win_fraction
sf_sink3_9_minus_sf_sink1_9,full,identity_background,-0.000573652171719511,-0.0024546044754717557,0.0012775217619252987,0.999998721992597,0.53125
sf_sink3_9_minus_sf_sink1_9,full,temporal_mechanics,-0.0017894663951573166,-0.003349009706379923,-0.0001851377803884813,0.999998721992597,0.28125
sf_sink3_9_minus_sf_sink1_9,full,semantic_alignment,0.00234825387597084,-0.0028794671463159235,0.008356726413670301,0.999998721992597,0.5
sf_sink3_9_minus_sf_sink1_9,full,visual_quality,0.006084583168849345,-0.0010130773903801987,0.013508947040683901,0.999998721992597,0.5
sf_sink3_9_minus_sf_sink1_9,full,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_21_minus_sf_fifo21,early_half,quality_without_dynamic_degree,-0.2537763891703597,-0.4942523288157642,-0.04818423868690324,,0.3125
sf_sink1_21_minus_sf_fifo21,early_half,official_quality_score,-0.2537763891703597,-0.4945100374932255,-0.052154679157364804,,0.3125
sf_sink1_21_minus_sf_fifo21,early_half,identity_background,-9.559836781150924e-05,-0.001699587101756688,0.0015301203732531416,,0.5
sf_sink1_21_minus_sf_fifo21,early_half,temporal_mechanics,-0.0015432966135738753,-0.002666750582895739,-0.0004896999614800869,,0.25
sf_sink1_21_minus_sf_fifo21,early_half,semantic_alignment,-0.0007485019907887505,-0.003437064184773978,0.0016509522625710782,,0.46875
sf_sink1_21_minus_sf_fifo21,early_half,visual_quality,-0.0038110132023159993,-0.009155402369265073,0.0013096682071419496,,0.4375
sf_sink1_21_minus_sf_fifo21,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_13_minus_sf_sink1_21,early_half,quality_without_dynamic_degree,0.013373717022244769,-0.23344706826124306,0.31495312417175864,,0.3125
sf_sink1_13_minus_sf_sink1_21,early_half,official_quality_score,0.013373717022244769,-0.22837290360351295,0.30373734047809353,,0.3125
sf_sink1_13_minus_sf_sink1_21,early_half,identity_background,-0.0013376370634362346,-0.003025601004129677,0.0006438486576365886,,0.375
sf_sink1_13_minus_sf_sink1_21,early_half,temporal_mechanics,-0.00046641262532383723,-0.0022050924634242582,0.0015604237554542046,,0.28125
sf_sink1_13_minus_sf_sink1_21,early_half,semantic_alignment,0.0014839154734675414,-0.0007000018102449384,0.0037518208962865167,,0.5625
sf_sink1_13_minus_sf_sink1_21,early_half,visual_quality,0.0034792719914444863,-9.795029621039211e-05,0.007740466534758789,,0.5
sf_sink1_13_minus_sf_sink1_21,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_21,early_half,quality_without_dynamic_degree,-0.08411306615832093,-0.3600978150217112,0.22637175145293847,,0.34375
sf_sink1_9_minus_sf_sink1_21,early_half,official_quality_score,-0.08411306615832093,-0.3599327238995776,0.24374131076492475,,0.34375
sf_sink1_9_minus_sf_sink1_21,early_half,identity_background,-0.00026926061846626465,-0.0023323588524743716,0.0020028858561146183,,0.3125
sf_sink1_9_minus_sf_sink1_21,early_half,temporal_mechanics,-0.0016810920010517233,-0.003202952111569293,-9.14540744221627e-05,,0.25
sf_sink1_9_minus_sf_sink1_21,early_half,semantic_alignment,0.0012556372343429543,-0.00219838938210159,0.004706805497075295,,0.5625
sf_sink1_9_minus_sf_sink1_21,early_half,visual_quality,0.0026079630146601494,-0.0018593764209986487,0.007458583750296426,,0.40625
sf_sink1_9_minus_sf_sink1_21,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink1_9_minus_sf_sink1_13,early_half,quality_without_dynamic_degree,-0.0974867831805657,-0.22664389243645164,0.03164794771857473,,0.375
sf_sink1_9_minus_sf_sink1_13,early_half,official_quality_score,-0.0974867831805657,-0.2296384567892414,0.03529589918689101,,0.375
sf_sink1_9_minus_sf_sink1_13,early_half,identity_background,0.00106837644496997,-0.0003686768706398935,0.0026600918753598123,,0.53125
sf_sink1_9_minus_sf_sink1_13,early_half,temporal_mechanics,-0.001214679375727886,-0.0023907506945891168,-0.00019150874251951916,,0.28125
sf_sink1_9_minus_sf_sink1_13,early_half,semantic_alignment,-0.00022827823912458705,-0.0032347728980572066,0.0026710063202439616,,0.53125
sf_sink1_9_minus_sf_sink1_13,early_half,visual_quality,-0.0008713089767843369,-0.0034019978182124174,0.0017893694826468527,,0.375
sf_sink1_9_minus_sf_sink1_13,early_half,dynamic_degree,0.0,0.0,0.0,,0.0
sf_sink3_9_minus_sf_sink1_9,early_half,quality_without_dynamic_degree,-0.2932616418737113,-0.49874691581287006,-0.08901631128852142,,0.21875
sf_sink3_9_minus_sf_sink1_9,early_half,official_quality_score,-0.2932616418737113,-0.49663809326740244,-0.08761067572300106,,0.21875
sf_sink3_9_minus_sf_sink1_9,early_half,identity_background,-0.0007525409139234676,-0.0025003683386579075,0.000876147895041474,,0.46875
