episode_label,boundary_phase,layer,head,switch_residual,switch_residual_samples,paraphrase_residual,paraphrase_residual_samples,parity_residual,parity_residual_samples,residual_log_ratio,residual_log_ratio_samples,query_log_ratio,query_log_ratio_samples,prompt_history_excess,prompt_history_excess_samples,native_log_ratio,native_log_ratio_samples,current_key_log_ratio,current_key_log_ratio_samples,switch_temporal_js,switch_temporal_js_samples,paraphrase_temporal_js,paraphrase_temporal_js_samples,temporal_js_excess,temporal_js_excess_samples,switch_temporal_w1,switch_temporal_w1_samples,paraphrase_temporal_w1,paraphrase_temporal_w1_samples,temporal_w1_excess,temporal_w1_excess_samples,previous_episode_mass,previous_episode_mass_samples,returned_a1_mass,returned_a1_mass_samples
A1,pre_b,1,11,0.025587785989046097,96,0.020603413693606853,96,0.0,96,0.07066805827194775,96,0.5318513762237014,96,-0.2837325702441594,96,0.4858750640653101,96,0.6199882860995792,96,0.00030052590591367334,96,0.00018089529476128519,96,8.373367018066347e-05,96,0.1093606986105442,96,0.11356908082962036,96,-0.010875552892684937,96,0.0,96,0.0,96
A1,pre_b,2,0,0.009429496712982655,96,0.006162565667182207,96,0.0,96,0.603278206005085,96,0.4436232520434269,96,-0.02130019103775571,96,0.49233618767178033,96,0.44165491337675145,96,3.146588642266579e-05,96,1.5503832401009277e-05,96,8.473438356304541e-06,96,0.04903710447251797,96,0.0420672632753849,96,0.0015013422816991806,96,0.0,96,0.0,96
A1,pre_b,2,1,0.0102380127646029,96,0.005173288751393557,96,0.0,96,0.6113005239723821,96,0.43591858021365637,96,0.10895184559835733,96,0.5007711546215089,96,0.5673204723578881,96,5.7865716371452436e-05,96,1.5128716768231243e-05,96,3.3622114642639644e-05,96,0.05075237154960632,96,0.028564522974193096,96,0.016741694882512093,96,0.0,96,0.0,96
A1,pre_b,2,2,0.013746476732194424,96,0.013094090390950441,96,0.0,96,-0.06804983085722834,96,0.13682487034493157,96,-0.10938062348623659,96,0.3274857661083009,96,0.16178355941401923,96,2.3744127247482538e-05,96,2.1693689632229507e-05,96,2.831876827258384e-06,96,0.03338041342794895,96,0.0364848542958498,96,0.0016349367797374725,96,0.0,96,0.0,96
A1,pre_b,2,3,0.003726228140294552,96,0.0016548471758142114,96,0.0,96,0.48964923024288787,96,0.5160394496137317,96,0.005386717076672182,96,0.3834767110888796,96,0.5543735884744154,96,9.175149898510426e-05,96,3.574411675799638e-05,96,2.7015326850232668e-05,96,0.08147372305393219,96,0.041373029351234436,96,0.017235025763511658,96,0.0,96,0.0,96
A1,pre_b,2,4,0.0039217371959239244,96,0.001956157269887626,96,0.0,96,0.5899568310792878,96,0.47008035068161047,96,0.20805614252412807,96,0.38922183108272035,96,0.4374945099536775,96,4.2567349737510085e-05,96,1.2159636753494851e-05,96,1.6595561646681745e-05,96,0.031208676286041737,96,0.02116283029317856,96,0.008522113785147667,96,0.0,96,0.0,96
A1,pre_b,2,5,0.007511588977649808,96,0.004849410615861416,96,0.0,96,0.3595170716675068,96,0.4286755076540572,96,-0.006855722704907252,96,0.2918303042763407,96,0.5330104446659922,96,2.4227520043496042e-05,96,1.5867874026298523e-05,96,9.522607797407545e-06,96,0.02508698869496584,96,0.019377602264285088,96,0.006937060505151749,96,0.0,96,0.0,96
A1,pre_b,2,6,0.010994332376867533,96,0.005285497987642884,96,0.0,96,0.7512902994301031,96,0.5038639019256272,96,0.3059353540990297,96,0.5228176936454947,96,0.5506381635525497,96,1.9396371499169618e-05,96,6.460119038820267e-06,96,1.2757180229527876e-05,96,0.03832617402076721,96,0.020820222795009613,96,0.017382096499204636,96,0.0,96,0.0,96
A1,pre_b,2,7,0.004689753288403153,96,0.0025918501196429133,96,0.0,96,0.5432033455439976,96,0.45676191804057575,96,0.23166159036293044,96,0.4091152849854123,96,0.47896761568665225,96,7.366407953668386e-05,96,6.637752812821418e-05,96,2.5181627734127687e-06,96,0.09188991785049438,96,0.03603470325469971,96,0.00443914532661438,96,0.0,96,0.0,96
A1,pre_b,2,8,0.009416006971150637,96,0.010277748107910156,96,0.0,96,0.1387901489310192,96,0.3641749602518495,96,-0.12290594952042744,96,0.5912766537199861,96,0.5496649171286192,96,0.00012415513629093766,96,0.00016093446174636483,96,3.274149321441655e-06,96,0.12135109305381775,96,0.216899074614048,96,-3.126263618469238e-05,96,0.0,96,0.0,96
A1,pre_b,2,9,0.0073816918302327394,96,0.004871907643973827,96,0.0,96,0.35815235146439073,96,0.42485335835958304,96,-0.03358420953769252,96,0.3791143945836182,96,0.4011254427558437,96,2.2592779714614153e-05,96,8.30573117127642e-06,96,7.4431172834010795e-06,96,0.02387372124940157,96,0.0176714900881052,96,0.0036246776580810547,96,0.0,96,0.0,96
A1,pre_b,2,10,0.012833016458898783,96,0.008299763780087233,96,0.0,96,0.3897075283950614,96,0.4818463679394407,96,-0.1271885133634212,96,0.4968745560408522,96,0.5321148594020755,96,0.00012802318815374747,96,6.0477585066109896e-05,96,5.8131496189162135e-05,96,0.0949123352766037,96,0.06793319433927536,96,0.03847872465848923,96,0.0,96,0.0,96
A1,pre_b,2,11,0.008142994251102209,96,0.004535220563411713,96,0.0,96,0.26070877332003844,96,0.4998852118712901,96,-0.16407200356042334,96,0.5105114832138815,96,0.4693859632431773,96,0.00011161525617353618,96,6.846289034001529e-05,96,6.1334339989116415e-06,96,0.11746574938297272,96,0.08485593646764755,96,0.01007465273141861,96,0.0,96,0.0,96
A1,pre_b,3,0,0.0034666000865399837,96,0.0028658455703407526,96,0.0,96,0.37251082688953147,96,0.6261006439441905,96,-0.2198070478010022,96,0.6270900623606961,96,0.506177498635392,96,0.00010016851592808962,96,3.242263483116403e-05,96,4.562658796203323e-05,96,0.05450396239757538,96,0.026716560125350952,96,0.02117866277694702,96,0.0,96,0.0,96
A1,pre_b,3,1,0.012182088568806648,96,0.007374262670055032,96,0.0,96,0.59409425705327,96,0.7003070527374546,96,-0.03981368023217918,96,0.5031953725446384,96,0.5466803069369504,96,3.5744786146096885e-05,96,7.540063961641863e-06,96,1.697560765023809e-05,96,0.042965956032276154,96,0.021101195365190506,96,0.017812490463256836,96,0.0,96,0.0,96
A1,pre_b,3,2,0.014369369018822908,96,0.00679721450433135,96,0.0,96,0.6050217790295489,96,0.761762913963681,96,-0.11686844189632545,96,0.6427333878620074,96,0.7459439175619986,96,7.687223114771768e-05,96,2.2339743736665696e-05,96,5.186038470128551e-05,96,0.05972926318645477,96,0.030068084597587585,96,0.029626742005348206,96,0.0,96,0.0,96
