layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98
14,9,1,0,0,0.06283793448873197,1,10
14,10,0,0,1,0.11599904907255032,1,10
14,11,0,0,1,0.5790941255377892,1,10
15,0,0,0,1,0.4552772137238929,1,10
15,1,0,0,1,0.4923761920876495,1,10
15,2,0,0,1,0.6427614918785164,1,10
15,3,0,0,1,0.520189365571736,1,10
15,4,0,0,1,0.3620315891466312,2,11
15,5,0,0,1,0.7509310466883258,1,10
15,6,0,0,1,0.38279743466634353,1,10
15,7,0,0,1,0.48529238759193355,1,10
15,8,1,1,1,0.45727093194673246,-1,10
15,9,0,0,1,0.265094096468635,1,10
15,10,0,0,1,0.7002409713492908,1,10
15,11,0,0,1,0.35933400518846625,1,10
16,0,0,0,1,0.6827815106109362,-1,10
16,1,0,0,1,0.6502679288413611,1,10
16,2,0,1,0,0.010956566578815604,-1,10
16,3,0,0,1,0.5356790917231461,1,10
16,4,0,0,1,0.5198053775915448,-1,11
16,5,0,0,1,0.40558703540205954,1,10
16,6,1,1,1,0.44985684019032335,2,11
16,7,0,0,1,0.6220744230717634,1,10
16,8,0,0,1,0.4592123240438305,1,10
16,9,0,0,1,0.09868051705440287,-1,10
16,10,0,0,1,0.5989250855436403,1,10
16,11,0,0,1,0.15158693214459265,1,10
17,0,0,0,1,0.6057444403636701,-1,10
17,1,1,1,1,0.3607269715586423,-1,10
17,2,1,1,1,0.06327956648451706,-1,10
17,3,1,1,1,0.16563651886514108,-1,10
17,4,1,1,1,0.1631701847299197,-1,10
17,5,1,1,1,0.27704144410839043,-1,11
17,6,0,0,1,0.5702814085581548,-1,11
17,7,1,1,1,0.26098557728981625,2,11
17,8,1,1,1,0.31175854867454306,-1,11
17,9,0,0,1,0.47290159920813024,1,10
17,10,0,1,0,0.14345550219724673,1,10
17,11,0,0,1,0.5608498481771551,1,10
18,0,0,0,1,0.3386005819142474,1,10
18,1,0,0,1,0.4843859223694192,1,10
18,2,0,0,1,0.5138418959091394,1,10
18,3,0,0,1,0.4748304353815093,-1,10
18,4,0,0,1,0.699587698754373,1,10
18,5,0,0,1,0.542795246940216,1,10
18,6,0,0,1,0.39986656765843837,1,10
18,7,0,0,1,0.44745970464769746,-1,10
18,8,0,0,1,0.48812279926782254,1,10
18,9,1,1,1,0.11394577582101519,1,10
18,10,0,0,1,0.5604609497181519,1,10
18,11,0,0,1,0.5726758360673145,1,10
19,0,0,0,1,0.23255304204681415,1,10
19,1,0,0,1,0.18056320300534962,1,10
19,2,1,1,1,0.49582706461614623,2,11
19,3,0,0,1,0.7195952318864223,1,10
19,4,1,1,1,0.25103331111377825,2,11
19,5,0,0,1,0.18389503417437034,-1,10
19,6,0,0,1,0.7487820334460744,1,10
19,7,0,0,1,0.014530123774413,-1,11
19,8,0,0,1,0.23164200681117614,1,10
19,9,0,0,1,0.7400013742240544,1,10
19,10,1,1,1,0.8213273532856004,-1,10
19,11,0,0,1,0.4169231364176895,-1,11
20,0,0,0,1,0.5838910070705294,1,10
20,1,1,1,1,0.6530384551135326,-1,10
20,2,1,1,1,0.47262895804807137,-1,10
20,3,1,1,1,0.5328039660001461,-1,10
20,4,0,0,1,0.5954143181736732,1,10
20,5,1,1,1,0.519516440569816,-1,10
20,6,0,0,1,0.5733304418554124,1,10
20,7,1,1,1,0.37576183058558166,-1,10
