comparison,channel,family,intervention,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
leverage:signed:uniform:high>low,leverage,signed,uniform,high>low,x0_relative_rms,paired_log_ratio,pooled,256,32,0.207563715923596,0.16459160793523497,0.86328125,0.14793468763907586,0.294005143777234,0.470307917888563
leverage:signed:uniform:middle>low,leverage,signed,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.3195208833613293,0.248932583105302,0.8125,0.22182555672304957,0.4360712407707214,0.3717008797653959
leverage:signed:uniform:middle>low,leverage,signed,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.30938694670136246,0.2929709552299843,0.96875,0.2478746837253827,0.37912035119335225,0.3885630498533724
leverage:signed:uniform:middle>low,leverage,signed,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.35425542713030833,0.29090003394601816,0.953125,0.25341627056331834,0.4768440050741195,0.4417155425219941
leverage:signed:uniform:middle>low,leverage,signed,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.3495191076377816,0.24150101002119648,0.90625,0.2340555893124528,0.47647729626562646,0.38196480938416416
leverage:signed:uniform:middle>low,leverage,signed,uniform,middle>low,x0_relative_rms,paired_log_ratio,pooled,256,32,0.33317059120769543,0.27912113857563026,0.91015625,0.24608176686007044,0.42807430954823905,0.47434017595307915
leverage:signed:uniform:high>middle,leverage,signed,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.11153436875746961,-0.1227121134237288,0.328125,-0.20387102129776635,-0.02398394397017722,0.3222140762463343
leverage:signed:uniform:high>middle,leverage,signed,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,-0.10889639860338807,-0.09045515254261763,0.171875,-0.15989178877660673,-0.0636907013094165,0.12390029325513194
leverage:signed:uniform:high>middle,leverage,signed,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.1485047252303292,-0.10875758048488374,0.1875,-0.21342994099741683,-0.09665246977767883,0.156891495601173
leverage:signed:uniform:high>middle,leverage,signed,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,-0.13349200854521065,-0.08268016364306888,0.28125,-0.2021515923822931,-0.07334235443880863,0.003299120234604105
leverage:signed:uniform:high>middle,leverage,signed,uniform,high>middle,x0_relative_rms,paired_log_ratio,pooled,256,32,-0.1256068752840994,-0.09427243197266491,0.2421875,-0.186020685409582,-0.07162397461524038,0.3005865102639296
leverage:signed:uniform:high>random_ensemble,leverage,signed,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.16387914731162256,0.15074798070875683,0.78125,0.11306812155964034,0.21726567013009404,0.3717008797653959
leverage:signed:uniform:high>random_ensemble,leverage,signed,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.10792427724931847,0.10264856389756916,0.9375,0.0859740278126585,0.13495379462423399,0.06598240469208211
leverage:signed:uniform:high>random_ensemble,leverage,signed,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.10485049482445069,0.09171948735309865,0.9375,0.08259723598925041,0.1341349867481651,-0.014662756598240468
leverage:signed:uniform:high>random_ensemble,leverage,signed,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.12786880971210168,0.11028719873386761,0.890625,0.09533954786180744,0.16413771609390537,0.15835777126099704
leverage:signed:uniform:high>random_ensemble,leverage,signed,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,pooled,256,32,0.12613068227437335,0.10566588558419077,0.88671875,0.09931745695819912,0.1586766114511761,0.3343108504398827
leverage:signed:uniform:random_ensemble>low,leverage,signed,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.0441073672922371,-0.0032322905937589574,0.484375,-0.0075214117420352574,0.10423029024393275,-0.035923753665689145
leverage:signed:uniform:random_ensemble>low,leverage,signed,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.09256627084865587,0.06554597231351078,0.90625,0.06589270099641674,0.12565351849802683,0.4831378299120234
leverage:signed:uniform:random_ensemble>low,leverage,signed,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.10090020707552841,0.06555337911853276,0.75,0.05140109557505751,0.17047659740174906,0.3412756598240469
leverage:signed:uniform:random_ensemble>low,leverage,signed,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.08815828938046927,0.06441496913324496,0.65625,0.032107279913589803,0.15492222912449644,0.3387096774193548
leverage:signed:uniform:random_ensemble>low,leverage,signed,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,pooled,256,32,0.08143303364922266,0.060861353984155375,0.69921875,0.03892289691576716,0.13790896869515443,0.25146627565982405
