comparison,channel,family,intervention,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:scalar:uniform:high>random6,susceptibility,scalar,uniform,high>random6,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,-0.07283097539223585,-0.07518143906389424,0.109375,-0.09055697440640324,-0.055187762705505385,0.3548387096774193
susceptibility:scalar:uniform:high>random6,susceptibility,scalar,uniform,high>random6,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,-0.0716271749480557,-0.07358859685390357,0.1171875,-0.08870331592725951,-0.05516583318949632,0.4296187683284457
susceptibility:scalar:uniform:random6>low,susceptibility,scalar,uniform,random6>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.26876420937469925,0.28581158981222843,1.0,0.24354623530074093,0.2927187918018933,0.5894428152492668
susceptibility:scalar:uniform:random6>low,susceptibility,scalar,uniform,random6>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.35007344305574795,0.360411931040294,1.0,0.32995282866340947,0.3694832021584085,0.4629765395894428
susceptibility:scalar:uniform:random6>low,susceptibility,scalar,uniform,random6>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.3319403590811819,0.34174695536673916,1.0,0.3107688044167335,0.3528523654825812,0.6301319648093842
susceptibility:scalar:uniform:random6>low,susceptibility,scalar,uniform,random6>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.3149860331510544,0.33385620066064486,1.0,0.29114888216288326,0.33830276876882653,0.6403958944281524
susceptibility:scalar:uniform:random6>low,susceptibility,scalar,uniform,random6>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.3164410111656709,0.3304750059261571,1.0,0.295396110352675,0.3375020463147618,0.6107038123167156
susceptibility:scalar:uniform:high>random7,susceptibility,scalar,uniform,high>random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.0753442263935176,0.09010692441084887,0.859375,0.05940128412252687,0.09011279952244897,0.27052785923753664
susceptibility:scalar:uniform:high>random7,susceptibility,scalar,uniform,high>random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.08400867922576383,0.09064191734893787,0.890625,0.07057809624508694,0.09743332338916773,0.375366568914956
susceptibility:scalar:uniform:high>random7,susceptibility,scalar,uniform,high>random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.09182008669508669,0.10126220748521877,0.90625,0.07726435644332758,0.10541413145308313,0.3636363636363636
