comparison,group,context,metric,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
random1:uniform_over_recent:x0,random1,noisy_f117_t1000,uniform_advantage_x0,128,64,0.03180552176514703,0.03551275878257162,0.578125,-0.014398853583888807,0.0786866659992159,0.1822344322344322
random1:uniform_over_recent:x0,random1,noisy_f117_t750,uniform_advantage_x0,128,64,0.0709437560394,0.08765000312265885,0.6796875,0.023469784628574294,0.11686932100005346,0.228525641025641
random1:uniform_over_recent:x0,random1,noisy_f117_t500,uniform_advantage_x0,128,64,0.0994821956663644,0.11072080122009126,0.7578125,0.054485195542277855,0.14510908177032983,0.2432234432234432
random1:uniform_over_recent:x0,random1,noisy_f117_t250,uniform_advantage_x0,128,64,0.11364024872585042,0.10944117268189571,0.828125,0.08271547945627593,0.1472156728155974,0.3241300366300366
random2:uniform_over_recent:x0,random2,noisy_f117_t1000,uniform_advantage_x0,128,64,0.3543000413415579,0.3061629013592959,0.9453125,0.30416301840860244,0.40896303969401093,0.19931318681318677
random2:uniform_over_recent:x0,random2,noisy_f117_t750,uniform_advantage_x0,128,64,0.27860103812776,0.18701547102034013,0.9140625,0.2203663453862038,0.34644733297770025,0.3315934065934066
random2:uniform_over_recent:x0,random2,noisy_f117_t500,uniform_advantage_x0,128,64,0.21248907214310206,0.13354645546562727,0.8984375,0.16093683749340798,0.2672075668328427,0.4753663003663003
random2:uniform_over_recent:x0,random2,noisy_f117_t250,uniform_advantage_x0,128,64,0.2225413693959415,0.1750658426834524,0.9765625,0.18958085307396855,0.2592539004142239,0.27509157509157506
random3:uniform_over_recent:x0,random3,noisy_f117_t1000,uniform_advantage_x0,128,64,0.20227900672108115,0.1788172886131329,0.84375,0.16019493689643596,0.24158254848718771,0.036538461538461534
random3:uniform_over_recent:x0,random3,noisy_f117_t750,uniform_advantage_x0,128,64,0.21452819805281348,0.20083464282563301,0.8984375,0.17376894629548384,0.2568646763793661,0.06021062271062271
random3:uniform_over_recent:x0,random3,noisy_f117_t500,uniform_advantage_x0,128,64,0.2306580688219912,0.2034440093836716,0.9453125,0.19913031447751028,0.2669785830176634,0.10256410256410256
random3:uniform_over_recent:x0,random3,noisy_f117_t250,uniform_advantage_x0,128,64,0.22443675100461438,0.20812843602501474,0.984375,0.19900592962915112,0.2537656805692026,0.19757326007326007
signed_high4:uniform_over_recent:x0,signed_high4,noisy_f117_t1000,uniform_advantage_x0,128,64,0.27603415608050114,0.21932434212652252,0.8828125,0.2128451333470873,0.33394562433353164,0.4188644688644688
signed_high4:uniform_over_recent:x0,signed_high4,noisy_f117_t750,uniform_advantage_x0,128,64,0.27376269407209886,0.20241265730814778,0.8671875,0.20787548327392238,0.34639711345301355,0.2933608058608059
signed_high4:uniform_over_recent:x0,signed_high4,noisy_f117_t500,uniform_advantage_x0,128,64,0.27311497776158034,0.17094807742763724,0.9296875,0.20594351881831532,0.35093264917690264,0.4209249084249084
signed_high4:uniform_over_recent:x0,signed_high4,noisy_f117_t250,uniform_advantage_x0,128,64,0.2555107519873176,0.22546730704821882,0.9609375,0.2151441968799249,0.3016574922735116,0.22454212454212452
signed_low4:uniform_over_recent:x0,signed_low4,noisy_f117_t1000,uniform_advantage_x0,128,64,0.2280668158361172,0.20521016329602712,0.9296875,0.19672636528211437,0.26043528669165555,0.020283882783882785
signed_low4:uniform_over_recent:x0,signed_low4,noisy_f117_t750,uniform_advantage_x0,128,64,0.20085194979019727,0.15742806202243886,0.9609375,0.17097834445849164,0.23860451697955082,0.16918498168498167
signed_low4:uniform_over_recent:x0,signed_low4,noisy_f117_t500,uniform_advantage_x0,128,64,0.21279718424798197,0.16499515091295394,0.9609375,0.17833158247680228,0.25064639592200927,0.36607142857142855
signed_low4:uniform_over_recent:x0,signed_low4,noisy_f117_t250,uniform_advantage_x0,128,64,0.1593311303875266,0.13879264788854984,1.0,0.13652662843611757,0.18636314430829168,0.3927197802197802
