mode,current_frame,nominal_timestep,layer,head,best_policy,policy_need,recent_budget_loss,boundary_recent_loss,uniform_recent_loss
noisy,117,1000,2,10,boundary_recent,0.00431600958108902,0.2186436876654625,0.21432767808437347,0.2568776309490204
noisy,117,1000,2,11,recent_budget,-0.00191519595682621,0.03399210423231125,0.03590730018913746,0.039017364382743835
noisy,117,1000,3,0,boundary_recent,0.006919389590620995,0.04135431349277496,0.03443492390215397,0.04177502170205116
noisy,117,1000,3,1,boundary_recent,0.08017520606517792,0.31844858825206757,0.23827338218688965,0.28665801882743835
noisy,117,1000,3,2,recent_budget,-0.06296408921480179,0.16435331851243973,0.22731740772724152,0.2482636496424675
noisy,117,1000,3,3,boundary_recent,0.03629416972398758,0.28433845937252045,0.24804428964853287,0.27111974358558655
noisy,117,1000,3,4,boundary_recent,0.06572958081960678,0.13327375799417496,0.06754417717456818,0.10460809618234634
noisy,117,1000,3,5,boundary_recent,0.02326356992125511,0.1353578343987465,0.11209426447749138,0.11984309554100037
noisy,117,1000,3,6,uniform_recent,0.0018540024757385254,0.170883908867836,0.18947312235832214,0.16902990639209747
noisy,117,1000,3,7,boundary_recent,0.01698411488905549,0.027960671111941338,0.010976556222885847,0.019007318653166294
noisy,117,1000,3,8,recent_budget,-0.004265904426574707,0.08179096505045891,0.08605686947703362,0.08743302524089813
noisy,117,1000,3,9,uniform_recent,0.020968668162822723,0.25826823711395264,0.23736204952001572,0.2372995689511299
noisy,117,1000,3,10,boundary_recent,0.06674269586801529,0.2658347189426422,0.19909202307462692,0.21959973126649857
noisy,117,1000,3,11,boundary_recent,0.04836481809616089,0.3012116253376007,0.2528468072414398,0.2693312168121338
noisy,117,1000,4,0,boundary_recent,0.1251864768564701,0.22865889221429825,0.10347241535782814,0.17877674847841263
noisy,117,1000,4,1,recent_budget,-0.016146887093782425,0.08585657179355621,0.12138723954558372,0.10200345888733864
noisy,117,1000,4,2,boundary_recent,0.035915862768888474,0.12152180448174477,0.08560594171285629,0.10963428393006325
noisy,117,1000,4,3,boundary_recent,0.19765126565471292,0.20914480090141296,0.011493535246700048,0.030772951431572437
noisy,117,1000,4,4,boundary_recent,0.15258710831403732,0.3512324392795563,0.19864533096551895,0.2945657819509506
