layer,head,discovery_best_policy,validation_best_policy,split_label_agree,discovery_policy_need,validation_policy_need,modal_state_policy,modal_state_fraction,validation_static_regret,discovery_policy_margin,discovery_recent_budget_loss,validation_recent_budget_loss,discovery_boundary_recent_loss,validation_boundary_recent_loss,discovery_uniform_recent_loss,validation_uniform_recent_loss
11,11,uniform_recent,boundary_recent,0,0.024253785610198975,0.02172316610813141,boundary_recent,0.4782986111111111,0.015543937566413774,0.005729449432142815,0.18871301412582397,0.1863241121172905,0.16544970124959946,0.1646009460091591,0.164459228515625,0.16763491928577423
12,0,boundary_recent,boundary_recent,1,0.0060976240783929825,0.007951607927680016,boundary_recent,0.7795138888888888,0.0,0.10888261119924861,0.04716109670698643,0.04559818468987942,0.041063472628593445,0.0376465767621994,0.045932600274682045,0.04141047038137913
12,1,boundary_recent,boundary_recent,1,0.005307912826538086,0.009937316179275513,boundary_recent,0.4600694444444444,0.017147903685472227,0.012110271505633078,0.1142055056989193,0.1136682741343975,0.10889759287238121,0.103730957955122,0.11024323105812073,0.10987409576773643
12,2,boundary_recent,boundary_recent,1,0.025978696532547474,0.028420832008123398,boundary_recent,0.984375,0.0,0.4782983087861813,0.04741562530398369,0.0479362104088068,0.021436928771436214,0.019515378400683403,0.03856239095330238,0.03596142493188381
12,3,boundary_recent,boundary_recent,1,0.04675298556685448,0.04101517051458359,boundary_recent,0.9505208333333334,0.0,0.27098043441190767,0.12956660985946655,0.12533380463719368,0.08281362429261208,0.08431863412261009,0.11212516203522682,0.1056402213871479
12,4,boundary_recent,boundary_recent,1,0.03726574778556824,0.0390743613243103,boundary_recent,0.8142361111111112,0.0,0.09924799089390451,0.14982954412698746,0.15002883970737457,0.11256379634141922,0.11095447838306427,0.12539279460906982,0.12253699451684952
12,5,boundary_recent,boundary_recent,1,0.035625606775283813,0.04082025587558746,boundary_recent,0.8229166666666666,0.0,0.03291081053812625,0.2042224481701851,0.19833698123693466,0.16859684139490128,0.1575167253613472,0.1746022030711174,0.16753105074167252
12,6,recent_budget,recent_budget,1,-0.003196932375431061,-0.0023323465138673782,recent_budget,0.4956597222222222,0.0,0.07921188648120799,0.03809479996562004,0.03760816901922226,0.04169121943414211,0.03994051553308964,0.0412917323410511,0.04107408598065376
12,7,uniform_recent,recent_budget,0,0.0009076762944459915,-0.0003501158207654953,boundary_recent,0.4947916666666667,0.10451229226515699,0.022917603985851912,0.024495367892086506,0.023056726902723312,0.024139413610100746,0.023406842723488808,0.023587691597640514,0.02373210433870554
12,8,boundary_recent,boundary_recent,1,0.002638302743434906,0.0035638203844428062,boundary_recent,0.5529513888888888,0.0,0.09640856603532919,0.027887050062417984,0.028254136443138123,0.025248747318983078,0.024690316058695316,0.02896176464855671,0.029018783941864967
12,9,boundary_recent,boundary_recent,1,0.005985870957374573,0.0085635706782341,boundary_recent,0.5225694444444444,0.0,0.007136355279231275,0.13578391075134277,0.1289883404970169,0.1297980397939682,0.1204247698187828,0.13074080646038055,0.12225765734910965
12,10,boundary_recent,boundary_recent,1,0.01061477605253458,0.01345975324511528,boundary_recent,0.8975694444444444,0.0,0.21626985816416175,0.040873581543564796,0.04199308715760708,0.030258805491030216,0.0285333339124918,0.0381359551101923,0.03710894472897053
12,11,boundary_recent,boundary_recent,1,0.0085079874843359,0.0083469832316041,boundary_recent,0.9348958333333334,0.0,0.19906288295965602,0.036411795765161514,0.03540070913732052,0.027903808280825615,0.02705372590571642,0.03445785120129585,0.03130736202001572
13,0,boundary_recent,boundary_recent,1,0.0443485826253891,0.038422439247369766,boundary_recent,0.6762152777777778,0.0,0.062457315662040574,0.16525577753782272,0.15437912195920944,0.12090719491243362,0.11595668271183968,0.12956222146749496,0.12475800886750221
13,1,boundary_recent,boundary_recent,1,0.023752138018608093,0.025960668921470642,boundary_recent,0.65625,0.0,0.035779637970914435,0.16502736508846283,0.15931756794452667,0.14127522706985474,0.13335689902305603,0.14667771756649017,0.1409544199705124
13,2,boundary_recent,boundary_recent,1,0.01613759621977806,0.014898993074893951,boundary_recent,0.5711805555555556,0.0,0.02729247289431623,0.10191242024302483,0.0995873436331749,0.08577482402324677,0.08468835055828094,0.08828548341989517,0.08704700693488121
13,3,boundary_recent,boundary_recent,1,0.02764096111059189,0.029906004667282104,boundary_recent,0.6875,0.0,0.0253823142997706,0.16866452991962433,0.1700240597128868,0.14102356880903244,0.1401180550456047,0.14486947655677795,0.14568917453289032
13,4,boundary_recent,boundary_recent,1,0.025152847170829773,0.025316916406154633,boundary_recent,0.6414930555555556,0.0,0.01189631594190968,0.15806018561124802,0.15946462005376816,0.13290733844041824,0.13414770364761353,0.1345948800444603,0.13617996871471405
13,5,uniform_recent,uniform_recent,1,0.007695436477661133,0.011142976582050323,uniform_recent,0.4748263888888889,0.02044526257691543,0.04766786813335454,0.1609574258327484,0.15904644131660461,0.16080986708402634,0.16060777753591537,0.15326198935508728,0.1479034647345543
13,6,boundary_recent,boundary_recent,1,0.03189581632614136,0.03357655555009842,boundary_recent,0.7404513888888888,0.0,0.03224882983575385,0.16435255855321884,0.16951534152030945,0.13245674222707748,0.13593878597021103,0.13712132722139359,0.14248985052108765
13,7,uniform_recent,uniform_recent,1,0.008399643003940582,0.006073035299777985,recent_budget,0.3671875,0.04089017157605124,0.06010659423565524,0.1422748789191246,0.13684909790754318,0.1430872306227684,0.13833224028348923,0.13387523591518402,0.1307760626077652
13,8,boundary_recent,uniform_recent,0,0.0008526891469955444,0.0009258948266506195,boundary_recent,0.40625,0.030613187406601055,0.0052154735611545325,0.09664632752537727,0.0914061963558197,0.09579363837838173,0.09250176697969437,0.09629560261964798,0.09048030152916908
13,9,uniform_recent,uniform_recent,1,0.01106022298336029,0.011941924691200256,boundary_recent,0.5451388888888888,0.06638630321758843,0.018962649485501717,0.13881853967905045,0.1330149546265602,0.1302667185664177,0.12238333001732826,0.12775831669569016,0.12107302993535995
13,10,boundary_recent,boundary_recent,1,0.017117522656917572,0.019416294991970062,boundary_recent,0.5529513888888888,0.0,0.005805384981629221,0.12299155816435814,0.12800779193639755,0.10587403550744057,0.10859149694442749,0.1065230555832386,0.1099197156727314
13,11,boundary_recent,boundary_recent,1,0.02361176535487175,0.01978796161711216,boundary_recent,0.9861111111111112,0.0,0.23154843124175647,0.06462784856557846,0.059355879202485085,0.04101608321070671,0.039567917585372925,0.053282469511032104,0.0492283683270216
14,0,boundary_recent,boundary_recent,1,0.01582556590437889,0.014995910227298737,boundary_recent,0.7717013888888888,0.0,0.12679848788748715,0.07917515560984612,0.07695650681853294,0.06334958970546722,0.06196059659123421,0.07243511825799942,0.06763352826237679
14,1,boundary_recent,boundary_recent,1,0.008138235658407211,0.006676346063613892,boundary_recent,0.4730902777777778,0.006826489068698279,0.03700522162498655,0.12767375260591507,0.1242520660161972,0.11953551694750786,0.11757571995258331,0.12411583960056305,0.12002776190638542
14,2,uniform_recent,boundary_recent,0,0.013799242675304413,0.017309337854385376,boundary_recent,0.4765625,0.04164840311427899,0.0037712268582801157,0.21107888966798782,0.2147514671087265,0.19804193824529648,0.19744212925434113,0.1972796469926834,0.19899588078260422
14,3,boundary_recent,boundary_recent,1,0.0058165546506643295,0.00380721315741539,boundary_recent,0.6267361111111112,0.0,0.04203226233528623,0.05693290941417217,0.05419446341693401,0.05111635476350784,0.05038725025951862,0.05337807349860668,0.052528269588947296
14,4,boundary_recent,boundary_recent,1,0.025054380297660828,0.025670066475868225,boundary_recent,0.8012152777777778,0.0,0.19386952979266475,0.09249522536993027,0.08863179758191109,0.06744084507226944,0.06296173110604286,0.08314982801675797,0.07423834502696991
14,5,boundary_recent,boundary_recent,1,0.008203515782952309,0.007833275943994522,boundary_recent,0.8125,0.0,0.11323437079836385,0.041170766577124596,0.03994753956794739,0.03296725079417229,0.032114263623952866,0.03716849163174629,0.036523180082440376
14,6,boundary_recent,boundary_recent,1,0.026801034808158875,0.027397066354751587,boundary_recent,0.8359375,0.0,0.09492077046723539,0.1659250259399414,0.16820776462554932,0.13912399113178253,0.14081069827079773,0.15363693237304688,0.15155929327011108
14,7,boundary_recent,boundary_recent,1,0.005475834012031555,0.0077483877539634705,boundary_recent,0.4279513888888889,0.01017122176216648,0.0092527235602116,0.1167745441198349,0.11495605483651161,0.11129871010780334,0.10720766708254814,0.11234865337610245,0.10873128101229668
14,8,boundary_recent,boundary_recent,1,0.009674969129264355,0.00964736845344305,boundary_recent,0.8940972222222222,0.0,0.21077786365746914,0.037404607981443405,0.03529680147767067,0.02772963885217905,0.02564943302422762,0.03474724106490612,0.03204026632010937
14,9,boundary_recent,boundary_recent,1,0.044771187007427216,0.043680671602487564,boundary_recent,0.9435763888888888,0.0,0.1340046430696223,0.16490688920021057,0.16610437631607056,0.12013570219278336,0.12242370471358299,0.13908052444458008,0.13851211965084076
14,10,boundary_recent,boundary_recent,1,0.010699441656470299,0.009431026875972748,boundary_recent,0.7560763888888888,0.0,0.1282335859265183,0.06617782264947891,0.060122353956103325,0.055478380993008614,0.05069132708013058,0.06338800862431526,0.05795275792479515
