mode,current_frame,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
clean,21,3,3,0.20741863548755646,128,7.523900985717773,128,0.41799449920654297,128,0.3553188443183899,128,0.6446811854839325,128,0.1925123706459999,128,-0.1330966055393219,128,0.9499258697032928,128,1.0,128,1.0,128,0.0,128,18.0,128,0.4489881694316864,128,-1.2135942578315735,128,-0.6677733063697815,128
clean,21,3,4,0.5048788189888,128,13.200075626373291,128,0.7333375513553619,128,0.011825778521597385,128,0.9881742596626282,128,0.5334460139274597,128,0.21039646863937378,128,0.573657751083374,128,18.0,128,0.8888888955116272,128,0.11764705926179886,128,6.0,128,0.9123023748397827,128,0.5191120803356171,128,0.09977052360773087,128
clean,21,3,5,0.17459142953157425,128,4.585778713226318,128,0.25476549565792084,128,0.6489053666591644,128,0.35109463334083557,128,0.09510193020105362,128,-0.4266831576824188,128,0.782122403383255,128,1.0,128,1.0,128,0.0,128,18.0,128,0.4470980018377304,128,-1.8381549715995789,128,-0.7804760038852692,128
clean,21,3,6,0.18063458055257797,128,4.250831127166748,128,0.23615729063749313,128,0.6796745955944061,128,0.32032541930675507,128,0.06639835983514786,128,-0.45745237171649933,128,0.7413126230239868,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5120945572853088,128,-1.7168482542037964,128,-0.8338440954685211,128
clean,21,3,7,0.7012250423431396,128,17.29902172088623,128,0.9610567688941956,128,0.0007226013694889843,128,0.9992774426937103,128,0.9438375532627106,128,0.22149965167045593,128,0.23540665954351425,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8290866613388062,128,0.950466126203537,128,0.2953474074602127,128
clean,21,3,8,0.2818901389837265,128,6.841686487197876,128,0.38009369373321533,128,0.4391312301158905,128,0.5608688294887543,128,0.19395596534013748,128,-0.21690896153450012,128,0.8708704710006714,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5580952763557434,128,-1.2076676487922668,128,-0.5073255300521851,128
clean,21,3,9,0.26535220444202423,128,8.088219165802002,128,0.44934549927711487,128,0.37642090022563934,128,0.6235791146755219,128,0.27616195380687714,128,-0.15419867634773254,128,0.9028532803058624,128,1.0,128,1.0,128,0.0,128,18.0,128,0.553491622209549,128,-1.2714900970458984,128,-0.3740445673465729,128
clean,21,3,10,0.19701573252677917,128,7.096546173095703,128,0.39425256848335266,128,0.44169963896274567,128,0.5583003461360931,128,0.20624379813671112,128,-0.21947744488716125,128,0.9281523525714874,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5131876468658447,128,-1.8431300520896912,128,-0.76418137550354,128
clean,21,3,11,0.2743247300386429,128,7.0268073081970215,128,0.3903781920671463,128,0.4446885883808136,128,0.5553114414215088,128,0.18588833510875702,128,-0.2224663496017456,128,0.9089748561382294,128,1.0,128,1.0,128,0.0,128,9.0,128,0.3785507380962372,128,-1.5992880463600159,128,-0.6615467667579651,128
clean,21,4,0,0.4664434492588043,128,11.042049884796143,128,0.6134472191333771,128,0.18984942138195038,128,0.8101505637168884,128,0.48644836246967316,128,0.03237277269363403,128,0.8891133666038513,128,17.0,128,1.0,128,0.0,128,6.0,128,0.535082072019577,128,0.2963433563709259,128,0.33324219286441803,128
clean,21,4,1,0.1869851052761078,128,4.3039703369140625,128,0.23910946398973465,128,0.6699457168579102,128,0.33005429804325104,128,0.07799195125699043,128,-0.44772349298000336,128,0.766838401556015,128,1.0,128,1.0,128,0.0,128,18.0,128,0.57901930809021,128,-1.8393319845199585,128,-0.7808930575847626,128
clean,21,4,2,0.2491919845342636,128,5.913513422012329,128,0.3285285234451294,128,0.555070549249649,128,0.44492945075035095,128,0.15939133614301682,128,-0.33284834027290344,128,0.7861270010471344,128,1.0,128,1.0,128,0.0,128,18.0,128,0.45981596410274506,128,-1.2991487979888916,128,-0.47311176359653473,128
clean,21,4,3,0.694446474313736,128,9.511937141418457,128,0.5284409523010254,128,0.44567228853702545,128,0.5543277263641357,128,0.45740413665771484,128,-0.22345006465911865,128,0.36148902773857117,128,18.0,128,1.0,128,0.0,128,6.0,128,0.7936314046382904,128,0.23383913934230804,128,-0.07645272091031075,128
