factor,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples
action,8,4,0.12348590658419842,16,-0.043303749106796324,16,-0.33297152286323467,16,0.1154187700591974,16,0.0864847225413108,16,0.07957708729199924,16
action,8,5,0.3055576838220426,16,-0.1040295663269454,16,-0.10730249631330326,16,0.20141877811657125,16,0.20653427686034995,16,0.17005326483293537,16
action,8,6,0.08817029327526033,16,-0.02631704304455424,16,-0.15565596464840126,16,0.16138612485455373,16,-0.007784494081413149,16,0.11159319570407289,16
action,8,7,0.07967790288776117,16,-0.024789037342225016,16,-0.25244727017049395,16,0.08748939343610114,16,0.2076726249956608,16,0.15854498110535153,16
action,8,8,0.22958604730932775,16,-0.0074147120326558385,16,-0.06543633574182443,16,0.23020616314668566,16,0.1820953703397229,16,-0.028032208424692957,16
action,8,9,0.07955283582799812,16,-0.017033591227925145,16,-0.04430479128260244,16,0.290146846047918,16,0.12018214943631339,16,0.16208937345279822,16
action,8,10,-0.06221027063481547,16,-0.07150016655294128,16,-0.35448863753196724,16,0.05585108535606012,16,0.07673485634649532,16,0.09067851246788036,16
action,8,11,-0.07755991209183842,16,-0.0684765564940773,16,-0.3236871351461117,16,0.10969985742210149,16,0.14864702058004228,16,0.21880494965561714,16
action,9,0,-0.06412498149257484,16,-0.036047679866891204,16,-0.29707820985926275,16,0.32708165020402613,16,0.25455695103171183,16,0.20716402719297378,16
action,9,1,0.3844378609621555,16,-0.030073369663397687,16,-0.30151060508462135,16,0.18702241360336594,16,0.44828253196532886,16,0.4318726217031561,16
action,9,2,0.056261789312971294,16,-0.026027816531716284,16,-0.16728782845293702,16,0.3535645309943184,16,0.12350467415507306,16,0.14033926155400087,16
action,9,3,0.08937689387286904,16,-0.04552918229075572,16,-0.2959766682519453,16,-0.04195292064772371,16,0.02894549183039677,16,-0.041044048566993466,16
action,9,4,0.3715630025158033,16,-0.006503077912566265,16,0.04113188835142193,16,0.22057164972682244,16,0.23249933066470008,16,0.2595336041662879,16
action,9,5,0.3138937795838146,16,-0.009746175715421353,16,-0.07093770348768852,16,0.17459607910435188,16,0.19364910795205398,16,0.2401345665426103,16
action,9,6,0.14040119450190797,16,-0.023699128345667005,16,-0.18438560089863307,16,-0.06368547714865876,16,0.015144281206982139,16,0.021148946964458147,16
action,9,7,0.4906015586923894,16,-0.014332842300143013,16,-0.0646770691567615,16,0.31526682944842116,16,0.19019136308210272,16,0.21699173822203355,16
action,9,8,0.2781304654761597,16,-0.08792889155182554,16,-0.14584284095557498,16,0.357927345536324,16,0.14380090710988436,16,0.21624099552351078,16
action,9,9,0.29294672739823663,16,-0.01471958262544483,16,0.026341600648266926,16,0.2378364611855271,16,0.24218166806289593,16,0.30390705673391155,16
action,9,10,0.1338657991636191,16,-0.014250544933928268,16,0.004667546825865498,16,0.17629588711574395,16,0.18694956293220927,16,0.15476284675044805,16
action,9,11,0.25255220308456744,16,-0.027132423121261635,16,-0.06603232038182993,16,0.3600742057768646,16,0.16727738038686246,16,0.23000032694143274,16
action,10,0,0.027892229620622135,16,-0.009076159845630961,16,-0.16034318159275657,16,0.19538037620208884,16,0.19769084136544707,16,0.2600373795279169,16
action,10,1,0.17794277586362214,16,-0.023666854171800145,16,-0.14927854429161752,16,0.1591899636338098,16,0.1481603459536847,16,0.19554344425113618,16
action,10,2,0.1383292736414893,16,-0.05882480768001436,16,-0.07207175512953529,16,0.2056274619697545,16,0.22986442386607236,16,0.24525970190488328,16
action,10,3,0.18249835426293196,16,-0.054708634562017154,16,-0.22368944070095292,16,0.3392681301564597,16,0.22597577069537145,16,0.23359345889485425,16
action,10,4,0.3858543167599702,16,-0.03999227568685751,16,-0.11711708593822598,16,0.2735595732272601,16,0.18423646686328438,16,0.19888480594571914,16
action,10,5,0.26465443464154026,16,-0.07913509170468977,16,-0.043924614537410006,16,0.1890925511372746,16,0.2497545192619381,16,0.15668941658784769,16
action,10,6,0.16570046678732575,16,-0.026678594197136328,16,-0.21586603749789984,16,0.30556907520749027,16,0.19882769707744136,16,0.17841547355655363,16
action,10,7,0.1508813399407875,16,-0.025047998437257104,16,-0.03974977715944081,16,0.2416686389151702,16,0.2756732931773475,16,0.21625748585754195,16
action,10,8,0.3288075407575364,16,-0.002174913409241811,16,0.12419018423647253,16,0.28389486726053403,16,0.208318080662018,16,0.1820706986564241,16
action,10,9,0.21670942104689736,16,-0.06325821670929181,16,-0.0917394024688662,16,0.2944587530391477,16,0.08738833296899967,16,0.20380280731433018,16
action,10,10,0.15343171846385095,16,-0.01955693350897833,16,-0.25637791834761064,16,0.24525242583587065,16,0.2234219438502883,16,0.27014982452287983,16
action,10,11,0.13554313820755529,16,-0.013550062328294487,16,-0.035204525353701624,16,0.20584765643618919,16,0.17826171216457382,16,0.18274891003925223,16
action,11,0,-0.021717704076397715,16,-0.05961785426024476,16,-0.06440296573897387,16,0.16198427788994535,16,0.16243013723367922,16,0.14907581123299377,16
action,11,1,0.16431771800519301,16,-0.022632566305540606,16,-0.10688016212146781,16,0.1589197035126808,16,0.170191737284148,16,0.16525321109671137,16
action,11,2,0.046787991345600195,16,-0.0266053274835737,16,-0.20469756617666846,16,0.057549915826714614,16,0.11471840492749921,16,0.07481199636423934,16
action,11,3,0.1525754044050557,16,-0.024000423086478526,16,-0.059970510643501326,16,0.28734238278192503,16,0.1826274999474497,16,0.14520952642332896,16
action,11,4,0.11118016696322619,16,-0.03746040553512318,16,-0.07039901260885609,16,0.08679039030399034,16,0.1384181651835275,16,0.1025574534663406,16
action,11,5,0.0867207825740805,16,-0.03840729903997727,16,-0.24135948569761106,16,0.1585972273244189,16,0.06292415367529515,16,0.13468006488656778,16
action,11,6,0.12764371522245618,16,-0.05784713401063634,16,-0.1425362911201955,16,0.2530235615436844,16,0.18287964863222847,16,0.186422121517538,16
action,11,7,0.14828554824484613,16,-0.030720283430340587,16,-0.17031157839887265,16,0.13818161118452013,16,0.16468319142837987,16,0.1429256164246066,16
action,11,8,0.11014555380704416,16,-0.022482085039098366,16,-0.21821605832804478,16,0.22729818716851743,16,0.11466236045843439,16,0.0908631410177306,16
