mode,nominal_timestep,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
clean,0,2,7,0.49180833995342255,128,16.316972732543945,128,0.9064984619617462,128,0.025881562381982803,128,0.9741184711456299,128,0.8668734431266785,128,0.1963406801223755,128,0.39683540165424347,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6634955704212189,128,0.6102353632450104,128,0.23345405608415604,128
clean,0,2,8,0.41252395510673523,128,15.288320064544678,128,0.8493511080741882,128,0.04455489665269852,128,0.9554450511932373,128,0.772956132888794,128,0.1776672601699829,128,0.484864205121994,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6732277870178223,128,0.4375496953725815,128,0.08349741622805595,128
clean,0,2,9,0.13227399438619614,128,8.24991226196289,128,0.4583284556865692,128,0.3176618367433548,128,0.6823382377624512,128,0.2561384439468384,128,-0.09543955326080322,128,0.9554910361766815,128,3.0,128,1.0,128,0.0,128,6.0,128,0.6282714605331421,128,-1.0459551215171814,128,-0.4545454978942871,128
clean,0,2,10,0.30006004869937897,128,11.072033882141113,128,0.6151129901409149,128,0.08251473680138588,128,0.9174851775169373,128,0.3854124993085861,128,0.13970738649368286,128,0.7391123473644257,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8946275413036346,128,0.4598231315612793,128,0.0014286169316619635,128
clean,0,2,11,0.4811333864927292,128,12.285988330841064,128,0.6825549006462097,128,0.12547516077756882,128,0.8745248317718506,128,0.5142560601234436,128,0.09674704074859619,128,0.70372474193573,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8049931824207306,128,0.030621212907135487,128,0.045558810234069824,128
clean,0,3,0,0.5391146242618561,128,15.153719425201416,128,0.841873288154602,128,0.01953889522701502,128,0.9804610908031464,128,0.7197435796260834,128,0.20268329977989197,128,0.5546475946903229,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8476126194000244,128,0.8486617505550385,128,0.37617097795009613,128
clean,0,3,1,0.2067154124379158,128,8.187464237213135,128,0.4548591375350952,128,0.3255602717399597,128,0.6744397282600403,128,0.23497144877910614,128,-0.10333806276321411,128,0.9422532916069031,128,1.0,128,1.0,128,0.0,128,6.0,128,0.4595539718866348,128,-0.9567484855651855,128,-0.40379300713539124,128
clean,0,3,2,0.30828849971294403,128,8.598050117492676,128,0.47766944766044617,128,0.08237691223621368,128,0.9176231026649475,128,0.22225023061037064,128,0.13984531164169312,128,0.6447188854217529,128,5.0,128,1.0,128,0.0,128,6.0,128,0.7997342050075531,128,-0.13292958587408066,128,-0.09141862392425537,128
clean,0,3,3,0.17586904019117355,128,7.802346229553223,128,0.4334636777639389,128,0.33115507662296295,128,0.6688448786735535,128,0.19810651242733002,128,-0.10893291234970093,128,0.9591720998287201,128,3.0,128,1.0,128,0.0,128,18.0,128,0.4696086347103119,128,-1.2228009104728699,128,-0.6699340045452118,128
clean,0,3,4,0.398761585354805,128,13.836991786956787,128,0.7687217891216278,128,0.008316460065543652,128,0.9916834831237793,128,0.5907265245914459,128,0.2139056921005249,128,0.5381275713443756,128,18.0,128,0.9444444179534912,128,0.11764705926179886,128,6.0,128,0.9367911219596863,128,0.57560995221138,128,0.1476815938949585,128
clean,0,3,5,0.1739930808544159,128,5.332202434539795,128,0.2962334603071213,128,0.5820827782154083,128,0.4179172217845917,128,0.1134205311536789,128,-0.3598605692386627,128,0.8403359949588776,128,1.0,128,1.0,128,0.0,128,18.0,128,0.48061078786849976,128,-1.9230945706367493,128,-0.8279864192008972,128
clean,0,3,6,0.17387252300977707,128,4.9087207317352295,128,0.2727067172527313,128,0.6216726303100586,128,0.3783273696899414,128,0.07045839354395866,128,-0.399450421333313,128,0.7799746990203857,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5677441358566284,128,-1.7537850737571716,128,-0.8902765512466431,128
clean,0,3,7,0.6013910174369812,128,17.27921772003174,128,0.9599565267562866,128,0.0007226013694889843,128,0.9992774426937103,128,0.9368571043014526,128,0.22149965167045593,128,0.23411008715629578,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8165161609649658,128,0.9105252325534821,128,0.2644408196210861,128
clean,0,3,8,0.2612903267145157,128,6.633039236068726,128,0.3685021698474884,128,0.4655572175979614,128,0.534442812204361,128,0.17186998575925827,128,-0.24333497881889343,128,0.8874253928661346,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5435487627983093,128,-1.6612417101860046,128,-0.6910578906536102,128
clean,0,3,9,0.2641818970441818,128,7.903190851211548,128,0.43906615674495697,128,0.407135009765625,128,0.5928649604320526,128,0.27831441164016724,128,-0.18491283059120178,128,0.9136424958705902,128,1.0,128,1.0,128,0.0,128,18.0,128,0.6337986290454865,128,-1.5740296840667725,128,-0.45628729462623596,128
clean,0,3,10,0.19300205260515213,128,6.984825134277344,128,0.3880458474159241,128,0.4520278573036194,128,0.5479721426963806,128,0.20373821258544922,128,-0.22980564832687378,128,0.9308049380779266,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5639885663986206,128,-1.9512246251106262,128,-0.7558076083660126,128
clean,0,3,11,0.2647261321544647,128,7.249315500259399,128,0.4027397483587265,128,0.4175475537776947,128,0.5824523866176605,128,0.1865878328680992,128,-0.19532540440559387,128,0.9357217848300934,128,1.0,128,1.0,128,0.0,128,9.0,128,0.40838198363780975,128,-1.5577343106269836,128,-0.7056654095649719,128
clean,0,4,0,0.4298349767923355,128,12.260550022125244,128,0.6811416745185852,128,0.11592191085219383,128,0.8840780556201935,128,0.5518885552883148,128,0.10630026459693909,128,0.8829486072063446,128,17.0,128,1.0,128,0.0,128,6.0,128,0.5412281155586243,128,0.8629233539104462,128,0.5994073748588562,128
clean,0,4,1,0.19744093716144562,128,5.354897499084473,128,0.2974943071603775,128,0.5993821918964386,128,0.4006177932024002,128,0.12068019062280655,128,-0.3771599978208542,128,0.8232843577861786,128,1.0,128,1.0,128,0.0,128,18.0,128,0.6751965284347534,128,-1.8413349390029907,128,-0.783447653055191,128
clean,0,4,2,0.2366148754954338,128,7.066931486129761,128,0.39260730147361755,128,0.46108436584472656,128,0.5389156639575958,128,0.20588287711143494,128,-0.23886212706565857,128,0.8079400360584259,128,1.0,128,1.0,128,0.0,128,18.0,128,0.4982435703277588,128,-1.1371303796768188,128,-0.40195275843143463,128
clean,0,4,3,0.519526481628418,128,7.413507699966431,128,0.4118615388870239,128,0.5767882764339447,128,0.4232117384672165,128,0.3341352194547653,128,-0.3545660525560379,128,0.33521896600723267,128,1.0,128,1.0,128,0.0,128,6.0,128,0.8177936971187592,128,0.14315728843212128,128,-0.12050442397594452,128
clean,0,4,4,0.2939511239528656,128,9.85495662689209,128,0.5474976003170013,128,0.2220187559723854,128,0.7779812216758728,128,0.33595573902130127,128,0.0002034306526184082,128,0.8539637327194214,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6891703009605408,128,-0.2853407859802246,128,-0.07967347279191017,128
clean,0,4,5,0.6165432333946228,128,15.383514404296875,128,0.8546396791934967,128,0.026212356984615326,128,0.9737876653671265,128,0.7697690725326538,128,0.19600987434387207,128,0.4898206293582916,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8579799234867096,128,0.5817752480506897,128,0.23096522688865662,128
clean,0,4,6,0.19359468668699265,128,7.435250282287598,128,0.4130694568157196,128,0.4245365411043167,128,0.5754635035991669,128,0.23779841512441635,128,-0.20231428742408752,128,0.9556878507137299,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5871755480766296,128,-2.1017568111419678,128,-0.7649500072002411,128
clean,0,4,7,0.23909249156713486,128,7.117727994918823,128,0.395429328083992,128,0.4134773910045624,128,0.58652263879776,128,0.19377852976322174,128,-0.19125515222549438,128,0.9269536137580872,128,1.0,128,1.0,128,0.0,128,18.0,128,0.47345416247844696,128,-1.5182849764823914,128,-0.6914237439632416,128
clean,0,4,8,0.28554216027259827,128,10.223272323608398,128,0.5679595768451691,128,0.20768838375806808,128,0.7923116385936737,128,0.40817151963710785,128,0.014533847570419312,128,0.9741047918796539,128,15.0,128,1.0,128,0.0,128,18.0,128,0.5628845989704132,128,0.15137743949890137,128,0.37513367831707,128
clean,0,4,9,0.21164137870073318,128,9.024520874023438,128,0.5013622641563416,128,0.2523709088563919,128,0.7476291656494141,128,0.27988219261169434,128,-0.030148625373840332,128,0.9777925610542297,128,10.0,128,1.0,128,0.0,128,6.0,128,0.5141025483608246,128,-0.5803975164890289,128,-0.2892910987138748,128
clean,0,4,10,0.2373846247792244,128,6.8667871952056885,128,0.3814881891012192,128,0.5098574757575989,128,0.4901425689458847,128,0.21566960215568542,128,-0.2876352220773697,128,0.9056459665298462,128,1.0,128,1.0,128,0.0,128,18.0,128,0.6285224258899689,128,-1.9498201608657837,128,-0.606831967830658,128
clean,0,4,11,0.22053072601556778,128,6.99132776260376,128,0.3884070962667465,128,0.4543253481388092,128,0.5456746816635132,128,0.20776080340147018,128,-0.2321031093597412,128,0.8918145895004272,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5772876441478729,128,-1.590607464313507,128,-0.633312463760376,128
clean,0,5,0,0.24338304996490479,128,4.846976041793823,128,0.2692764550447464,128,0.6221141815185547,128,0.3778858184814453,128,0.13476456701755524,128,-0.3998919725418091,128,0.728095680475235,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5297492146492004,128,-1.4197235703468323,128,-0.5227810144424438,128
clean,0,5,1,0.6200718283653259,128,14.084031105041504,128,0.7824461758136749,128,0.03610072284936905,128,0.9638992547988892,128,0.6312359869480133,128,0.18612146377563477,128,0.5852223336696625,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8786446750164032,128,0.4258502125740051,128,0.10785868391394615,128
clean,0,5,2,0.5178705453872681,128,17.02649211883545,128,0.9459162354469299,128,0.00781676615588367,128,0.992183268070221,128,0.8989375829696655,128,0.21440547704696655,128,0.24095767736434937,128,18.0,128,0.8888888955116272,128,0.23529411852359772,128,6.0,128,0.8213915228843689,128,0.7228815853595734,128,0.20960740000009537,128
clean,0,5,3,0.2291249856352806,128,9.565859317779541,128,0.5314366221427917,128,0.2196214199066162,128,0.7803785800933838,128,0.3329060971736908,128,0.0026007890701293945,128,0.9920032918453217,128,7.0,128,1.0,128,0.0,128,9.0,128,0.41558724641799927,128,0.10438519716262817,128,0.08753659948706627,128
clean,0,5,4,0.4084358513355255,128,15.135003089904785,128,0.8408335149288177,128,0.026928119361400604,128,0.9730718731880188,128,0.7022683620452881,128,0.1952940821647644,128,0.5705388188362122,128,18.0,128,1.0,128,0.0,128,6.0,128,0.7643297016620636,128,0.9395411014556885,128,0.3970947414636612,128
clean,0,5,5,0.1629478484392166,128,6.94661808013916,128,0.38592322170734406,128,0.5090332329273224,128,0.4909667819738388,128,0.26114436984062195,128,-0.2868110090494156,128,0.896373987197876,128,1.0,128,1.0,128,0.0,128,18.0,128,0.7202738225460052,128,-1.857125699520111,128,-0.44426141679286957,128
clean,0,5,6,0.4214269816875458,128,12.204898834228516,128,0.6780499219894409,128,0.17164815962314606,128,0.8283518850803375,128,0.5487765669822693,128,0.05057409405708313,128,0.7414791882038116,128,18.0,128,1.0,128,0.0,128,6.0,128,0.5608387589454651,128,-0.3215106278657913,128,-0.034284258261322975,128
clean,0,5,7,0.3417157381772995,128,2.8608773946762085,128,0.15893763303756714,128,0.8315238654613495,128,0.1684761643409729,128,0.06960814446210861,128,-0.6093016266822815,128,0.4339091330766678,128,1.0,128,1.0,128,0.0,128,18.0,128,0.530913382768631,128,-1.3669281005859375,128,-0.5462223887443542,128
clean,0,5,8,0.2072572484612465,128,8.15746784210205,128,0.45319266617298126,128,0.30571678280830383,128,0.6942832171916962,128,0.242253839969635,128,-0.08349457383155823,128,0.9646536409854889,128,1.0,128,1.0,128,0.0,128,18.0,128,0.443313866853714,128,-1.0012557804584503,128,-0.5117524564266205,128
clean,0,5,9,0.7335887849330902,128,13.411592960357666,128,0.7450884878635406,128,0.05426846072077751,128,0.945731520652771,128,0.5858488976955414,128,0.1679537296295166,128,0.6876147091388702,128,17.0,128,1.0,128,0.0,128,6.0,128,0.8398509919643402,128,0.791779100894928,128,0.41836707293987274,128
clean,0,5,10,0.3719337284564972,128,1.5652095675468445,128,0.08695608749985695,128,0.9486887454986572,128,0.05131120793521404,128,0.0241986196488142,128,-0.7264665961265564,128,0.18514623492956161,128,1.0,128,1.0,128,0.0,128,6.0,128,0.8220350444316864,128,-0.9231798052787781,128,-0.4404730200767517,128
clean,0,5,11,0.3814469575881958,128,10.950355052947998,128,0.6083530783653259,128,0.18066756427288055,128,0.8193323612213135,128,0.40826232731342316,128,0.04155457019805908,128,0.8409294784069061,128,18.0,128,1.0,128,0.0,128,6.0,128,0.7043333351612091,128,0.08560026437044144,128,0.05080842599272728,128
clean,0,6,0,0.28631649911403656,128,8.191030979156494,128,0.4550572782754898,128,0.3844117224216461,128,0.6155883073806763,128,0.3044387847185135,128,-0.16218948364257812,128,0.9280249774456024,128,1.0,128,1.0,128,0.0,128,18.0,128,0.4132620096206665,128,-1.121154546737671,128,-0.21838725358247757,128
clean,0,6,1,0.23373474925756454,128,7.318195581436157,128,0.40656642615795135,128,0.3833036720752716,128,0.616696298122406,128,0.19133905321359634,128,-0.1610814929008484,128,0.9520337283611298,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5162202417850494,128,-1.639365017414093,128,-0.7968704104423523,128
clean,0,6,2,0.242152601480484,128,5.647318601608276,128,0.31373992562294006,128,0.640125185251236,128,0.35987482964992523,128,0.19382374733686447,128,-0.41790296137332916,128,0.7813437581062317,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5532402396202087,128,-1.7876500487327576,128,-0.43504445254802704,128
clean,0,6,3,0.25486139953136444,128,7.049777507781982,128,0.3916543126106262,128,0.39074425399303436,128,0.6092557311058044,128,0.17779972404241562,128,-0.16852205991744995,128,0.9342378973960876,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5900467038154602,128,-1.4610692262649536,128,-0.802571028470993,128
clean,0,6,4,0.25219886004924774,128,5.0026023387908936,128,0.2779223471879959,128,0.5991546511650085,128,0.40084533393383026,128,0.06527262181043625,128,-0.37693245708942413,128,0.8186493217945099,128,1.0,128,1.0,128,0.0,128,18.0,128,0.593647688627243,128,-1.6780934929847717,128,-0.8649733066558838,128
clean,0,6,5,0.2587500959634781,128,9.154329299926758,128,0.5085738301277161,128,0.27550849318504333,128,0.7244915068149567,128,0.3423331528902054,128,-0.05328628420829773,128,0.9747986197471619,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5307782888412476,128,-0.832350105047226,128,-0.17126929014921188,128
clean,0,6,6,0.21174122393131256,128,9.225114345550537,128,0.5125063359737396,128,0.2503471225500107,128,0.7496529221534729,128,0.3236241340637207,128,-0.028124868869781494,128,0.987455427646637,128,4.0,128,1.0,128,0.0,128,9.0,128,0.4257420003414154,128,-0.6784506738185883,128,-0.21870409697294235,128
clean,0,6,7,0.25791437923908234,128,7.360211133956909,128,0.4089006185531616,128,0.45774106681346893,128,0.5422589480876923,128,0.27081483602523804,128,-0.23551884293556213,128,0.8821545839309692,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5178946256637573,128,-1.307296097278595,128,-0.36152930557727814,128
clean,0,6,8,0.22864801436662674,128,5.685221910476685,128,0.31584565341472626,128,0.5573759078979492,128,0.4426240772008896,128,0.1231335997581482,128,-0.3351537138223648,128,0.8457494378089905,128,1.0,128,1.0,128,0.0,128,18.0,128,0.4797718822956085,128,-1.6080156564712524,128,-0.7391810417175293,128
clean,0,6,9,0.25712741911411285,128,7.796324968338013,128,0.4331291764974594,128,0.40597397089004517,128,0.5940260291099548,128,0.2526777610182762,128,-0.18375176191329956,128,0.8756282329559326,128,1.0,128,1.0,128,0.0,128,9.0,128,0.4278716742992401,128,-1.0662747621536255,128,-0.3158567249774933,128
clean,0,6,10,0.31963202357292175,128,8.327603340148926,128,0.46264462172985077,128,0.3316115736961365,128,0.6683884263038635,128,0.2682708203792572,128,-0.10938936471939087,128,0.9315547049045563,128,3.0,128,1.0,128,0.0,128,18.0,128,0.49302420020103455,128,-1.1116867661476135,128,-0.46569328010082245,128
clean,0,6,11,0.6019120812416077,128,13.346176624298096,128,0.7414542734622955,128,0.0472258385270834,128,0.9527741372585297,128,0.592092365026474,128,0.17499634623527527,128,0.6589869260787964,128,18.0,128,0.0555555559694767,128,0.05882352963089943,128,6.0,128,0.9098739326000214,128,0.4838646352291107,128,0.2122896984219551,128
