operator,call_index,layer,head,discovery_gain,validation_gain,validation_ci_lower,validation_ci_upper,validation_win_fraction,validation_sign_p,validation_bh_q,phase_contrast_discovery,phase_contrast_validation,phase_contrast_validation_ci_lower,phase_contrast_validation_ci_upper,phase_contrast_validation_win_fraction,full_budget_fraction,relative_reference_energy,compatible,phase_selective
retrieval,0,29,3,-3.2966014719681027,-3.145985341509391,-3.4338678303629475,-2.8420463525190076,0.0,1.0,1.0,0.23246914888884576,0.2224057382510035,0.17499157377276842,0.273998289246178,0.9375,0.9166666666666667,0.8853967341393733,False,False
retrieval,0,29,4,-3.690116479602983,-3.6334340575320767,-3.7809850828683516,-3.4866957319084,0.0,1.0,1.0,-0.44913760275972336,-0.39351125755775096,-0.4545719896749142,-0.3325913072679848,0.0,0.9166666666666667,1.1107519778712347,False,False
retrieval,0,29,5,-2.918333919965648,-3.15623780807346,-3.3994602220208465,-2.9074324380084837,0.0,1.0,1.0,-0.21816630963902472,-0.15138763879813216,-0.22425607945555417,-0.08311704216210422,0.21875,0.9166666666666667,0.4316030169514751,False,False
retrieval,0,29,6,-1.4647636705330134,-1.5049370435749605,-1.6224209785837027,-1.3808085473389677,0.0,1.0,1.0,0.2458039913371487,0.22948926777246703,0.20202081908645428,0.25656074309149707,1.0,0.9166666666666667,0.8582953773105083,False,False
retrieval,0,29,7,0.19717421112122285,0.17477308642346923,0.05633989614724383,0.2906409620092804,0.6875,0.025051229866221547,0.5549810924209081,0.4914335288959386,0.4679097031773424,0.3971760214442769,0.5377564013006121,0.9375,0.9166666666666667,0.8892480221287652,True,True
retrieval,0,29,8,-2.3316073838074907,-2.4640135935969276,-2.729914073375406,-2.1999019986256965,0.0,1.0,1.0,0.24548150298651958,0.2165555609374824,0.16313498510109628,0.269078226776468,0.96875,0.9166666666666667,1.3671436157173114,False,False
retrieval,0,29,9,-1.6133145807076272,-1.9827143872289112,-3.229226577685761,-0.6581652468903292,0.3125,0.9899691964965314,1.0,-0.5617177173927924,-0.576661820181083,-0.8132834737684141,-0.35273141342763104,0.1875,0.9166666666666667,8.288334722679714,False,False
retrieval,0,29,10,-0.2836762220180032,-0.20330990024434223,-0.28478196233945835,-0.11132071878976912,0.25,0.9989487992133945,1.0,0.15765939035724152,0.13636046524868783,0.11549460743121623,0.15756587000595582,1.0,0.9166666666666667,0.7715472186196013,False,False
retrieval,0,29,11,-3.4091946355598477,-3.7003156440572367,-4.034850237911914,-3.3569402713208976,0.0,1.0,1.0,-0.4152526322813461,-0.34215178177655564,-0.4689231167858903,-0.22088278921595428,0.125,0.9166666666666667,5.198201575623654,False,False
retrieval,1,0,0,-4.708858028096573,-4.704745177328347,-4.8818785131081075,-4.535001068853035,0.0,1.0,1.0,0.001983366000754397,0.0030609705351906935,-0.005344338435966919,0.011941056503256523,0.625,0.9192708333333334,0.9102949388491456,False,False
retrieval,1,0,1,-5.623980506704993,-5.590792606824602,-5.632108820652124,-5.550942671870649,0.0,1.0,1.0,-0.2669859077147904,-0.24128727389001248,-0.2737472185707029,-0.20939619308211901,0.0,0.9192708333333334,4.300162182552376,False,False
retrieval,1,0,2,0.20213425780736854,0.20845466782576694,0.050644623132173584,0.3502927108416746,0.59375,0.18854279373772442,1.0,-0.02606346529736386,-0.01823526228173695,-0.03805242600020524,0.0030592389672475626,0.4375,0.9192708333333334,0.5800798575012985,False,False
retrieval,1,0,3,-0.2606222437143787,-0.21162812280388335,-0.2982958524949341,-0.10700368064683535,0.15625,0.9999903494026512,1.0,-0.026075316305874965,-0.014961479494918212,-0.028227717692425224,-0.002001799377428662,0.5,0.9192708333333334,0.4377162429078412,False,False
retrieval,1,0,4,-2.8796034695758497,-2.893967575426626,-2.9489269258531983,-2.832138596878296,0.0,1.0,1.0,0.04175651876760958,0.05789560292981416,0.02498553286229037,0.09057095972815288,0.75,0.9192708333333334,1.8019251080321617,False,False
retrieval,1,0,5,-4.820232110423488,-4.835543688374389,-4.9637708315005815,-4.705499858084444,0.0,1.0,1.0,-0.05231517794893538,-0.047410033925140566,-0.1760350428597762,0.07986058704170781,0.4375,0.9192708333333334,1.5416158835309186,False,False
retrieval,1,0,6,-3.2191092752064474,-3.223007615613341,-3.331900559007379,-3.1130755552180953,0.0,1.0,1.0,-0.14508584494050586,-0.14143957468236906,-0.16259383179393652,-0.11916075207752745,0.03125,0.9192708333333334,1.3868567006845676,False,False
retrieval,1,0,7,-4.377980320465458,-4.436125749336722,-4.509023377159218,-4.373241258015938,0.0,1.0,1.0,-0.24314142190443366,-0.25743139241873525,-0.27475062067991846,-0.2409577968105575,0.0,0.9192708333333334,0.4327121554378652,False,False
retrieval,1,0,8,-0.1469497061295934,-0.133482002279076,-0.23883457087797264,-0.005871932833326565,0.28125,0.99649981665425,1.0,-0.03539860809432462,-0.04372548054090296,-0.06439337192927265,-0.024530484205007037,0.28125,0.9192708333333334,0.21865438166873932,False,False
retrieval,1,0,9,1.7616029154756805,1.8246271118448112,1.6061819392183219,2.020905213484473,1.0,2.3283064365386963e-10,1.596552985055106e-08,-0.017831522713651814,-0.01232656294398652,-0.02327118365561925,-0.0008165212382827748,0.3125,0.9192708333333334,0.1716484695732173,True,False
retrieval,1,0,10,10.857972934982081,10.921051277660668,10.706492753996876,11.149882383521808,1.0,2.3283064365386963e-10,1.596552985055106e-08,-0.19112169981412308,-0.18598801042310104,-0.2017509537427845,-0.16780086249211226,0.0,0.9192708333333334,1.0897050611508543,True,False
retrieval,1,0,11,-3.6419874576419793,-3.616305584563478,-3.6601660032536145,-3.5653808420673254,0.0,1.0,1.0,-0.1523034344966372,-0.12630161957845187,-0.14632386088814725,-0.10473369793598371,0.0625,0.9192708333333334,2.76753429588317,False,False
retrieval,1,1,0,-2.2491007164595795,-2.26651644565393,-2.4775249074568704,-2.0534576218054603,0.0,1.0,1.0,0.10556302768340839,0.12082713010084632,0.03749965526612114,0.2071562637100182,0.6875,0.921875,0.9410741876449745,False,False
retrieval,1,1,1,-4.699213266386288,-4.4879233899341635,-4.928634165572144,-4.034946990665456,0.0,1.0,1.0,-0.17100877120057875,-0.10863743913269663,-0.2665565514115202,0.05955049887094257,0.375,0.921875,1.259106724970638,False,False
retrieval,1,1,2,-3.0833047583535222,-3.1571523887438877,-3.3696329571519414,-2.954048651057744,0.0,1.0,1.0,0.09129643269785642,0.09758835140113999,0.04427117366838831,0.15080913339922586,0.71875,0.921875,1.561931272992013,False,False
retrieval,1,1,3,-1.7576243667217297,-1.7612346399868164,-2.0423669162459133,-1.4822910639793208,0.03125,0.9999999997671694,1.0,-0.028822041360648108,-0.041458752273261686,-0.09276305418184394,0.009464969005274954,0.40625,0.921875,0.940477574335482,False,False
retrieval,1,1,4,-3.239856612103009,-3.4684142446902824,-3.784016594145425,-3.1412352263134657,0.0,1.0,1.0,0.3454634743791606,0.2977891733408071,0.18342117282853657,0.3962327584205609,0.84375,0.921875,5.487518698919635,False,False
retrieval,1,1,5,0.27724423482082,0.2878963470358492,0.22809715499658223,0.3504443744934218,0.9375,1.2316741049289703e-07,6.568928559621175e-06,0.1542523358047877,0.1475267172645114,0.1388764027598418,0.15657417741947466,1.0,0.921875,0.49968415356689155,True,True
retrieval,1,1,6,-0.16001761942801757,-0.23454984226708805,-0.36268611375541615,-0.10947230673674253,0.28125,0.99649981665425,1.0,-0.23566243339604098,-0.24005014216595402,-0.25988146664562467,-0.21991124071103418,0.0,0.921875,0.37349512235647775,False,False
retrieval,1,1,7,-1.5852496200250594,-1.5968109588981494,-1.8222103123890325,-1.3793092815133259,0.03125,0.9999999997671694,1.0,0.1809791372781142,0.15868290924422046,0.0997537838776368,0.21690351251655202,0.8125,0.921875,1.573269384121949,False,False
retrieval,1,1,8,-2.773895430257876,-2.467913489304815,-2.7146285473123415,-2.2468960544365815,0.0,1.0,1.0,0.8258314765587758,0.8421947341424938,0.671673906061714,1.0151429520954394,0.96875,0.921875,0.8147508661991496,False,False
retrieval,1,1,9,-3.8975667155545266,-3.9850901759931503,-4.098419432792211,-3.8750089315971064,0.0,1.0,1.0,-0.21072520367867184,-0.22950402142670664,-0.2661912772485921,-0.1948086294283005,0.0,0.921875,1.7782178589823765,False,False
retrieval,1,1,10,0.913044876371288,0.9859707573965284,0.885646158501684,1.0959760981669278,1.0,2.3283064365386963e-10,1.596552985055106e-08,0.2646091465861712,0.2790147297094744,0.252988005043041,0.30868354292672,1.0,0.921875,1.0589258123550254,True,True
retrieval,1,1,11,-3.1370497683614036,-2.997312810452984,-3.2891608936047434,-2.7221992825300956,0.0,1.0,1.0,-0.0414345020333056,-0.003766815079641904,-0.04541590756080294,0.03935165763977062,0.5,0.921875,0.6059012140385099,False,False
retrieval,1,2,0,-0.7618763279088007,-0.8279134063670407,-0.9362762107666465,-0.7252869358751122,0.0,1.0,1.0,0.16946722542241568,0.15076177617183306,0.10237901726509736,0.20185887757750803,0.8125,0.9322916666666667,1.0613142282101187,False,False
retrieval,1,2,1,-0.8011196813308366,-0.8387503440551116,-0.9753370604109354,-0.6959511918111231,0.0,1.0,1.0,0.07982842851264763,0.05751647370692077,0.005124467385150668,0.1033814442005342,0.625,0.9322916666666667,0.4857807719240249,False,False
retrieval,1,2,2,-2.5820587904386647,-2.366121226399332,-2.6184227422088986,-2.1037774408683414,0.0,1.0,1.0,-0.04455255641698161,-0.02286701102247377,-0.052395964359843415,0.008548783832938504,0.40625,0.9322916666666667,1.1363068300693566,False,False
retrieval,1,2,3,-2.8866848257179205,-2.877418163105017,-3.134354164682626,-2.6385490622819185,0.0,1.0,1.0,-0.16085673691608676,-0.17090774493056832,-0.2137122189624651,-0.12706168874072588,0.125,0.9322916666666667,4.0097759997995714,False,False
retrieval,1,2,4,-12.562000748286735,-12.367511334976193,-12.59635663719575,-12.117641017675071,0.0,1.0,1.0,-0.890024028676971,-0.6771913734187023,-0.9011743612968187,-0.4618144952057761,0.1875,0.9322916666666667,3.291514394373596,False,False
retrieval,1,2,5,-0.09590302390394476,-0.10678096862685266,-0.17934916397738887,-0.03990692213219927,0.3125,0.9899691964965314,1.0,0.022579733418887568,0.04151214321351803,0.016201632543845577,0.0663680326302668,0.78125,0.9322916666666667,0.7332898692683506,False,False
retrieval,1,2,6,0.590599693731849,0.43411621945223,0.21781201583077464,0.668237139702454,0.78125,0.0010512007866054773,0.032207002823657176,0.17016332374585125,0.16881176051750835,0.13052012697036716,0.21006992901308205,0.9375,0.9322916666666667,0.8095425608324517,True,True
retrieval,1,2,7,-0.7603847853351722,-0.6286160133775744,-0.7918256485016538,-0.4668065642623225,0.09375,0.9999998768325895,1.0,-0.2573941504863897,-0.18622284063591057,-0.23985424160825655,-0.12987560033812207,0.0625,0.9322916666666667,1.0606607098075724,False,False
retrieval,1,2,8,-1.876983729535177,-1.7895550958971511,-1.9544896470312398,-1.6326566514422542,0.0,1.0,1.0,-0.18464258344360296,-0.22648402680466467,-0.2805055466942565,-0.16603920454595536,0.125,0.9322916666666667,0.9393392901924277,False,False
retrieval,1,2,9,0.1969143293421691,0.3103619559931847,0.1215091499653402,0.47352402105479224,0.71875,0.010030803503468633,0.26262467354536057,-0.07416477567591898,-0.04780363514404575,-0.07480648479799094,-0.024715461040102762,0.25,0.9322916666666667,0.6280418516658669,True,False
retrieval,1,2,10,-0.07977857421320964,-0.1328437134752592,-0.2403716737334267,-0.021311706983838774,0.375,0.9449079174082726,1.0,0.004058915128085847,-0.005383733907254816,-0.04673236133009549,0.0330695077417734,0.40625,0.9322916666666667,0.5743538883903944,False,False
retrieval,1,2,11,-0.854770731669574,-0.7940923955153765,-1.0603852895060653,-0.5265825845825732,0.125,0.999998721992597,1.0,-0.06806442366055607,-0.06248843172970785,-0.13219755985538306,0.00362733779078175,0.375,0.9322916666666667,4.487041964077785,False,False
retrieval,1,3,0,-4.011235321920762,-4.483355727223929,-5.177609402448346,-3.7504680587134196,0.0,1.0,1.0,-0.3833633510697222,-0.5498821933532893,-1.0058506337256417,-0.10662524382602206,0.375,0.9205729166666667,4.529753660902544,False,False
retrieval,1,3,1,-2.441248978706045,-2.326574548692833,-2.4699412680707975,-2.1754850876731573,0.0,1.0,1.0,-0.18556950822265844,-0.16632640383433944,-0.20386540525110147,-0.1295299949803394,0.09375,0.9205729166666667,0.609197772653512,False,False
retrieval,1,3,2,-2.878636872846814,-2.8076771125862665,-3.118517550249686,-2.495087588087974,0.0,1.0,1.0,-0.3253544267608134,-0.2998300958689749,-0.3621157022077979,-0.2348609829282759,0.0625,0.9205729166666667,0.979417271356977,False,False
retrieval,1,3,3,0.2846791621303292,0.2967720562049342,0.07943210209416758,0.49284241965571757,0.6875,0.025051229866221547,0.5549810924209081,-0.00577940403019802,0.025243018093395485,-0.01854581243816399,0.06984446081001991,0.5,0.9205729166666667,1.020582728643023,True,False
retrieval,1,3,4,-1.2464716722063356,-1.2378923935165806,-1.4470259142708561,-1.0173322554525828,0.03125,0.9999999997671694,1.0,0.18748834865706443,0.18474925300911912,0.10401054368613188,0.26873297334873936,0.8125,0.9205729166666667,3.0140990154210066,False,False
retrieval,1,3,5,-2.5755218693468227,-2.601544489335616,-2.7905393398174274,-2.4058114202219896,0.0,1.0,1.0,-0.025531832722797278,0.02522162551579738,-0.02611233067964993,0.08264677410327059,0.5625,0.9205729166666667,1.9871068469510278,False,False
retrieval,1,3,6,-1.479124733867488,-1.4792477758525262,-1.6034990834465241,-1.3606130611318492,0.0,1.0,1.0,0.04679087257499879,0.0643896610314415,0.01444273337040141,0.11100914928807604,0.6875,0.9205729166666667,2.1117667694140745,False,False
retrieval,1,3,7,0.6010232444293339,0.5173477357320555,0.3020702139883852,0.7453622248495094,0.71875,0.010030803503468633,0.26262467354536057,0.3323362782306969,0.33673059988985155,0.2537233463703422,0.41493214175392085,0.9375,0.9205729166666667,5.829213289096985,True,True
retrieval,1,3,8,-1.7052310651087406,-1.6953396840096846,-1.9227612698584646,-1.4763372503530188,0.0,1.0,1.0,0.19190861280570654,0.1917887651046043,0.14327702036379403,0.24008627600404914,0.90625,0.9205729166666667,0.8416598914059273,False,False
retrieval,1,3,9,-0.39113566619785833,-0.4370198790698014,-0.5439496861552094,-0.3299219303597239,0.125,0.999998721992597,1.0,0.44701888752030994,0.41411838921178945,0.3596204556699512,0.45943783358052387,1.0,0.9205729166666667,0.811470776626122,False,False
retrieval,1,3,10,-0.4285564006538358,-0.4747172136643706,-0.5500499813285854,-0.4012194784326291,0.03125,0.9999999997671694,1.0,0.12302506508689817,0.12336336964176361,0.09935447146954014,0.14425592947751933,0.90625,0.9205729166666667,0.8992552498852282,False,False
retrieval,1,3,11,-1.8649520511464637,-1.9001017761985703,-2.1078433739593083,-1.694096072095258,0.0,1.0,1.0,0.10964697174978251,0.1225964724702929,0.07883208180896639,0.16985641480744249,0.78125,0.9205729166666667,0.9120701821363019,False,False
retrieval,1,4,0,-2.113780056710894,-1.9540632559102005,-2.1244571602261586,-1.7687641180960552,0.0,1.0,1.0,-0.21124269079699193,-0.18200226213390291,-0.2391817050746504,-0.11652245166401523,0.15625,0.9166666666666667,0.8323943363514525,False,False
