operator,factor,call_index,layer,head,discovery_gain,validation_gain,validation_ci_lower,validation_ci_upper,validation_win_fraction,full_budget_fraction,relative_reference_energy,selected
landmark,head_only,-1,6,3,-1.5837990510100328,-1.6513913263605589,-1.8555130338099566,-1.4580620963605104,0.0,0.07942708333333333,0.5891328284409186,False
landmark,head_only,-1,6,4,-3.3011647218571607,-3.293465089916996,-3.5557987736773375,-3.039436285087209,0.0,0.07942708333333333,1.53228856288102,False
landmark,head_only,-1,6,5,-1.4090696585764824,-1.4475301490580776,-1.6245131773784203,-1.2824645916051132,0.0,0.07942708333333333,1.1706089423240922,False
landmark,head_only,-1,6,6,-1.2231185403527314,-1.2687559929034968,-1.4699068871568735,-1.0685817432774385,0.0,0.07942708333333333,0.3582428961197093,False
landmark,head_only,-1,6,7,-2.149070976795885,-2.270377890273028,-2.533894433171339,-2.0109660048083713,0.0,0.07942708333333333,0.8736983924885441,False
landmark,head_only,-1,6,8,-2.547246577733126,-2.606567430867182,-2.7854239881615803,-2.423029645139406,0.0,0.07942708333333333,1.1390532790287338,False
landmark,head_only,-1,6,9,-2.8328582291318423,-2.8580394212977005,-3.129555721386845,-2.5861234631942795,0.0,0.07942708333333333,0.7495171451382784,False
landmark,head_only,-1,6,10,-2.4779565788185804,-2.495365844310692,-2.663171587249024,-2.336576681949657,0.0,0.07942708333333333,0.953689590586513,False
landmark,head_only,-1,6,11,-0.7548805595300812,-0.6206003506443085,-0.891487870533355,-0.34311448835254377,0.21875,0.07942708333333333,1.74407464521389,False
landmark,head_only,-1,7,0,-3.9697440144132807,-4.112691383347451,-4.427745632205843,-3.794541930188921,0.0,0.0546875,1.1659603550831814,False
landmark,head_only,-1,7,1,-5.3398867237836605,-5.65961399388781,-5.974523148820786,-5.3526790506743085,0.0,0.0546875,1.065436600005391,False
landmark,head_only,-1,7,2,-2.6256802973463884,-2.711187980672312,-2.992689281211504,-2.474844096132171,0.0,0.0546875,0.5390897668777985,False
landmark,head_only,-1,7,3,-3.803737855219362,-3.6598785793482516,-4.054650539070395,-3.256270978233538,0.0,0.0546875,1.2773870480286342,False
landmark,head_only,-1,7,4,-4.332136780548643,-4.341572292851598,-4.5227091089224505,-4.166471970639699,0.0,0.0546875,0.9345633999946089,False
landmark,head_only,-1,7,5,-3.1983557274090373,-3.288794475614675,-3.5113306022603847,-3.0688794886860755,0.0,0.0546875,1.4961498679859866,False
landmark,head_only,-1,7,6,-3.132203465339108,-3.176719318164537,-3.3407050087841315,-3.0026155782759028,0.0,0.0546875,1.522911932639461,False
landmark,head_only,-1,7,7,-6.131957580177787,-6.204317568592859,-6.44446302052258,-5.9745184003973435,0.0,0.0546875,0.663800758186815,False
landmark,head_only,-1,7,8,-4.551689732096184,-4.587238623476181,-4.94667975010044,-4.254869106189905,0.0,0.0546875,0.6257072982401005,False
landmark,head_only,-1,7,9,-3.5947560124638116,-3.7403803689030974,-3.969667475196208,-3.4909571502678958,0.0,0.0546875,0.8990233866054073,False
landmark,head_only,-1,7,10,-1.9581546841066486,-1.991503878158948,-2.162940247948234,-1.8233623885110852,0.0,0.0546875,0.49157471424804833,False
landmark,head_only,-1,7,11,-3.7517194423752356,-3.7972067913589047,-4.0329387269697365,-3.5934948225888026,0.0,0.0546875,1.4621232293180788,False
landmark,head_only,-1,8,0,-4.618567793682606,-4.5200886232766715,-4.845952310196368,-4.224090422884986,0.0,0.1484375,0.7981927411533434,False
landmark,head_only,-1,8,1,-6.595711498995614,-6.542898811438445,-6.82715836118984,-6.264277597446481,0.0,0.1484375,1.1729516832167206,False
landmark,head_only,-1,8,2,-1.9102322943376508,-1.8439661082979133,-2.079721857685762,-1.6276615969996988,0.0,0.1484375,0.45538041494914866,False
landmark,head_only,-1,8,3,-3.129609952598246,-3.2096857358590025,-3.440945244909865,-2.9778883556512596,0.0,0.1484375,1.0570599631326965,False
landmark,head_only,-1,8,4,-3.224479354722396,-3.1632944374812686,-3.5252831242993126,-2.805138003408699,0.0,0.1484375,1.2549123573545211,False
landmark,head_only,-1,8,5,-4.773255835162085,-4.607999655934624,-4.933332683437802,-4.279060119293366,0.0,0.1484375,1.3981788803562807,False
landmark,head_only,-1,8,6,0.5956957537792053,0.6673223188590394,0.3075004444329689,1.0133407071175637,0.75,0.1484375,0.801789571341653,False
landmark,head_only,-1,8,7,-4.592311556103581,-4.550501081678999,-4.807090705117476,-4.289777014762006,0.0,0.1484375,0.5598288776727786,False
landmark,head_only,-1,8,8,-4.849412637695194,-4.8106257972128335,-5.138513990651482,-4.4570314043082355,0.0,0.1484375,0.9512602089090137,False
landmark,head_only,-1,8,9,-2.2948517385453515,-2.2991950483136483,-2.5073921278297044,-2.0993363185160887,0.0,0.1484375,0.4425216715028717,False
landmark,head_only,-1,8,10,-4.175802859679504,-4.1385686933433785,-4.400359585207978,-3.853868026365854,0.0,0.1484375,1.0487397910909864,False
