layer,head,discovery_best,discovery_margin,coverage_gain,episode_gain,stability_frequency,supported_nonlocal,assigned_policy
8,4,recent,1.7298374986693172,-1.732455959886928,-1.7298374986693172,1.0,False,recent
8,5,recent,3.3179251039140123,-3.329574948048556,-3.3179251039140123,1.0,False,recent
8,6,coverage,0.42442666922038885,1.4370886696424323,1.0126620004220435,1.0,True,coverage
8,7,recent,3.156065891965853,-3.156065891965853,-3.1686704543197495,1.0,False,recent
8,8,recent,3.181630151655816,-3.181630151655816,-3.2043406505419987,1.0,False,recent
8,9,recent,0.966639857338587,-0.966639857338587,-1.014491370724489,1.0,False,recent
8,10,recent,3.045413760434739,-3.045413760434739,-3.053260033362039,1.0,False,recent
8,11,recent,6.084893646329276,-6.091487203333542,-6.084893646329276,1.0,False,recent
9,0,recent,1.4353580538013055,-1.4965982129272843,-1.4353580538013055,1.0,False,recent
9,1,recent,0.6347526861281745,-0.6639941132908178,-0.6347526861281745,1.0,False,recent
9,2,recent,0.5315998787041067,-0.6388613407380248,-0.5315998787041067,1.0,False,recent
9,3,recent,1.1539109114712591,-1.2031357599383574,-1.1539109114712591,1.0,False,recent
9,4,recent,1.8210627808096707,-1.8433422533582657,-1.8210627808096707,1.0,False,recent
9,5,recent,0.6931312055474215,-0.6931312055474215,-0.735135571504482,1.0,False,recent
9,6,recent,1.1387090981062946,-1.2540407855881832,-1.1387090981062946,1.0,False,recent
9,7,recent,2.937245426565168,-2.937245426565168,-2.965529676176067,1.0,False,recent
9,8,recent,2.0546485455483827,-2.132337425843481,-2.0546485455483827,1.0,False,recent
9,9,recent,2.481417245126165,-2.5003308401138016,-2.481417245126165,1.0,False,recent
9,10,recent,1.530727333936916,-1.5739137154088017,-1.530727333936916,1.0,False,recent
9,11,recent,0.1154539613385479,-0.1950616199132149,-0.1154539613385479,1.0,False,recent
10,0,recent,2.36562864750203,-2.4334698014413756,-2.36562864750203,1.0,False,recent
10,1,recent,1.1308390040545544,-1.2813573063924872,-1.1308390040545544,1.0,False,recent
10,2,recent,0.958866482871374,-1.069689437864426,-0.958866482871374,1.0,False,recent
10,3,recent,0.9715217133338703,-1.0410551523008351,-0.9715217133338703,1.0,False,recent
10,4,episode,0.02351100196918665,-0.07288689260572978,0.02351100196918665,0.6666666666666666,False,recent
10,5,recent,0.613659845950878,-0.7353191081127379,-0.613659845950878,1.0,False,recent
10,6,recent,0.7930334456061559,-0.8661276586094511,-0.7930334456061559,1.0,False,recent
10,7,recent,0.034453958865542145,-0.034453958865542145,-0.06810470039463601,1.0,False,recent
10,8,coverage,0.08500201472074753,0.10473548701423585,0.01973347229348832,1.0,False,recent
10,9,recent,0.6473688276517873,-0.7609026709914302,-0.6473688276517873,1.0,False,recent
10,10,recent,1.3431355631995738,-1.494848155672928,-1.3431355631995738,1.0,False,recent
10,11,recent,1.9340658875332428,-1.9761125899260046,-1.9340658875332428,1.0,False,recent
11,0,recent,1.5682202016173594,-1.6981281694016994,-1.5682202016173594,1.0,False,recent
11,1,recent,1.5140515627824565,-1.6577053288412413,-1.5140515627824565,1.0,False,recent
11,2,recent,0.768583484960029,-0.8608873072280447,-0.768583484960029,1.0,False,recent
11,3,recent,2.119765613103313,-2.2227708173520035,-2.119765613103313,1.0,False,recent
11,4,recent,1.6040934325913723,-1.670470088953678,-1.6040934325913723,1.0,False,recent
11,5,recent,1.7968557990927483,-1.8547208536796598,-1.7968557990927483,1.0,False,recent
11,6,recent,1.4447285766075249,-1.5769660044214548,-1.4447285766075249,1.0,False,recent
11,7,recent,1.576286054114417,-1.6735679350660644,-1.576286054114417,1.0,False,recent
11,8,recent,0.5423354126711795,-0.5423354126711795,-0.550510411388859,1.0,False,recent
11,9,recent,1.7651936947837568,-1.8690315400858308,-1.7651936947837568,1.0,False,recent
11,10,coverage,0.068029044199716,0.15847830755368708,0.09044926335397108,1.0,False,recent
11,11,recent,0.41616032636460076,-0.49729033338567596,-0.41616032636460076,1.0,False,recent
12,0,recent,2.5613608720522762,-2.6255867842964546,-2.5613608720522762,1.0,False,recent
12,1,recent,1.2958099372641394,-1.3992532950387266,-1.2958099372641394,1.0,False,recent
