variant,measure,mode,current_frame,nominal_timestep,raw_split_spearman,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared
camera,value_shift,noisy,117,1000,0.9263381661895539,0.8618507858856934,0.5004924867560312,0.5622307222337319
camera,value_scale_shift,noisy,117,1000,0.8893476544314899,0.7705329516431454,0.4845817327783359,0.4780869176526783
camera,compatibility_loss,noisy,117,1000,0.7924238098544999,0.6592928957785168,0.5088432871870053,0.4682709724892951
camera,policy_shift,noisy,117,1000,0.7182002433146346,0.6079761417912175,0.2540255874850243,0.35925641236929223
camera,topology_normalized_entropy_shift,noisy,117,1000,0.4994099054860558,0.4225129332016683,0.274075006412454,0.3854679725278396
camera,topology_diagonal_mass_shift,noisy,117,1000,0.6812406582055166,0.6549921597533682,0.2780639638655484,0.3520946917698387
camera,topology_expected_displacement_shift,noisy,117,1000,0.8756778288899204,0.8066415910209427,0.15060862777692818,0.1855441637480104
camera,topology_directional_coherence_shift,noisy,117,1000,0.49337558507456486,0.3420950663810876,0.2446862196250129,0.22685218868660875
camera,topology_top1_displacement_shift,noisy,117,1000,0.8798364125532935,0.7702967445952597,0.20150331591690865,0.25658013322646633
camera_excess_seed,query_shift,clean,63,0,0.4291872108066678,0.29047832159198755,0.20300851751119742,0.28836415990510633
camera_excess_seed,key_shift,clean,63,0,-0.024230639639709155,0.04779357865415629,0.11392329053425256,0.4178022257152459
camera_excess_seed,value_shift,clean,63,0,0.36771837231254356,0.12334302991021019,0.43188698281796867,0.3841203237848214
camera_excess_seed,value_scale_shift,clean,63,0,0.3262018482652901,0.08775427793938739,0.5685816308611458,0.4029947656354535
camera_excess_seed,compatibility_loss,clean,63,0,0.17038943201722231,0.13108948885922472,0.08430576971555206,0.19942486117150066
camera_excess_seed,policy_shift,clean,63,0,0.13847020424540313,0.14333083845811567,0.08511309020189305,0.11120194625278317
camera_excess_seed,topology_normalized_entropy_shift,clean,63,0,-0.08739708089968878,-0.10540045058249933,0.15187742931563097,0.11022552922578303
camera_excess_seed,topology_diagonal_mass_shift,clean,63,0,-0.16734886266339272,-0.13448852158191313,0.15555197146821884,0.1757768214148937
camera_excess_seed,topology_expected_displacement_shift,clean,63,0,0.019999281114881546,0.0034626041007649374,0.12363035355235309,0.08206345058972209
camera_excess_seed,topology_directional_coherence_shift,clean,63,0,-0.06195208713660996,-0.06984228069307953,0.08846338193868583,0.06995742975826734
camera_excess_seed,topology_top1_displacement_shift,clean,63,0,-0.028876772366381906,-0.009926101947974861,0.08569465823360076,0.08102958181719629
camera_excess_seed,query_shift,clean,117,0,0.17184571897416903,0.10765103640202985,0.1400068392293138,0.17188190645419937
camera_excess_seed,key_shift,clean,117,0,0.04266828190546738,-0.0935439376810997,0.17140662691459516,0.30755885767159674
camera_excess_seed,value_shift,clean,117,0,0.2696383974156179,0.19048835253358434,0.19477415750827062,0.3230378959718262
camera_excess_seed,value_scale_shift,clean,117,0,-0.06821914778149007,-0.06469314320840952,0.3878500957804197,0.41346062583520027
camera_excess_seed,compatibility_loss,clean,117,0,0.05326378547159572,0.029595907375828515,0.11882730054547815,0.18721566186120162
camera_excess_seed,policy_shift,clean,117,0,-0.05007909011643608,-0.05015393637296584,0.09074179295317858,0.1098020071270432
camera_excess_seed,topology_normalized_entropy_shift,clean,117,0,-0.05672592413120833,-0.06176477907195163,0.2697779065644631,0.07473614989662118
camera_excess_seed,topology_diagonal_mass_shift,clean,117,0,0.0577780307165478,-0.016554769018387108,0.34175898889925616,0.10391567334144122
camera_excess_seed,topology_expected_displacement_shift,clean,117,0,-0.0462507092404725,-0.07467781216091324,0.08949008410390213,0.07615545615243631
camera_excess_seed,topology_directional_coherence_shift,clean,117,0,-0.013504361052517549,-0.04430514575318365,0.07582323941834239,0.07809351415524897
camera_excess_seed,topology_top1_displacement_shift,clean,117,0,0.0184730758929656,-0.041670871374033386,0.0740230039537861,0.07598015087782962
camera_excess_seed,query_shift,noisy,63,500,0.6444944276833411,0.5415306702469412,0.2992993236762418,0.30172712686228326
camera_excess_seed,key_shift,noisy,63,500,-0.024230639639709155,0.04779357865415629,0.11392329053425256,0.4178022257152459
camera_excess_seed,value_shift,noisy,63,500,0.36771837231254356,0.12334302991021019,0.43188698281796867,0.3841203237848214
camera_excess_seed,value_scale_shift,noisy,63,500,0.3262018482652901,0.08775427793938739,0.5685816308611458,0.4029947656354535
camera_excess_seed,compatibility_loss,noisy,63,500,0.08847110445811052,0.06730093081993944,0.06743092381475375,0.20622238200978396
camera_excess_seed,policy_shift,noisy,63,500,0.10129270544783009,0.034480461526194904,0.144262803279733,0.19350969517903852
camera_excess_seed,topology_normalized_entropy_shift,noisy,63,500,-0.20715476028580346,-0.21066384907813324,0.12522772019070175,0.08364346173081637
camera_excess_seed,topology_diagonal_mass_shift,noisy,63,500,-0.21107057753101172,-0.19404477057520841,0.0954907305413368,0.2638314493609895
camera_excess_seed,topology_expected_displacement_shift,noisy,63,500,0.06609343571859999,0.11785830624443008,0.08682255344927292,0.12800390970490935
camera_excess_seed,topology_directional_coherence_shift,noisy,63,500,0.058579291571601425,0.045205996061568235,0.05400348378471127,0.11850806167247697
camera_excess_seed,topology_top1_displacement_shift,noisy,63,500,-0.051960851009350335,-0.05091279131093402,0.08795241426414911,0.04838868454981371
camera_excess_seed,query_shift,noisy,63,1000,0.7832820212090112,0.679485181212818,0.2718685785146444,0.27222633339565055
camera_excess_seed,key_shift,noisy,63,1000,-0.024230639639709155,0.04779357865415629,0.11392329053425256,0.4178022257152459
camera_excess_seed,value_shift,noisy,63,1000,0.36771837231254356,0.12334302991021019,0.43188698281796867,0.3841203237848214
camera_excess_seed,value_scale_shift,noisy,63,1000,0.3262018482652901,0.08775427793938739,0.5685816308611458,0.4029947656354535
