variant,mode,current_frame,nominal_timestep,layer,head,discovery_query_shift,discovery_key_shift,discovery_value_shift,discovery_value_scale_shift,discovery_compatibility_loss,discovery_policy_shift,discovery_topology_normalized_entropy_shift,discovery_topology_diagonal_mass_shift,discovery_topology_expected_displacement_shift,discovery_topology_directional_coherence_shift,discovery_topology_top1_displacement_shift,validation_query_shift,validation_key_shift,validation_value_shift,validation_value_scale_shift,validation_compatibility_loss,validation_policy_shift,validation_topology_normalized_entropy_shift,validation_topology_diagonal_mass_shift,validation_topology_expected_displacement_shift,validation_topology_directional_coherence_shift,validation_topology_top1_displacement_shift
action,clean,63,0,3,4,0.22074460983276367,0.14360883831977844,0.5728010535240173,0.19243315607309341,0.026927053928375244,0.04616633616387844,0.054931640625,0.03173828125,0.004791259765625,0.197723388671875,0.004314422607421875,0.20387840270996094,0.11713787913322449,0.493720144033432,0.16568735986948013,0.06479042768478394,0.06619203090667725,0.034912109375,0.0347900390625,0.0084991455078125,0.101531982421875,0.010776519775390625
action,clean,63,0,3,5,0.3745620548725128,0.3912818133831024,0.6747545599937439,0.15825065970420837,0.21365147829055786,0.16978700459003448,0.03680419921875,0.041748046875,0.00360870361328125,0.177978515625,0.00431060791015625,0.343215674161911,0.34716638922691345,0.5328076481819153,0.1598367914557457,0.20058348774909973,0.12866182997822762,0.030487060546875,0.06494140625,0.0061893463134765625,0.124755859375,0.0086212158203125
action,clean,63,0,3,6,0.4642191231250763,0.41968271136283875,0.6671360731124878,0.1568046659231186,0.20840668678283691,0.18354842066764832,0.027044296264648438,0.0458984375,0.002753704786300659,0.3599853515625,0.002155303955078125,0.38453811407089233,0.4262636601924896,0.6061190664768219,0.1627831682562828,0.26464954018592834,0.12190530449151993,0.022953033447265625,0.02197265625,0.001819014549255371,0.356781005859375,0.0
action,clean,63,0,3,7,0.09019386768341064,0.10225531458854675,0.5502112507820129,0.19759289920330048,0.021163761615753174,0.12173010036349297,0.02685546875,0.07861328125,0.0171966552734375,0.0875244140625,0.02370452880859375,0.09476026892662048,0.09408915042877197,0.4796885550022125,0.16506900638341904,0.029119908809661865,0.06466158106923103,0.02532958984375,0.033203125,0.0213623046875,0.1185302734375,0.044189453125
action,clean,63,0,3,8,0.1978481113910675,0.19912606477737427,0.5831526219844818,0.2024192065000534,0.08247643709182739,0.1036248579621315,0.020114898681640625,0.0184326171875,0.0046539306640625,0.1995849609375,0.00431060791015625,0.1897416114807129,0.20521339774131775,0.46817275881767273,0.2111736610531807,0.1398094892501831,0.08367292210459709,0.0480194091796875,0.03759765625,0.002635955810546875,0.1243896484375,0.0
action,clean,63,0,3,9,0.2398453950881958,0.31619298458099365,0.6180941760540009,0.18034599721431732,0.12347230315208435,0.14327453821897507,0.035533905029296875,0.03857421875,0.0033957958221435547,0.1451263427734375,0.0,0.23014020919799805,0.24870899319648743,0.4823479652404785,0.16002865880727768,0.12885579466819763,0.14992819726467133,0.021213531494140625,0.02001953125,0.001495957374572754,0.2716064453125,0.0
action,clean,63,0,3,10,0.30927377939224243,0.40201449394226074,0.6130877137184143,0.1559974104166031,0.15774740278720856,0.08805379644036293,0.0816650390625,0.08154296875,0.00750732421875,0.15472412109375,0.00431060791015625,0.2786237895488739,0.3494350016117096,0.47515976428985596,0.1561385914683342,0.11150762438774109,0.05094031244516373,0.04296875,0.03955078125,0.00506591796875,0.207763671875,0.0
action,clean,63,0,3,11,0.17423084378242493,0.2534359395503998,0.6107489168643951,0.1735377386212349,0.10039284825325012,0.07437250763177872,0.0245361328125,0.027587890625,0.0018291473388671875,0.164093017578125,0.0,0.13129475712776184,0.2342374324798584,0.5734774470329285,0.17832454293966293,0.10975870490074158,0.05738600343465805,0.0313720703125,0.024169921875,0.0020656585693359375,0.11669921875,0.0
action,clean,63,0,4,0,0.18510743975639343,0.12247544527053833,0.6152285933494568,0.14563922584056854,0.022694766521453857,0.04129492864012718,0.021575927734375,0.015869140625,0.0021305084228515625,0.1421966552734375,0.0,0.11782082915306091,0.0998246967792511,0.5464445352554321,0.16726531833410263,0.043608248233795166,0.04493127390742302,0.0051116943359375,0.003173828125,0.000797271728515625,0.1199951171875,0.0
action,clean,63,0,4,1,0.3926381766796112,0.39326012134552,0.6216240227222443,0.1577177345752716,0.17185533046722412,0.22951923310756683,0.014497756958007812,0.01025390625,0.0010676383972167969,0.200927734375,0.0,0.3583710789680481,0.38297802209854126,0.6153381764888763,0.19790424406528473,0.25155092775821686,0.1856948807835579,0.0026557445526123047,0.00146484375,0.00030496716499328613,0.2722930908203125,0.0
