feature,raw_split_spearman,layer_residual_split_spearman,discovery_layer_eta_squared,validation_layer_eta_squared,raw_discovery_iqr,layer_residual_discovery_iqr
action.topology_diagonal_mass_shift_excess_seed,0.22079864657796386,0.11727082524481972,0.20411859317699374,0.2732618256245346,0.016387939453125,0.01346588134765625
action.topology_expected_displacement_shift_excess_seed,-0.11072821307646574,-0.09812009866331271,0.13923140537637257,0.09260095384993851,0.003995180130004883,0.0034702569246292114
action.topology_directional_coherence_shift_excess_seed,-0.015601084062699092,-0.013107484510873867,0.08332075972235248,0.10653670694577992,0.05888557434082031,0.054029710590839386
action.topology_top1_displacement_shift_excess_seed,-0.002300269693089172,-0.001710585142968132,0.14192682700795875,0.11122375927098604,0.0032515525817871094,0.0036573410034179688
camera.query_shift_excess_seed,0.7345156984235989,0.616174507519348,0.347231408773398,0.31051491007717347,0.030395790934562683,0.02016855962574482
camera.key_shift_excess_seed,0.2662402230469885,0.20102444206102413,0.12498904234799098,0.40028863140621873,0.015692368149757385,0.012777198106050491
camera.value_shift_excess_seed,0.33705352664758215,0.1120787969042971,0.2953376174831411,0.37448965690352914,0.029423244297504425,0.025579670444130898
camera.value_scale_shift_excess_seed,0.24343140507771407,-0.09525099216300535,0.4478236799323059,0.4200998774592795,0.011378941591829062,0.00798109476454556
camera.compatibility_loss_excess_seed,0.07728197491235786,0.005317427860811684,0.08069791530911984,0.21650007672062774,0.019603447057306767,0.017357352538965642
camera.policy_shift_excess_seed,-0.0008317965416399819,0.005606524741703253,0.08760852002738247,0.10747467478638807,0.019623746164143085,0.018077777203870937
camera.topology_normalized_entropy_shift_excess_seed,-0.05669598627145378,-0.10046858685643466,0.3017131689912253,0.08806847436148002,0.01599717140197754,0.013398528099060059
camera.topology_diagonal_mass_shift_excess_seed,-0.08606554873520704,-0.14487621080083343,0.19397652129380788,0.13929135542531113,0.016815185546875,0.01601409912109375
camera.topology_expected_displacement_shift_excess_seed,0.05961785426676767,0.07044910325954161,0.1096294692593235,0.12629272134041802,0.003665924072265625,0.003308609127998352
camera.topology_directional_coherence_shift_excess_seed,0.01958825404351706,0.018161792539666786,0.09693364695488697,0.10683342654356473,0.05613517761230469,0.05101585388183594
camera.topology_top1_displacement_shift_excess_seed,-0.03575269646543226,-0.05318107625954175,0.07619330032164877,0.06786300374210245,0.0032281875610351562,0.003233671188354492
paraphrase.query_shift_excess_seed,0.7744977456101769,0.7113413940951191,0.37103636921094957,0.29387392287603376,0.03509243205189705,0.023639583960175514
paraphrase.key_shift_excess_seed,0.6872048909842411,0.563057842524505,0.24069819929316252,0.3142379161007088,0.028416700661182404,0.018314503133296967
paraphrase.value_shift_excess_seed,0.4967008490291849,0.2435116526104882,0.32898201742873284,0.42021094807731074,0.041438620537519455,0.027196725830435753
paraphrase.value_scale_shift_excess_seed,0.2114164975552795,0.0895670491284655,0.4357037054399063,0.3379512935061949,0.01111763995140791,0.008653514552861452
