layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98,forcing_kv,head_forcing,dummy_forcing
17,3,1,1,1,0.22027330096744277,-1,10,static,memory,context
17,4,1,1,1,0.3157130146777425,-1,10,static,memory,context
17,5,1,1,1,0.23288263362226685,-1,11,static,memory,context
17,6,2,2,1,0.3183223121879928,-1,11,dynamic,memory,context
17,7,1,1,1,0.3444774884269624,2,11,static,memory,context
17,8,1,1,1,0.35523161187791497,-1,11,static,memory,context
17,9,2,2,1,0.36876110437541176,1,10,dynamic,memory,context
17,10,2,1,0,0.10055025682444302,1,10,static,memory,context
17,11,2,2,1,0.4007302349687569,1,10,dynamic,memory,context
18,0,0,0,1,0.11739918932804319,1,10,dynamic,anchor,context
18,1,2,2,1,0.4255968536721253,1,10,static,memory,context
18,2,2,2,1,0.42726181208079894,1,10,static,memory,context
18,3,2,2,1,0.29188152347542895,-1,10,static,memory,context
18,4,2,2,1,0.6396394836217946,1,10,dynamic,memory,context
18,5,2,2,1,0.3607738176384811,1,10,static,memory,context
18,6,2,2,1,0.32709239764399245,1,10,dynamic,memory,context
18,7,2,0,0,0.20998704699519735,-1,10,static,anchor,context
18,8,2,2,1,0.48127658855959327,1,10,dynamic,memory,context
18,9,1,1,1,0.10707862087721665,1,10,dynamic,anchor,context
18,10,2,2,1,0.4987016192514321,1,10,dynamic,memory,context
18,11,2,2,1,0.6218586580368637,1,10,static,memory,context
19,0,0,0,1,0.37500993725199955,1,10,dynamic,anchor,context
19,1,2,2,1,0.10395318490355007,1,10,dynamic,memory,context
19,2,1,1,1,0.14763976654545435,2,11,static,local,dummy
19,3,2,2,1,0.6905661858279518,1,10,dynamic,memory,context
19,4,1,1,1,0.24765386567525752,2,11,static,memory,context
19,5,2,2,1,0.12550882901546428,-1,10,static,memory,context
19,6,2,2,1,0.49647626594345434,1,10,dynamic,memory,context
19,7,1,1,1,0.10698392345800753,-1,11,static,memory,context
19,8,2,2,1,0.11000368794616758,1,10,dynamic,anchor,context
19,9,2,2,1,0.3357706188249029,1,10,static,memory,context
19,10,1,1,1,0.4792017759936028,-1,10,static,memory,dummy
19,11,2,2,1,0.23707558643002757,-1,11,static,memory,context
20,0,2,2,1,0.5000969207346108,1,10,static,memory,context
20,1,1,1,1,0.5920115276802315,-1,10,static,memory,dummy
20,2,1,1,1,0.31900782630464397,-1,10,static,local,dummy
20,3,1,1,1,0.456675632072002,-1,10,static,local,dummy
20,4,2,2,1,0.5837589014581688,1,10,static,memory,context
20,5,1,1,1,0.4571377267370919,-1,10,static,local,dummy
20,6,2,2,1,0.4767059642268484,1,10,dynamic,memory,context
20,7,1,1,1,0.40201856326971463,-1,10,static,local,dummy
20,8,1,1,1,0.4270950112992875,-1,11,static,local,dummy
20,9,1,1,1,0.6515346681864672,-1,10,static,local,dummy
20,10,2,2,1,0.4671073316897126,1,10,static,memory,dummy
20,11,1,1,1,0.4940661611576951,-1,10,static,local,dummy
21,0,1,1,1,0.21128601865909316,-1,10,static,local,dummy
21,1,2,2,1,0.5335907413024832,1,10,static,memory,context
21,2,2,2,1,0.38447175730444283,1,10,static,memory,context
21,3,1,1,1,0.537456261098006,-1,11,static,local,dummy
21,4,2,2,1,0.2754809837277885,1,10,dynamic,memory,context
21,5,1,1,1,0.1498122333320399,1,10,dynamic,anchor,context
21,6,2,2,1,0.44758590481258675,1,10,static,memory,context
21,7,2,1,0,0.19958932801524668,1,10,dynamic,memory,context
21,8,1,1,1,0.14593073847494722,2,11,static,memory,context
21,9,0,0,1,0.32387453722461707,-1,11,static,local,dummy
21,10,1,1,1,0.5028634548929167,-1,10,static,local,dummy
21,11,1,1,1,0.40800441722330494,-1,10,static,local,dummy
22,0,2,2,1,0.5325222881585647,1,10,dynamic,memory,context
22,1,2,2,1,0.4320202710814571,1,10,static,memory,context
22,2,2,2,1,0.11398307733926846,1,10,dynamic,memory,context
22,3,2,2,1,0.24232245269883262,2,11,static,memory,context
22,4,2,2,1,0.6181728310207688,1,10,dynamic,memory,context
22,5,2,2,1,0.4584946273485022,1,10,static,memory,context
22,6,2,0,0,0.04698945725136413,1,10,dynamic,anchor,context
22,7,0,0,1,0.5105932658171027,1,10,dynamic,anchor,context
22,8,2,2,1,0.16845995555959106,2,11,static,memory,context
22,9,2,2,1,0.35581662589065544,1,10,dynamic,anchor,context
22,10,2,2,1,0.6499920393581551,1,10,dynamic,memory,context
22,11,1,1,1,0.47870088147924833,-1,11,static,local,dummy
23,0,2,2,1,0.47311896881224386,1,10,dynamic,memory,context
23,1,1,1,1,0.4381842636985091,2,11,static,memory,context
23,2,2,2,1,0.22769376008109624,1,10,dynamic,anchor,context
23,3,2,2,1,0.30237348412175563,1,10,static,memory,context
23,4,2,2,1,0.4934553477302628,1,10,static,memory,context
23,5,2,0,0,0.2698366453142302,1,10,dynamic,anchor,context
23,6,2,2,1,0.5341322533143799,1,10,dynamic,memory,context
23,7,1,1,1,0.39672048725851405,-1,10,static,memory,context
23,8,2,2,1,0.42042102016469785,1,10,dynamic,memory,context
23,9,0,0,1,0.5230206502029738,-1,10,static,memory,context
23,10,1,1,1,0.22810264205705844,2,11,static,local,dummy
23,11,0,0,1,0.35025818879347453,-1,10,static,memory,context
24,0,2,2,1,0.4413273080160197,1,11,static,memory,dummy
24,1,2,2,1,0.30828211832809044,1,11,static,memory,context
24,2,1,1,1,0.5094262400959261,-1,11,static,local,dummy
