layer,head,reverse_relative_log_category_count,reverse_relative_log_dominant_category,reverse_relative_log_dominant_value,reverse_relative_log_range,reverse_relative_log_std,reverse_relative_log_positive_fraction,reverse_relative_log_absolute_entropy,freeze_latest_relative_log_category_count,freeze_latest_relative_log_dominant_category,freeze_latest_relative_log_dominant_value,freeze_latest_relative_log_range,freeze_latest_relative_log_std,freeze_latest_relative_log_positive_fraction,freeze_latest_relative_log_absolute_entropy,history_specificity_category_count,history_specificity_dominant_category,history_specificity_dominant_value,history_specificity_range,history_specificity_std,history_specificity_positive_fraction,history_specificity_absolute_entropy
18,3,3,clean:0,-3.315594201415527,0.8406950041468941,0.3589760606123377,0.0,0.9927735877869055,3,clean:0,-0.3181512219362167,0.0201460690601602,0.008243129528783524,0.0,0.9996736983542147,3,clean:0,0.11121121048927307,0.041829586029052734,0.0170781834247928,1.0,0.9835432922886429
18,4,3,clean:0,-2.7204579288426753,0.9774175825758564,0.42796584244633046,0.0,0.9821132575030307,3,clean:0,-0.22833839018192176,0.10271045901113465,0.04355129089752696,0.0,0.9705484689692331,3,noisy:500,0.10563337802886963,0.03527188301086426,0.015210286952282888,1.0,0.9869046964326383
18,5,3,clean:0,-3.2345979945749295,0.5113371704256324,0.23426369387933485,0.0,0.9970888545322976,3,clean:0,-0.2893507995117547,0.04660434100051025,0.01939346114711356,0.0,0.9975530333214809,3,clean:0,0.11680090427398682,0.03215521574020386,0.013497034167855046,1.0,0.9919836575738064
18,6,3,clean:0,-2.8374325164720196,0.6116960397807336,0.2525321373816691,0.0,0.995410893935914,3,noisy:500,-0.2357079317531696,0.024005603702126982,0.009841181719817934,0.0,0.9991213169002936,3,noisy:500,0.0740143358707428,0.01615549623966217,0.006738350701848353,1.0,0.9951597248635984
18,7,3,clean:0,-3.2643309073984628,0.8416268284458588,0.3614756499140947,0.0,0.9923802578237484,3,clean:0,-0.22402664008087705,0.060822294628127854,0.025014185705549797,0.0,0.992285438212331,3,clean:0,0.08166384696960449,0.021929770708084106,0.009121918481199644,1.0,0.992530824681162
18,8,3,clean:0,-3.064866895571985,0.4996857696496644,0.20533526558803797,0.0,0.9975607340822964,3,clean:0,-0.34858792159884355,0.10889307057645789,0.04450174027318799,0.0,0.9894706855443588,3,clean:0,0.08408567309379578,0.029017120599746704,0.012626228718430119,1.0,0.9856511110419308
18,9,3,clean:0,-2.655874170511991,0.6461739223925762,0.2698360588318571,0.0,0.9937784443321427,3,noisy:500,-0.09234427037862694,0.03496787325964268,0.015638886350421658,0.0,0.981351438688973,3,noisy:1000,-0.01368752121925354,0.02049565315246582,0.008633210169901574,0.6666666666666666,0.7296453836414171
18,10,3,clean:0,-2.462936129505084,0.6033624175824455,0.2512994916434267,0.0,0.9937198655406637,3,clean:0,-0.14525655160547113,0.06285435159210707,0.02612571834467053,0.0,0.9749209431957491,3,noisy:500,0.05953320860862732,0.02460561692714691,0.010342654683802983,1.0,0.9787759375548886
18,11,3,clean:0,-3.146489236033556,0.8464719871840543,0.3633245730533602,0.0,0.9915928035559974,3,clean:0,-0.3512255063594828,0.08926040552278136,0.03950997970138825,0.0,0.992725399740883,3,clean:0,0.09600025415420532,0.040720194578170776,0.016623984762423768,1.0,0.9777362410663566
19,0,3,clean:0,-2.5200305693281773,0.6906023681351279,0.29198415066266037,0.0,0.99153535192161,3,clean:0,0.09232689039700417,0.043611085916942516,0.01795181649750303,1.0,0.9707163262107702,3,noisy:500,0.03898775577545166,0.02877458930015564,0.012001722135517371,1.0,0.8927265630584372
