mode,nominal_timestep,layer,head,old_history_effect,old_history_effect_samples,reverse_effect,reverse_effect_samples,reverse_relative_log,reverse_relative_log_samples,phase_shift_effect,phase_shift_effect_samples,phase_shift_relative_log,phase_shift_relative_log_samples,freeze_latest_effect,freeze_latest_effect_samples,freeze_latest_relative_log,freeze_latest_relative_log_samples,value_mismatch_effect,value_mismatch_effect_samples,value_mismatch_relative_log,value_mismatch_relative_log_samples,reverse_vs_phase_log,reverse_vs_phase_log_samples,correct_top1,correct_top1_samples,correct_margin,correct_margin_samples,hard_wrong_top1,hard_wrong_top1_samples,random_wrong_top1,random_wrong_top1_samples,wrong_top1,wrong_top1_samples,history_specificity,history_specificity_samples,hard_history_specificity,hard_history_specificity_samples,correct_peak_age,correct_peak_age_samples
clean,0,3,6,0.03746725618839264,128,0.003750681527890265,128,-2.2332041151557904,128,0.0011365300160832703,128,-3.368281560606185,128,0.02739631850272417,128,-0.26293744696702753,128,0.023670037277042866,128,-0.37165637529368806,128,1.0668270157781425,128,0.6906305253505707,128,0.012193262577056885,128,0.4065491110086441,128,0.46642376482486725,128,0.4923595190048218,128,0.1916491985321045,128,0.27533747255802155,128,2.0,128
clean,0,3,7,0.08480290323495865,128,0.058841779828071594,128,-0.3235521239539167,128,0.03547081537544727,128,-0.8780773004857001,128,0.07380787655711174,128,-0.12243491625287373,128,0.03426748141646385,128,-0.9020876406618838,128,0.5402648897216438,128,0.5774054527282715,128,0.023558929562568665,128,0.5653161406517029,128,0.592865377664566,128,0.6014910638332367,128,-0.026280373334884644,128,0.012217879295349121,128,17.0,128
clean,0,3,8,0.09899193421006203,128,0.007112988969311118,128,-2.4498436024627135,128,0.004747982369735837,128,-3.0090251578368763,128,0.06430694833397865,128,-0.32485492644070413,128,0.019463222473859787,128,-1.720886571350837,128,0.43484661653720413,128,0.7443018555641174,128,0.018033087253570557,128,0.6475801169872284,128,0.6703003942966461,128,0.6883457899093628,128,0.05377510190010071,128,0.10005292296409607,128,5.0,128
clean,0,3,9,0.06632502749562263,128,0.008552276529371738,128,-2.015308291924292,128,0.0030891692731529474,128,-3.09206646469259,128,0.05257486365735531,128,-0.2003283064860555,128,0.02443100418895483,128,-0.9451742375183824,128,0.9574460370019476,128,0.7762925326824188,128,0.010652899742126465,128,0.645985871553421,128,0.6794173419475555,128,0.6875163316726685,128,0.07899907231330872,128,0.12256109714508057,128,3.0,128
clean,0,3,10,0.07312347739934921,128,0.006907815579324961,128,-2.289813177557863,128,0.0038762198528274894,128,-2.8603965112296663,128,0.06871435791254044,128,-0.03418664252864331,128,0.03853233717381954,128,-0.6215197954214884,128,0.5907922198290083,128,0.5770254135131836,128,0.01667344570159912,128,0.42425934970378876,128,0.4633411318063736,128,0.48999258875846863,128,0.08531191945075989,128,0.15103194117546082,128,2.0,128
clean,0,3,11,0.09088584780693054,128,0.006076095392927527,128,-2.55175786247625,128,0.0034855399280786514,128,-3.1653100928616826,128,0.07588694617152214,128,-0.1930333161555077,128,0.01603950560092926,128,-1.6764568058642826,128,0.5505097687486302,128,0.7266544699668884,128,0.01840326189994812,128,0.6071341037750244,128,0.6335687637329102,128,0.6494312882423401,128,0.07606631517410278,128,0.11625930666923523,128,1.5,128
clean,0,4,0,0.12075650319457054,128,0.05869307182729244,128,-0.7379642402764387,128,0.022157511673867702,128,-1.7426681330880749,128,0.12117312476038933,128,-0.043685303096207176,128,0.02228653710335493,128,-1.6235626374484449,128,0.9643539020983616,128,0.7260175347328186,128,0.020202070474624634,128,0.6823930144309998,128,0.7171005606651306,128,0.7217111885547638,128,0.004114389419555664,128,0.03631603717803955,128,16.0,128
clean,0,4,1,0.0426722951233387,128,0.0035779242170974612,128,-2.389046790899032,128,0.0015871789655648172,128,-3.203054599738336,128,0.0330720916390419,128,-0.22732531376662513,128,0.024443477392196655,128,-0.5748931979127623,128,0.7629435545491282,128,0.7180696725845337,128,0.012675940990447998,128,0.5009362995624542,128,0.553067535161972,128,0.5716445744037628,128,0.13209249079227448,128,0.19708611071109772,128,3.0,128
clean,0,4,2,0.07148583978414536,128,0.01249841833487153,128,-1.7694270128591725,128,0.012139559723436832,128,-1.8194352895138972,128,0.06736661493778229,128,-0.05193751309485048,128,0.035549357533454895,128,-0.7062464038315508,128,0.07988761618526843,128,0.7377225458621979,128,0.016644954681396484,128,0.6867625415325165,128,0.7127236425876617,128,0.722213864326477,128,0.015150219202041626,128,0.05760714411735535,128,6.0,128
clean,0,4,3,0.07453912496566772,128,0.06276677921414375,128,-0.26581220930973226,128,0.06083567254245281,128,-0.2952372154246481,128,0.06992964819073677,128,-0.15881616536425702,128,0.06204197742044926,128,-0.31145984402804955,128,0.02410876553379038,128,0.8372810184955597,128,0.030158907175064087,128,0.8265990316867828,128,0.8319354951381683,128,0.8398343920707703,128,-0.0007008910179138184,128,0.012688249349594116,128,18.0,128
clean,0,4,4,0.11842746660113335,128,0.04186500050127506,128,-1.0391897695854042,128,0.02479210216552019,128,-1.4965015933462475,128,0.12010909244418144,128,-0.030951591579330515,128,0.050777044147253036,128,-0.8937606646929706,128,0.4912585553629629,128,0.6448070406913757,128,0.03193005919456482,128,0.5538442730903625,128,0.5866543054580688,128,0.6000887751579285,128,0.046535342931747437,128,0.08718255162239075,128,8.5,128
clean,0,4,5,0.08272216096520424,128,0.058229705318808556,128,-0.3639404813235977,128,0.032052841037511826,128,-0.9634178134085203,128,0.07981066405773163,128,-0.07803911175615583,128,0.03062026295810938,128,-1.0218910543933277,128,0.6106158340153298,128,0.49958038330078125,128,0.026239052414894104,128,0.47340846061706543,128,0.4966401159763336,128,0.5052738189697266,128,-0.0008843094110488892,128,0.029690265655517578,128,18.0,128
clean,0,4,6,0.09464183822274208,128,0.007122676586732268,128,-2.4642998113969163,128,0.0038093376206234097,128,-3.1344021796457797,128,0.10533125326037407,128,0.054514842199684554,128,0.010568392463028431,128,-2.1976921121272834,128,0.5943912872553849,128,0.6356488168239594,128,0.01551637053489685,128,0.6140498518943787,128,0.6471221148967743,128,0.6631829142570496,128,-0.010276168584823608,128,0.02699175477027893,128,1.0,128
clean,0,4,7,0.08212060481309891,128,0.009854108560830355,128,-2.0866874172886396,128,0.005788426846265793,128,-2.5800841641382783,128,0.07843664661049843,128,-0.04377407981812801,128,0.015221997164189816,128,-1.7378719164514322,128,0.5791603756122101,128,0.8042522668838501,128,0.008566319942474365,128,0.7522967457771301,128,0.7780339121818542,128,0.7882387340068817,128,0.01547539234161377,128,0.046716511249542236,128,8.0,128
clean,0,4,8,0.12243058905005455,128,0.030458194203674793,128,-1.2860528719288498,128,0.008601802866905928,128,-2.6520687685767355,128,0.13002316653728485,128,0.02576520003530541,128,0.04467228800058365,128,-1.02642017299957,128,1.357749405393823,128,0.7164546549320221,128,0.012306541204452515,128,0.5927928984165192,128,0.6388676166534424,128,0.651185005903244,128,0.0612313449382782,128,0.11042341589927673,128,9.0,128
clean,0,4,9,0.12703058123588562,128,0.015118078794330359,128,-2.0619507781927124,128,0.009170235134661198,128,-2.530833729651426,128,0.14634061604738235,128,0.11102698188644188,128,0.023363467305898666,128,-1.5804271302889017,128,0.5803709217531394,128,0.4437180161476135,128,0.024814292788505554,128,0.3790684789419174,128,0.4360085129737854,128,0.44805122911930084,128,-0.009332418441772461,128,0.08308451622724533,128,4.0,128
clean,0,4,10,0.07700489833950996,128,0.012597958091646433,128,-1.8885085393490417,128,0.0054154591634869576,128,-2.6024840044767696,128,0.06563236936926842,128,-0.13298766315114757,128,0.01112714409828186,128,-1.9300374565468363,128,0.7102063855726732,128,0.732701450586319,128,0.01534128189086914,128,0.6821210384368896,128,0.7081971168518066,128,0.7161586582660675,128,0.018017292022705078,128,0.052033185958862305,128,5.0,128
clean,0,4,11,0.06253382191061974,128,0.009414894971996546,128,-1.8876525151853982,128,0.004031156888231635,128,-2.742362306948009,128,0.0528484471142292,128,-0.1422901857254835,128,0.03023006860166788,128,-0.7977448175450448,128,0.8247094627629522,128,0.7512476444244385,128,0.01577848196029663,128,0.6071851253509521,128,0.6431099772453308,128,0.6570247113704681,128,0.09412303566932678,128,0.14830753207206726,128,7.5,128
