cohort,base_seed,candidate,control,window,effective_seed,source_index,motion_group,delta_imaging_quality,delta_dynamic_degree,delta_official_quality_score,delta_subject_consistency
v219,21600,ours_correct,sf_fifo21,late_half,21709,109,dd_tied,-0.006968861222267142,0.0,-0.20048030061475686,0.00024486370651166656
v219,21600,ours_correct,sf_fifo21,late_half,21713,113,dd_up,0.15608516752719886,0.125,3.2843825923918786,-0.002480723112488925
v219,21600,ours_correct,sf_fifo21,late_half,21714,114,dd_tied,0.10105294421315192,0.0,1.1168588575729643,0.005300194414746384
v219,21600,ours_correct,sf_fifo21,late_half,21716,116,dd_tied,0.028757829815149294,0.0,0.554636310227437,-0.00010378958104750868
v219,21600,ours_correct,sf_fifo21,late_half,21717,117,dd_tied,-0.03533258348703383,0.0,-0.4791443804674316,-0.004990975321857771
v219,21600,ours_correct,sf_fifo21,late_half,21721,121,dd_down,0.0490183843672275,-0.25,-1.3005379585897998,-0.0011339573122248758
v219,21600,ours_correct,sf_fifo21,late_half,21722,122,dd_tied,0.0019280791282653142,0.0,-0.07972121391487974,-0.012083631101250991
v219,21600,ours_correct,sf_fifo21,late_half,21724,124,dd_down,0.0021644803881645247,-0.125,-1.2675128744902366,-0.0013774515937471365
v219,21600,ours_correct,sf_fifo21,late_half,21725,125,dd_tied,-0.0028524646162987333,0.0,0.0006268694209836667,-7.702550956800724e-05
v219,21600,ours_correct,ours_random,full,21601,1,dd_tied,-0.00043740908304856774,0.0,-0.08069723843972554,-0.0007913767706755337
v219,21600,ours_correct,ours_random,full,21602,2,dd_down,0.01139299535751348,-0.06666666666666665,-0.35984678264378545,-0.00018386815467386075
v219,21600,ours_correct,ours_random,full,21604,4,dd_tied,0.0007907814979553063,0.0,0.007426690003427439,0.00011106118226789086
v219,21600,ours_correct,ours_random,full,21605,5,dd_tied,-0.0005083026885986941,0.0,0.1034951967087494,0.001526120986455326
v219,21600,ours_correct,ours_random,full,21609,9,dd_tied,0.0005162092049917355,0.0,0.09201251584278225,0.000479915407768039
