layer,head,discovery_current_mass,validation_current_mass,discovery_global_sink1_mass,validation_global_sink1_mass,discovery_history_mean_logit,validation_history_mean_logit,discovery_history_positive_rate,validation_history_positive_rate,discovery_last4_mass,validation_last4_mass,discovery_middle_mass,validation_middle_mass,discovery_oldest1_mass,validation_oldest1_mass,discovery_recent4_mass,validation_recent4_mass,discovery_recent4_non_oldest_ratio,validation_recent4_non_oldest_ratio,dummy_forcing_label,dummy_forcing_vote_fraction,dummy_forcing_split_agree,forcing_kv_label,forcing_kv_vote_fraction,forcing_kv_split_agree,head_forcing_label,head_forcing_vote_fraction,head_forcing_split_agree,discovery_best_policy,validation_best_policy,split_label_agree,discovery_policy_need,validation_policy_need,modal_state_policy,modal_state_fraction,validation_static_regret,discovery_policy_margin,discovery_recent_budget_loss,validation_recent_budget_loss,discovery_boundary_recent_loss,validation_boundary_recent_loss,discovery_uniform_recent_loss,validation_uniform_recent_loss
9,11,0.30511474609375,0.3153076171875,0.0,0.0,1.3654005262586806,1.3674655490451388,1.0,1.0,0.38494873046875,0.3968505859375,0.3551025390625,0.33856201171875,0.03678131103515625,0.0335235595703125,0.201446533203125,0.20831298828125,0.207275390625,0.215057373046875,context,1.0,1,dynamic,0.953125,1,anchor,0.9609375,1,boundary_recent,boundary_recent,1,0.027994271367788315,0.02992423251271248,boundary_recent,0.703125,0.0,0.057285254432162605,0.17256995290517807,0.17454231902956963,0.14457568153738976,0.14461808651685715,0.15356392040848732,0.1544920988380909
10,0,0.6121826171875,0.615966796875,0.0,0.0,0.08355882432725695,0.002336714002821179,0.5,0.4722222222222222,0.7376708984375,0.7498779296875,0.1344757080078125,0.1110382080078125,0.009754180908203125,0.009006500244140625,0.19482421875,0.2095947265625,0.1986083984375,0.2110595703125,context,0.9921875,1,static,0.6953125,1,memory,0.875,1,uniform_recent,uniform_recent,1,0.004467884078621864,0.010044129565358162,uniform_recent,0.5234375,0.0,0.03184076172701661,0.1059299111366272,0.10086758621037006,0.10477524064481258,0.09765995293855667,0.10146202705800533,0.0908234566450119
10,1,0.45806884765625,0.4683837890625,0.0,0.0,3.5801595052083335,3.492594401041667,1.0,1.0,0.5750732421875,0.5986328125,0.198822021484375,0.190765380859375,0.020038604736328125,0.01914215087890625,0.241668701171875,0.239532470703125,0.251495361328125,0.247039794921875,context,1.0,1,dynamic,0.53125,1,memory,0.9296875,1,boundary_recent,boundary_recent,1,0.023642387241125107,0.0192183218896389,boundary_recent,0.5677083333333334,0.0,0.04580435295968011,0.17422441765666008,0.1756199114024639,0.15058203041553497,0.156401589512825,0.15795285627245903,0.1596786007285118
10,2,0.468017578125,0.48931884765625,0.0,0.0,3.4297688802083335,3.3879937065972223,1.0,1.0,0.5694580078125,0.5845947265625,0.23773193359375,0.216064453125,0.021007537841796875,0.016880035400390625,0.2144775390625,0.21240234375,0.22052001953125,0.218292236328125,context,1.0,1,dynamic,0.859375,1,memory,0.8203125,1,boundary_recent,boundary_recent,1,0.012541450560092926,0.016380973160266876,boundary_recent,0.64453125,0.0,0.0038541104940118835,0.1173689104616642,0.1200630534440279,0.10482745990157127,0.10368208028376102,0.10524812899529934,0.10441108793020248
10,3,0.6837158203125,0.6861572265625,0.0,0.0,1.4905565049913194,1.4013536241319444,1.0,1.0,0.805419921875,0.8023681640625,0.06817626953125,0.05873870849609375,0.01488494873046875,0.012195587158203125,0.1798095703125,0.18951416015625,0.1856689453125,0.1905517578125,context,1.0,1,static,0.6953125,1,memory,0.984375,1,boundary_recent,boundary_recent,1,0.023412121459841728,0.024333671666681767,boundary_recent,0.9049479166666666,0.0,0.16753691944382137,0.07955497689545155,0.07720738276839256,0.05614285543560982,0.052873711101710796,0.06749001052230597,0.06694132648408413
10,4,0.20025634765625,0.183990478515625,0.0,0.0,1.2037862141927085,1.1690436469184027,1.0,1.0,0.30950927734375,0.32867431640625,0.38909912109375,0.3751220703125,0.0434112548828125,0.04151153564453125,0.2576904296875,0.27362060546875,0.26837158203125,0.27947998046875,context,1.0,1,dynamic,0.9765625,1,anchor,0.6796875,1,uniform_recent,uniform_recent,1,0.03535120002925396,0.035701677203178406,uniform_recent,0.5384114583333334,0.0,0.0379069632680948,0.1519252210855484,0.15342894569039345,0.12150194123387337,0.11962724104523659,0.11657402105629444,0.11772726848721504
10,5,0.36114501953125,0.3690185546875,0.0,0.0,3.4095594618055554,3.2399631076388893,1.0,1.0,0.44818115234375,0.4864501953125,0.293853759765625,0.25274658203125,0.026607513427734375,0.0256805419921875,0.212005615234375,0.217620849609375,0.217864990234375,0.22283935546875,context,1.0,1,dynamic,0.875,1,memory,0.8046875,1,boundary_recent,uniform_recent,0,0.02504424937069416,0.029865536838769913,uniform_recent,0.4791666666666667,0.016271373514171836,0.0024201700138069787,0.1530260443687439,0.15534069761633873,0.12798179499804974,0.12657697685062885,0.12831200286746025,0.12547516077756882
10,6,0.5865478515625,0.6048583984375,0.0,0.0,1.2938749525282118,1.3193064795600042,1.0,1.0,0.7042236328125,0.7213134765625,0.119964599609375,0.10498046875,0.0262603759765625,0.0252838134765625,0.220703125,0.216033935546875,0.226409912109375,0.220550537109375,context,1.0,1,dynamic,0.75,1,memory,0.734375,1,boundary_recent,boundary_recent,1,0.026470288634300232,0.028828665614128113,boundary_recent,0.9427083333333334,0.0,0.1913693516033976,0.09487429074943066,0.09387190639972687,0.06840400211513042,0.06504324078559875,0.08418994769454002,0.08068116009235382
10,7,0.253692626953125,0.26483154296875,0.0,0.0,0.9316304524739584,0.963883293999566,1.0,1.0,0.37469482421875,0.381591796875,0.3121337890625,0.30987548828125,0.06275177001953125,0.05844879150390625,0.2767333984375,0.27667236328125,0.2899169921875,0.293701171875,context,1.0,1,dynamic,0.9765625,1,anchor,1.0,1,boundary_recent,boundary_recent,1,0.051779089495539665,0.054545776918530464,boundary_recent,0.9453125,0.0,0.14451591883705503,0.1643255613744259,0.16603072360157967,0.11254647187888622,0.1114849466830492,0.1322549246251583,0.13183420151472092
10,8,0.520751953125,0.529296875,0.0,0.0,0.9148992962307401,0.8638481563991971,0.9305555555555556,0.9166666666666666,0.6181640625,0.62646484375,0.17950439453125,0.163970947265625,0.06240081787109375,0.0566558837890625,0.158111572265625,0.158050537109375,0.166595458984375,0.168060302734375,context,1.0,1,dynamic,0.890625,1,anchor,0.9921875,1,boundary_recent,boundary_recent,1,0.08361544646322727,0.09064977988600731,boundary_recent,0.9641927083333334,0.0,0.2569651169388182,0.18860768899321556,0.19737713038921356,0.10499224252998829,0.10672735050320625,0.14233200997114182,0.14246105588972569
