prompt_split,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,boundary_offset,layer,head,prompt_history_excess,policy_prompt_score,stale_a_mass,persistent_content,persistent_positioned,persistent_output
all,identity_scene,clean,54,0,A,1,-3,10,1,0.2662748694419861,0.3625140617099144,1.0,0.0002662539482116699,-0.00011324882507324219,-0.00281369686126709
all,identity_scene,clean,54,0,A,1,-3,10,2,0.07043570280075073,0.9531285795286362,1.0,0.0005929768085479736,0.0004971623420715332,0.0031424760818481445
all,identity_scene,clean,54,0,A,1,-3,10,3,0.2863936126232147,0.6933735902097502,1.0,0.0010377764701843262,9.632110595703125e-05,0.004997134208679199
all,identity_scene,clean,54,0,A,1,-3,10,4,0.1615740954875946,0.37046048853679703,1.0,0.0005650520324707031,9.500980377197266e-05,0.001605391502380371
all,identity_scene,clean,54,0,A,1,-3,10,5,-0.3014225959777832,0.7753440623303955,1.0,0.00024643540382385254,0.00012430548667907715,0.0012060701847076416
all,identity_scene,clean,54,0,A,1,-3,10,6,0.602071225643158,0.8199063382092966,1.0,0.001134425401687622,0.0014006197452545166,0.003805100917816162
all,identity_scene,clean,54,0,A,1,-3,10,7,0.17310941219329834,1.1291611655348723,1.0,4.8488378524780273e-05,0.0008763968944549561,0.008433699607849121
all,identity_scene,clean,54,0,A,1,-3,10,8,0.191718190908432,0.9351378969590338,1.0,0.0009784102439880371,0.0020692795515060425,0.010843336582183838
all,identity_scene,clean,54,0,A,1,-3,10,9,0.08935266733169556,0.6866508312377162,1.0,0.0003667473793029785,0.0008027255535125732,0.0005561113357543945
all,identity_scene,clean,54,0,A,1,-3,10,10,-0.3373039662837982,0.24689474380788615,1.0,0.00033149123191833496,-5.0514936447143555e-05,-0.0004272162914276123
all,identity_scene,clean,54,0,A,1,-3,10,11,-0.12878906726837158,0.43091765308457974,1.0,-3.4183263778686523e-05,-0.00023546814918518066,0.0017527937889099121
all,identity_scene,clean,54,0,A,1,-3,11,0,-0.2424895465373993,0.5657972862283829,1.0,-0.00025328993797302246,-0.000378340482711792,-0.0003561973571777344
all,identity_scene,clean,54,0,A,1,-3,11,1,0.306454062461853,0.45029076565912607,0.9999999701976776,8.729100227355957e-05,-0.0005141794681549072,0.0018706917762756348
all,identity_scene,clean,54,0,A,1,-3,11,2,-0.2522904872894287,0.1499473082469113,1.0,0.00022360682487487793,2.2366642951965332e-05,0.0008722841739654541
