dataset_index,family_index,seed_replicate,variant,seed,declared_seed,reference_seed,state_count,record_count,path
20,2,0,base,145002,145002,145002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00020_v145_f02_s0_base.pt
21,2,0,paraphrase,145002,145002,145002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00021_v145_f02_s0_paraphrase.pt
22,2,0,identity,145002,145002,145002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00022_v145_f02_s0_identity.pt
23,2,0,scene,145002,145002,145002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00023_v145_f02_s0_scene.pt
24,2,0,full_semantic,145002,145002,145002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00024_v145_f02_s0_full_semantic.pt
25,2,1,base,155002,155002,155002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00025_v145_f02_s1_base.pt
26,2,1,paraphrase,155002,155002,155002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00026_v145_f02_s1_paraphrase.pt
27,2,1,identity,155002,155002,155002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00027_v145_f02_s1_identity.pt
28,2,1,scene,155002,155002,155002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00028_v145_f02_s1_scene.pt
29,2,1,full_semantic,155002,155002,155002,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00029_v145_f02_s1_full_semantic.pt
30,3,0,base,145003,145003,145003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00030_v145_f03_s0_base.pt
31,3,0,paraphrase,145003,145003,145003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00031_v145_f03_s0_paraphrase.pt
32,3,0,identity,145003,145003,145003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00032_v145_f03_s0_identity.pt
33,3,0,scene,145003,145003,145003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00033_v145_f03_s0_scene.pt
34,3,0,full_semantic,145003,145003,145003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00034_v145_f03_s0_full_semantic.pt
35,3,1,base,155003,155003,155003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00035_v145_f03_s1_base.pt
36,3,1,paraphrase,155003,155003,155003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00036_v145_f03_s1_paraphrase.pt
37,3,1,identity,155003,155003,155003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00037_v145_f03_s1_identity.pt
38,3,1,scene,155003,155003,155003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00038_v145_f03_s1_scene.pt
39,3,1,full_semantic,155003,155003,155003,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00039_v145_f03_s1_full_semantic.pt
40,4,0,base,145004,145004,145004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00040_v145_f04_s0_base.pt
41,4,0,paraphrase,145004,145004,145004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00041_v145_f04_s0_paraphrase.pt
42,4,0,identity,145004,145004,145004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00042_v145_f04_s0_identity.pt
43,4,0,scene,145004,145004,145004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00043_v145_f04_s0_scene.pt
44,4,0,full_semantic,145004,145004,145004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00044_v145_f04_s0_full_semantic.pt
45,4,1,base,155004,155004,155004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00045_v145_f04_s1_base.pt
46,4,1,paraphrase,155004,155004,155004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00046_v145_f04_s1_paraphrase.pt
47,4,1,identity,155004,155004,155004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00047_v145_f04_s1_identity.pt
48,4,1,scene,155004,155004,155004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00048_v145_f04_s1_scene.pt
49,4,1,full_semantic,155004,155004,155004,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00049_v145_f04_s1_full_semantic.pt
50,5,0,base,145005,145005,145005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00050_v145_f05_s0_base.pt
51,5,0,paraphrase,145005,145005,145005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00051_v145_f05_s0_paraphrase.pt
52,5,0,identity,145005,145005,145005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00052_v145_f05_s0_identity.pt
53,5,0,scene,145005,145005,145005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00053_v145_f05_s0_scene.pt
54,5,0,full_semantic,145005,145005,145005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00054_v145_f05_s0_full_semantic.pt
55,5,1,base,155005,155005,155005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00055_v145_f05_s1_base.pt
56,5,1,paraphrase,155005,155005,155005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00056_v145_f05_s1_paraphrase.pt
57,5,1,identity,155005,155005,155005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00057_v145_f05_s1_identity.pt
58,5,1,scene,155005,155005,155005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00058_v145_f05_s1_scene.pt
59,5,1,full_semantic,155005,155005,155005,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00059_v145_f05_s1_full_semantic.pt
60,6,0,base,145006,145006,145006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00060_v145_f06_s0_base.pt
61,6,0,paraphrase,145006,145006,145006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00061_v145_f06_s0_paraphrase.pt
62,6,0,identity,145006,145006,145006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00062_v145_f06_s0_identity.pt
63,6,0,scene,145006,145006,145006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00063_v145_f06_s0_scene.pt
64,6,0,full_semantic,145006,145006,145006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00064_v145_f06_s0_full_semantic.pt
65,6,1,base,155006,155006,155006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00065_v145_f06_s1_base.pt
66,6,1,paraphrase,155006,155006,155006,6,180,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v145_crossed_seed_head_profile/crossed160/profiles/00066_v145_f06_s1_paraphrase.pt
