layer,head,discovery_best,discovery_margin,coverage_gain,episode_gain,stability_frequency,supported_nonlocal,assigned_policy
11,1,recent,1.4160921739788126,-1.6304587204587166,-1.4160921739788126,1.0,False,recent
11,2,recent,0.7222006052326106,-0.8665708666277716,-0.7222006052326106,1.0,False,recent
11,3,recent,2.0494557301242455,-2.165935971639599,-2.0494557301242455,1.0,False,recent
11,4,recent,1.4952333654634096,-1.5720062283689025,-1.4952333654634096,1.0,False,recent
11,5,recent,1.7641041900949759,-1.8339137437233433,-1.7641041900949759,1.0,False,recent
11,6,recent,1.3511758721362481,-1.5486064391694283,-1.3511758721362481,1.0,False,recent
11,7,recent,1.5457310940770657,-1.6869083096757036,-1.5457310940770657,1.0,False,recent
11,8,recent,0.545064144087001,-0.5565084208885276,-0.545064144087001,1.0,False,recent
11,9,recent,1.6635068728863391,-1.776082701147386,-1.6635068728863391,1.0,False,recent
11,10,coverage,0.01621089513953855,0.08898298526290738,0.07277209012336883,0.6666666666666666,False,recent
11,11,recent,0.39412566368744084,-0.5272066984644965,-0.39412566368744084,1.0,False,recent
12,0,recent,2.3603533661167058,-2.4446826094132295,-2.3603533661167058,1.0,False,recent
12,1,recent,1.251317975120429,-1.405531527698161,-1.251317975120429,1.0,False,recent
12,2,recent,2.230825437000277,-2.230825437000277,-2.248012941284376,1.0,False,recent
12,3,recent,0.27183902787231773,-0.47683674268178766,-0.27183902787231773,1.0,False,recent
12,4,recent,0.2855514445550753,-0.3958067605972486,-0.2855514445550753,1.0,False,recent
12,5,recent,0.054107672575192556,-0.07186846149109982,-0.054107672575192556,1.0,False,recent
12,6,recent,3.2334216164149954,-3.2992934687976314,-3.2334216164149954,1.0,False,recent
12,7,recent,3.379060890114431,-3.451072713988565,-3.379060890114431,1.0,False,recent
12,8,recent,3.315035541750869,-3.3412438344906086,-3.315035541750869,1.0,False,recent
12,9,recent,2.7988920309134904,-2.8421751126454735,-2.7988920309134904,1.0,False,recent
12,10,recent,1.3837428606088373,-1.557753765389978,-1.3837428606088373,1.0,False,recent
12,11,recent,1.8058076852562301,-1.8973944758268715,-1.8058076852562301,1.0,False,recent
13,0,recent,0.5731081373847418,-0.8808649729747438,-0.5731081373847418,1.0,False,recent
13,1,recent,1.4377735350154643,-1.6820754213297389,-1.4377735350154643,1.0,False,recent
13,2,recent,0.8208409643553596,-0.9709831550017824,-0.8208409643553596,1.0,False,recent
13,3,recent,0.9774360069952177,-1.052297081509216,-0.9774360069952177,1.0,False,recent
13,4,recent,0.6543449377169157,-0.8127602645780936,-0.6543449377169157,1.0,False,recent
13,5,recent,1.2658391102693245,-1.5788414498648873,-1.2658391102693245,1.0,False,recent
13,6,recent,0.735156925296947,-0.8950934402172663,-0.735156925296947,1.0,False,recent
13,7,recent,1.4229540927618003,-1.6486300695869938,-1.4229540927618003,1.0,False,recent
13,8,recent,1.409756619882069,-1.4855602278336097,-1.409756619882069,1.0,False,recent
13,9,recent,2.002125679106029,-2.2261977872610137,-2.002125679106029,1.0,False,recent
13,10,recent,0.5690172834710303,-0.8046309346718026,-0.5690172834710303,1.0,False,recent
13,11,recent,1.7059722663562766,-1.7873666399152999,-1.7059722663562766,1.0,False,recent
14,0,recent,1.8299075754630163,-1.899208825432435,-1.8299075754630163,1.0,False,recent
14,1,recent,1.2549481620120009,-1.4923369482537092,-1.2549481620120009,1.0,False,recent
14,2,recent,0.8062422118980992,-1.0083735824367563,-0.8062422118980992,1.0,False,recent
14,3,recent,2.9487459895759933,-3.007288332309076,-2.9487459895759933,1.0,False,recent
14,4,recent,1.8309211175481135,-1.9141877882294143,-1.8309211175481135,1.0,False,recent
14,5,recent,2.7902435824637886,-2.8641434250382343,-2.7902435824637886,1.0,False,recent
14,6,recent,0.726031664884554,-0.7981681687595676,-0.726031664884554,1.0,False,recent
14,7,recent,1.2455066565530832,-1.3695172129990572,-1.2455066565530832,1.0,False,recent
14,8,recent,2.654068952031664,-2.7433178162892036,-2.654068952031664,1.0,False,recent
14,9,recent,0.2457847699529454,-0.264807215802632,-0.2457847699529454,1.0,False,recent
14,10,recent,2.837136608837471,-2.8910240586761944,-2.837136608837471,1.0,False,recent
14,11,recent,0.6168723445607331,-0.8706082799385659,-0.6168723445607331,1.0,False,recent
15,0,recent,0.8168493240029466,-0.9227789868964504,-0.8168493240029466,1.0,False,recent
15,1,recent,1.0470283968329683,-1.326920238435474,-1.0470283968329683,1.0,False,recent
15,2,recent,0.7731903129927344,-1.0495911109274685,-0.7731903129927344,1.0,False,recent
15,3,recent,0.4708135421221189,-0.5836974376189685,-0.4708135421221189,1.0,False,recent
15,4,recent,1.3548764320285445,-1.6178138001655118,-1.3548764320285445,1.0,False,recent
15,5,recent,1.0630476560505806,-1.2033554409149025,-1.0630476560505806,1.0,False,recent
15,6,recent,0.41047372583734276,-0.5912407962123316,-0.41047372583734276,1.0,False,recent
15,7,recent,0.4291818667261973,-0.7192483874836908,-0.4291818667261973,1.0,False,recent
15,8,recent,1.0397253351743663,-1.1269760294556965,-1.0397253351743663,1.0,False,recent
15,9,recent,0.4238050584769617,-0.5495746973070417,-0.4238050584769617,1.0,False,recent
15,10,recent,0.9436637668683208,-0.9775098966009708,-0.9436637668683208,1.0,False,recent
15,11,recent,1.7363767797245417,-1.7671789974340282,-1.7363767797245417,1.0,False,recent
16,0,recent,2.045614209299353,-2.2951040144523613,-2.045614209299353,1.0,False,recent
16,1,recent,0.6832349679945366,-0.8646631774411948,-0.6832349679945366,1.0,False,recent
16,2,recent,3.663959389896191,-3.68334356106012,-3.663959389896191,1.0,False,recent
16,3,recent,0.37697566078142364,-0.48803909623793595,-0.37697566078142364,1.0,False,recent
16,4,recent,1.4517049438227598,-1.5449190450163832,-1.4517049438227598,1.0,False,recent
16,5,recent,2.3657472538706807,-2.437188656211128,-2.3657472538706807,1.0,False,recent
16,6,recent,2.1792775392825616,-2.223683103804433,-2.1792775392825616,1.0,False,recent
16,7,recent,0.6023439394752215,-0.8532488255271367,-0.6023439394752215,1.0,False,recent
16,8,recent,2.3943400866041733,-2.3943400866041733,-2.3993446563851513,1.0,False,recent
16,9,recent,4.283597184480782,-4.307537386004426,-4.283597184480782,1.0,False,recent
16,10,recent,0.5027435724133547,-0.7431109873082842,-0.5027435724133547,1.0,False,recent
16,11,recent,0.9948491260725221,-1.0611306068896926,-0.9948491260725221,1.0,False,recent
17,0,recent,1.390846974310069,-1.599826214567775,-1.390846974310069,1.0,False,recent
17,1,recent,1.9714302796278727,-1.9982136866747737,-1.9714302796278727,1.0,False,recent
17,2,recent,0.9169186854388087,-1.0389705032318854,-0.9169186854388087,1.0,False,recent
17,3,recent,2.738955702662107,-2.7649265695200302,-2.738955702662107,1.0,False,recent
17,4,recent,1.1058315216432177,-1.125154623251964,-1.1058315216432177,1.0,False,recent
17,5,recent,2.6057534974344074,-2.6430894461906593,-2.6057534974344074,1.0,False,recent
17,6,recent,1.2948499632187676,-1.5447780512581155,-1.2948499632187676,1.0,False,recent
17,7,recent,3.9817773045404428,-3.9895583974960793,-3.9817773045404428,1.0,False,recent
17,8,recent,4.01051159200464,-4.024717423212087,-4.01051159200464,1.0,False,recent
17,9,recent,0.43961719986729886,-0.7227380387311233,-0.43961719986729886,1.0,False,recent
17,10,recent,3.266754729795761,-3.3112071259123352,-3.266754729795761,1.0,False,recent
17,11,recent,1.0554977409014734,-1.1662457151779408,-1.0554977409014734,1.0,False,recent
18,0,recent,0.4748618904046924,-0.4748618904046924,-0.5296063860395122,1.0,False,recent
18,1,recent,2.1380588571847414,-2.366692384542895,-2.1380588571847414,1.0,False,recent
18,2,recent,2.076141958052291,-2.3244145786414663,-2.076141958052291,1.0,False,recent
18,3,recent,2.1665998269575844,-2.39614818766122,-2.1665998269575844,1.0,False,recent
18,4,recent,0.8576296978537932,-1.1503863847071507,-0.8576296978537932,1.0,False,recent
18,5,recent,2.0182296422366433,-2.2464443326033594,-2.0182296422366433,1.0,False,recent
18,6,recent,2.085193383149667,-2.298173261873422,-2.085193383149667,1.0,False,recent
18,7,recent,1.6493914077782088,-1.8685874918577698,-1.6493914077782088,1.0,False,recent
18,8,recent,2.3708877115467724,-2.618780434622182,-2.3708877115467724,1.0,False,recent
18,9,recent,0.3594179113698188,-0.3594179113698188,-0.41104931901233055,1.0,False,recent
18,10,recent,1.9893750669667813,-2.2581077976118316,-1.9893750669667813,1.0,False,recent
18,11,recent,1.5012921117581413,-1.7321556595755572,-1.5012921117581413,1.0,False,recent
19,0,recent,0.45327278059667586,-0.45327278059667586,-0.49963228863000886,1.0,False,recent
19,1,recent,2.7433128823701094,-2.8464073217565,-2.7433128823701094,1.0,False,recent
